,승차총승객수,하차총승객수
2015-01,437278792.0,435066846.0
2015-02,376783122.0,374884262.0
2015-03,478541350.0,476451614.0
2015-04,236022558.0,234898916.0
2015-05,234296965.0,233170178.0
2015-06,203119706.0,202399930.0
2015-07,218172679.0,217265058.0
2015-08,210102718.0,209130600.0
2015-09,214486255.0,213578097.0
2015-10,234349102.0,233341479.0
2015-11,223497154.0,222600581.0
2015-12,233155014.0,232154505.0
2016-01,209273211.0,208318335.0
2016-02,193647156.0,192773472.0
2016-03,236377700.0,235428077.0
2016-04,228348725.0,227431434.0
2016-05,234166653.0,233175677.0
2016-06,222611572.0,221688838.0
2016-07,219465787.0,218462009.0
2016-08,214193213.0,213224598.0
2016-09,210698312.0,209805032.0
2016-10,229681635.0,228636055.0
2016-11,228122715.0,227122581.0
2016-12,231777262.0,230724428.0
2017-01,205502324.0,204531987.0
2017-02,204936457.0,203985242.0
2017-03,237179303.0,236204018.0
2017-04,227780690.0,226789893.0
2017-05,227836340.0,226799684.0
2017-06,221308605.0,220362163.0
2017-07,214815271.0,213858564.0
2017-08,213776584.0,212809390.0
2017-09,228240103.0,227170000.0
2017-10,208204249.0,207196105.0
2017-11,228254078.0,227278770.0
2017-12,228619448.0,227669424.0
2018-01,213710722.0,212849469.0
2018-02,189110822.0,188340921.0
2018-03,235296346.0,234409973.0
2018-04,228971702.0,228096920.0
2018-05,235253127.0,234314673.0
2018-06,219426719.0,218542730.0
2018-07,221632774.0,220746413.0
2018-08,214216200.0,213330490.0
2018-09,208561416.0,207742249.0
2018-10,235739024.0,234837595.0
2018-11,232960426.0,232096833.0
2018-12,227834001.0,226826591.0
2019-01,221848014.0,220898375.0
2019-02,190335812.0,189500198.0
2019-03,233813277.0,232879549.0
2019-04,235928571.0,235005777.0
2019-05,243338053.0,242380504.0
2019-06,221547039.0,220663596.0
2019-07,229254848.0,228353976.0
2019-08,219672653.0,218759210.0
2019-09,214006728.0,213170622.0
2019-10,240101848.0,239145883.0
2019-11,232284482.0,231429861.0
2019-12,234574904.0,233673639.0
