,월별승차총승객수,월별하차총승객수
2015_01,437278792.0,435066846.0
2015_02,376783122.0,374884262.0
2015_03,478541350.0,476451614.0
2015_04,236022558.0,234898916.0
2015_05,234296965.0,233170178.0
2015_06,203119706.0,202399930.0
2015_07,218172679.0,217265058.0
2015_08,210102718.0,209130600.0
2015_09,214486255.0,213578097.0
2015_10,234349102.0,233341479.0
2015_11,223497154.0,222600581.0
2015_12,233155014.0,232154505.0
2016_01,209273211.0,208318335.0
2016_02,193647156.0,192773472.0
2016_03,236377700.0,235428077.0
2016_04,228348725.0,227431434.0
2016_05,234166653.0,233175677.0
2016_06,222611572.0,221688838.0
2016_07,219465787.0,218462009.0
2016_08,214193213.0,213224598.0
2016_09,210698312.0,209805032.0
2016_10,229681635.0,228636055.0
2016_11,228122715.0,227122581.0
2016_12,231777262.0,230724428.0
2017_01,205502324.0,204531987.0
2017_02,204936457.0,203985242.0
2017_03,237179303.0,236204018.0
2017_04,227780690.0,226789893.0
2017_05,227836340.0,226799684.0
2017_06,221308605.0,220362163.0
2017_07,214815271.0,213858564.0
2017_08,213776584.0,212809390.0
2017_09,228240103.0,227170000.0
2017_10,208204249.0,207196105.0
2017_11,228254078.0,227278770.0
2017_12,228619448.0,227669424.0
2018_01,213710722.0,212849469.0
2018_02,189110822.0,188340921.0
2018_03,235296346.0,234409973.0
2018_04,228971702.0,228096920.0
2018_05,235253127.0,234314673.0
2018_06,219426719.0,218542730.0
2018_07,221632774.0,220746413.0
2018_08,214216200.0,213330490.0
2018_09,208561416.0,207742249.0
2018_10,235739024.0,234837595.0
2018_11,232960426.0,232096833.0
2018_12,227834001.0,226826591.0
2019_01,221848014.0,220898375.0
2019_02,190335812.0,189500198.0
2019_03,233813277.0,232879549.0
2019_04,235928571.0,235005777.0
2019_05,243338053.0,242380504.0
2019_06,221547039.0,220663596.0
2019_07,229254848.0,228353976.0
2019_08,219672653.0,218759210.0
2019_09,214006728.0,213170622.0
2019_10,240101848.0,239145883.0
2019_11,232284482.0,231429861.0
2019_12,234574904.0,233673639.0
2020_01,207743593.0,206939054.0
2020_02,169582542.0,169058614.0
2020_03,139686779.0,139308780.0
2020_04,149118804.0,148683918.0
2020_05,165100450.0,164531970.0
2020_06,172139447.0,171605690.0
2020_07,184119860.0,183490485.0
2020_08,153500916.0,152989131.0
2020_09,145041726.0,144602055.0
2020_10,169782172.0,169231365.0
2020_11,172429012.0,171847194.0
2020_12,140122036.0,139666561.0
2021_01,142681454.0,142178674.0
2021_02,143511591.0,142994483.0
2021_03,179708599.0,179109500.0
2021_04,178281382.0,177677244.0
2021_05,174779766.0,174157717.0
2021_06,179665956.0,179060211.0
2021_07,160193504.0,159645605.0
2021_08,153448619.0,152911075.0
