,¿ùº°½ÂÂ÷ÃÑ½Â°´¼ö,¿ùº°ÇÏÂ÷ÃÑ½Â°´¼ö
202001,207743593,206939054
202002,169582542,169058614
202003,139686779,139308780
202004,149118804,148683918
202005,165100450,164531970
202006,172139447,171605690
202007,184119860,183490485
202008,153500916,152989131
202009,145041726,144602055
202010,169782172,169231365
202011,172429012,171847194
202012,140122036,139666561
202101,142681454,142178674
202102,143511591,142994483
202103,179708599,179109500
202104,178281382,177677244
202105,174779766,174157717
202106,179665956,179060211
202107,160193504,159645605
202108,153448619,152911075
