대여일자,여성,남성,미상,총 이용건수,AGE_001,AGE_002,AGE_003,AGE_004,AGE_005,AGE_006,AGE_007,AGE_008,AGE_009
Jan-20,113769,258052,422341,794162,28787,326277,187520,127519,79939,23260,5060,15800,0
Feb-20,119053,249361,393860,762274,29083,317169,176534,121663,75398,21048,4586,16793,0
Mar-20,264416,392151,876968,1533535,76255,704244,333664,215159,122946,32372,6520,42375,0
Apr-20,356697,498752,1301941,2157390,119026,995677,485148,299685,161736,39643,7573,48902,0
May-20,373831,531646,1574853,2480330,136688,1164916,559575,335044,179794,44223,8235,51855,0
Jun-20,469302,687906,1613565,2770773,152886,1278029,642052,383403,210226,50807,9152,44218,0
Jul-20,471848,714028,1395463,2581339,156652,1184603,576365,359614,206350,50993,8616,38146,0
Aug-20,306011,522062,903273,1731346,105191,786812,383188,239391,147075,38888,6571,24230,0
Sep-20,593861,798037,1413350,2805248,178240,1302676,623389,379243,211938,52800,9062,47900,0
Oct-20,612281,875622,1396385,2884288,188970,1286939,647601,411285,232399,56865,9503,50726,0
Nov-20,386851,654598,942933,1984382,129590,851691,442090,297871,177078,45832,7272,32958,0
Dec-20,227442,410040,551747,1189229,69247,473158,272138,197025,121187,34017,5046,17411,0
Jan-21,404481,696851,924956,2026288,92314,797399,492501,334127,203456,62913,9628,33950,0
Feb-21,208948,342872,460830,1012650,51932,406285,239176,162185,99434,30404,4722,18512,0
Mar-21,496655,710994,975152,2182801,96686,912942,520888,333976,203454,57006,8407,49442,0
Apr-21,741257,980796,1319325,3041378,120733,1201119,710608,432160,253271,67077,9733,246677,0
May-21,718604,987004,1242830,2948438,128729,1118239,648726,388871,231270,62683,8752,361168,0
Jun-21,828548,1199583,1430263,3458394,146585,1280534,746743,443186,269310,70988,10125,490923,0
