"시점",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점",합계,합계,1호선,1호선,2호선,2호선,3호선,3호선,4호선,4호선,5호선,5호선,6호선,6호선,7호선,7호선,8호선,8호선,9호선,9호선,우이신설선,우이신설선
"시점",수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입,수송인원,운수수입
"2015. 01",219361,129077,14353,7109,64557,40787,24153,13989,24678,14775,25664,15026,15755,8115,31065,18998,7317,4060,11819,6218,-,-
"2015. 02",188089,111217,12317,6093,55077,34981,20834,12118,21301,12858,21902,12898,13598,7036,26711,16430,6266,3496,10083,5307,-,-
"2015. 03",236880,139515,14517,7083,68659,43392,25795,14906,27241,16363,27889,16361,17826,9271,34194,21016,8015,4465,12744,6658,-,-
"2015. 04",233947,137375,14122,6902,66687,42040,25262,14573,26945,16070,27894,16306,17441,9059,33429,20487,7954,4420,14213,7518,-,-
"2015. 05",231334,135560,14293,6956,65885,41388,25184,14444,27234,16182,26899,15787,17606,9185,32852,20145,7798,4339,13583,7134,-,-
"2015. 06",202369,121741,11946,5851,58527,37640,21443,12605,23063,14017,23765,14391,15482,8282,29113,18399,6909,3957,12121,6599,-,-
"2015. 07",217803,146537,13431,7442,63819,46335,23467,15495,24322,16468,25456,17035,15793,9484,30792,21452,7373,4632,13350,8194,-,-
"2015. 08",208727,140766,13129,7352,60651,44291,22689,15006,23557,16098,24355,16304,15297,9074,29277,20410,7003,4415,12769,7816,-,-
"2015. 09",211522,142568,13129,7282,60353,43868,22846,15046,24467,16802,24588,16487,16053,9620,30061,21061,7204,4559,12821,7843,-,-
"2015. 10",231957,156471,14214,7951,66141,48058,25054,16544,26886,18439,27005,18137,17997,10806,32631,22887,7863,4995,14166,8654,-,-
"2015. 11",223497,151549,13889,7995,63854,46611,24254,16179,25740,17803,25810,17379,16782,10067,31573,22194,7537,4788,14058,8533,-,-
"2015. 12",235042,155466,14799,8117,67597,47370,25380,16460,27131,18049,27274,18291,17294,10344,32642,22820,7999,5024,14926,8991,-,-
"2016. 01",227239,142835,14950,7770,65619,44678,26088,15168,27099,16271,25960,16390,15781,9144,30232,20588,7732,4512,13778,8314,-,-
"2016. 02",209411,132050,13681,7122,60157,40983,24233,14094,25247,15250,23790,15080,14573,8486,27914,19177,7127,4201,12689,7657,-,-
"2016. 03",251160,158882,15687,8084,71339,48795,28613,16704,30895,18740,28794,18370,18075,10646,33907,23338,8670,5118,15180,9087,-,-
"2016. 04",244741,152938,15180,7714,68871,46607,27916,16107,29960,17901,28494,17891,17542,10175,33072,22472,8479,4968,15227,9103,-,-
"2016. 05",250021,156432,15599,7983,70408,47573,28709,16571,30878,18494,28674,18097,18098,10535,33759,23015,8680,5089,15216,9075,-,-
"2016. 06",238629,149122,14908,7575,67610,45737,27309,15734,29091,17390,27475,17298,17157,9947,32025,21768,8265,4834,14789,8839,-,-
"2016. 07",236704,148273,14874,7649,68464,46545,27199,15746,28313,16923,27038,16999,16540,9543,31222,21145,8100,4737,14954,8986,-,-
"2016. 08",230465,144324,14462,7429,66482,45219,26343,15254,27550,16474,26378,16563,16220,9341,30415,20608,7925,4622,14690,8814,-,-
"2016. 09",224476,140415,14241,7194,63321,42863,25564,14736,27404,16491,25733,16202,16415,9562,30010,20473,7793,4542,13995,8352,-,-
"2016. 10",245459,153337,15310,7817,69094,46733,28135,16223,30073,18021,28083,17654,18218,10596,32571,22114,8558,4978,15417,9201,-,-
"2016. 11",246489,154859,16118,8466,69075,46880,28580,16644,29938,18010,28456,18069,17922,10456,32541,22147,8540,4994,15319,9193,-,-
