일자|시간|구분,공급량
2019-01-01 01 A,1913.7981666666667
2019-01-01 02 A,1801.0918333333332
2019-01-01 03 A,1696.8590000000002
2019-01-01 04 A,1689.1826666666666
2019-01-01 05 A,1796.7211666666665
2019-01-01 06 A,1828.1473333333333
2019-01-01 07 A,1857.2006666666666
2019-01-01 08 A,2008.4538333333333
2019-01-01 09 A,2215.1313333333333
2019-01-01 10 A,2321.445166666667
2019-01-01 11 A,2305.875666666667
2019-01-01 12 A,2120.8965
2019-01-01 13 A,1938.7438333333332
2019-01-01 14 A,1823.5015
2019-01-01 15 A,1741.3106666666665
2019-01-01 16 A,1719.0811666666668
2019-01-01 17 A,1796.8513333333333
2019-01-01 18 A,2094.7815
2019-01-01 19 A,2398.0461666666665
2019-01-01 20 A,2348.8553333333334
2019-01-01 21 A,2250.1161666666662
2019-01-01 22 A,2187.800333333333
2019-01-01 23 A,2099.997
2019-01-01 24 A,1975.4311666666665
2019-01-02 01 A,1784.689
2019-01-02 02 A,1583.6995
2019-01-02 03 A,1504.9968333333334
2019-01-02 04 A,1576.2520000000002
2019-01-02 05 A,1789.1551666666667
2019-01-02 06 A,1958.0745
2019-01-02 07 A,2219.7758333333336
2019-01-02 08 A,2645.951333333333
2019-01-02 09 A,2824.736166666667
2019-01-02 10 A,2749.923166666667
2019-01-02 11 A,2657.6555000000003
2019-01-02 12 A,2470.5086666666666
2019-01-02 13 A,2297.4811666666665
2019-01-02 14 A,2180.0775
2019-01-02 15 A,2034.8578333333335
2019-01-02 16 A,1964.3213333333333
2019-01-02 17 A,2046.771
2019-01-02 18 A,2287.2205
2019-01-02 19 A,2582.5664999999995
2019-01-02 20 A,2595.4373333333333
2019-01-02 21 A,2516.4505000000004
2019-01-02 22 A,2435.3683333333333
2019-01-02 23 A,2328.9031666666665
2019-01-02 24 A,2208.5583333333334
2019-01-03 01 A,1989.9951666666666
2019-01-03 02 A,1755.308666666667
2019-01-03 03 A,1648.9976666666669
2019-01-03 04 A,1708.2326666666668
2019-01-03 05 A,1884.1478333333337
2019-01-03 06 A,2020.9671666666663
2019-01-03 07 A,2233.1194999999993
2019-01-03 08 A,2614.0586666666663
2019-01-03 09 A,2790.1161666666667
2019-01-03 10 A,2716.733333333333
2019-01-03 11 A,2625.880333333333
2019-01-03 12 A,2412.055
