일자|시간|구분,공급량
2019-01-01 01 A,1721.2805
2019-01-01 02 A,1624.6055000000001
2019-01-01 03 A,1539.563
2019-01-01 04 A,1531.286
2019-01-01 05 A,1649.6095
2019-01-01 06 A,1669.2
2019-01-01 07 A,1704.968
2019-01-01 08 A,1864.5675
2019-01-01 09 A,2081.32
2019-01-01 10 A,2168.2375
2019-01-01 11 A,2147.201
2019-01-01 12 A,1971.5795
2019-01-01 13 A,1811.7775000000001
2019-01-01 14 A,1690.5345
2019-01-01 15 A,1631.954
2019-01-01 16 A,1624.5135
2019-01-01 17 A,1689.504
2019-01-01 18 A,1959.2385
2019-01-01 19 A,2254.8284999999996
2019-01-01 20 A,2217.86
2019-01-01 21 A,2122.9225
2019-01-01 22 A,2084.791
2019-01-01 23 A,1998.8490000000002
2019-01-01 24 A,1881.1995
2019-01-02 01 A,1688.513
2019-01-02 02 A,1482.8764999999999
2019-01-02 03 A,1405.2245
2019-01-02 04 A,1495.606
2019-01-02 05 A,1715.7115
2019-01-02 06 A,1881.2775
2019-01-02 07 A,2224.2574999999997
2019-01-02 08 A,2685.84
2019-01-02 09 A,2848.2625
2019-01-02 10 A,2688.6715000000004
2019-01-02 11 A,2561.3725000000004
2019-01-02 12 A,2324.712
2019-01-02 13 A,2178.4295
2019-01-02 14 A,2053.4265
2019-01-02 15 A,1918.1995000000002
2019-01-02 16 A,1832.81
2019-01-02 17 A,1935.799
2019-01-02 18 A,2196.4155
2019-01-02 19 A,2515.1215
2019-01-02 20 A,2540.178
2019-01-02 21 A,2480.9655000000002
2019-01-02 22 A,2415.567
2019-01-02 23 A,2282.3635
2019-01-02 24 A,2150.397
2019-01-03 01 A,1920.7475
2019-01-03 02 A,1671.184
2019-01-03 03 A,1573.683
2019-01-03 04 A,1638.0320000000002
2019-01-03 05 A,1824.6455
2019-01-03 06 A,1965.4674999999997
2019-01-03 07 A,2175.377
2019-01-03 08 A,2547.925
2019-01-03 09 A,2740.9930000000004
2019-01-03 10 A,2702.393
2019-01-03 11 A,2616.757
2019-01-03 12 A,2373.895
2019-01-03 13 A,2145.857
2019-01-03 14 A,1972.537
2019-01-03 15 A,1812.9209999999998
2019-01-03 16 A,1748.577
2019-01-03 17 A,1842.201
2019-01-03 18 A,2109.617
2019-01-03 19 A,2390.465
2019-01-03 20 A,2327.545
2019-01-03 21 A,2259.441
2019-01-03 22 A,2178.7129999999997
2019-01-03 23 A,2105.245
2019-01-03 24 A,2008.237
2019-01-04 01 A,1824.0529999999999
2019-01-04 02 A,1583.769
2019-01-04 03 A,1474.6689999999999
2019-01-04 04 A,1529.061
2019-01-04 05 A,1690.745
2019-01-04 06 A,1725.385
2019-01-04 07 A,1806.705
2019-01-04 08 A,2227.889
2019-01-04 09 A,2367.721
2019-01-04 10 A,2375.933
2019-01-04 11 A,2305.3810000000003
2019-01-04 12 A,2097.893
2019-01-04 13 A,1902.9450000000002
2019-01-04 14 A,1772.909
2019-01-04 15 A,1634.873
2019-01-04 16 A,1578.2730000000001
2019-01-04 17 A,1687.821
2019-01-04 18 A,2008.177
2019-01-04 19 A,2356.877
2019-01-04 20 A,2315.081
2019-01-04 21 A,2251.609
2019-01-04 22 A,2157.885
2019-01-04 23 A,2084.4809999999998
2019-01-04 24 A,1945.089
2019-01-05 01 A,1744.621
2019-01-05 02 A,1529.589
2019-01-05 03 A,1432.081
2019-01-05 04 A,1507.193
2019-01-05 05 A,1692.7930000000001
2019-01-05 06 A,1834.821
2019-01-05 07 A,2142.937
2019-01-05 08 A,2638.505
2019-01-05 09 A,2789.553
2019-01-05 10 A,2646.781
2019-01-05 11 A,2506.9610000000002
2019-01-05 12 A,2290.441
2019-01-05 13 A,2128.757
2019-01-05 14 A,2018.585
2019-01-05 15 A,1852.0810000000001
2019-01-05 16 A,1764.105
2019-01-05 17 A,1820.237
2019-01-05 18 A,2077.661
2019-01-05 19 A,2432.157
2019-01-05 20 A,2452.489
2019-01-05 21 A,2394.989
2019-01-05 22 A,2345.493
2019-01-05 23 A,2213.749
2019-01-05 24 A,2041.065
2019-01-06 01 A,1779.633
2019-01-06 02 A,1533.781
2019-01-06 03 A,1445.185
2019-01-06 04 A,1499.145
2019-01-06 05 A,1714.165
2019-01-06 06 A,1896.277
2019-01-06 07 A,2147.5195
2019-01-06 08 A,2637.733
2019-01-06 09 A,2801.6369999999997
2019-01-06 10 A,2698.6295
2019-01-06 11 A,2555.2965000000004
2019-01-06 12 A,2309.9155
2019-01-06 13 A,2137.834
2019-01-06 14 A,2040.232
2019-01-06 15 A,1918.0885
2019-01-06 16 A,1856.5895
2019-01-06 17 A,1916.5155
2019-01-06 18 A,2161.6055
2019-01-06 19 A,2462.7825000000003
2019-01-06 20 A,2480.2045
2019-01-06 21 A,2401.897
2019-01-06 22 A,2357.0209999999997
2019-01-06 23 A,2243.7529999999997
2019-01-06 24 A,2101.4735
2019-01-07 01 A,1902.4895000000001
2019-01-07 02 A,1680.1725000000001
2019-01-07 03 A,1567.5515
2019-01-07 04 A,1607.7545
2019-01-07 05 A,1777.2135
2019-01-07 06 A,1904.4665
2019-01-07 07 A,2156.1130000000003
2019-01-07 08 A,2625.817
2019-01-07 09 A,2782.297
2019-01-07 10 A,2593.413
2019-01-07 11 A,2461.882
2019-01-07 12 A,2248.8195
2019-01-07 13 A,2104.2664999999997
2019-01-07 14 A,2019.0140000000001
2019-01-07 15 A,1902.9524999999999
2019-01-07 16 A,1847.5014999999999
2019-01-07 17 A,1939.1895
2019-01-07 18 A,2209.581
2019-01-07 19 A,2546.749
2019-01-07 20 A,2575.2905
2019-01-07 21 A,2463.6915
2019-01-07 22 A,2382.941
2019-01-07 23 A,2264.8050000000003
2019-01-07 24 A,2114.993
2019-01-08 01 A,1860.909
2019-01-08 02 A,1622.884
2019-01-08 03 A,1522.1925
2019-01-08 04 A,1550.3975
2019-01-08 05 A,1755.9705
2019-01-08 06 A,1957.147
2019-01-08 07 A,2253.745
2019-01-08 08 A,2714.0405
2019-01-08 09 A,2865.4415
2019-01-08 10 A,2689.5515
2019-01-08 11 A,2579.0235000000002
2019-01-08 12 A,2370.7219999999998
2019-01-08 13 A,2233.8064999999997
