일자|시간|구분,연월일,시간,구분,year,month,day,weekday,기온,기압,습도
2019-01-01 01 A,2019-01-01,01,0,2019,1,1,1,-3.894175988577427,1012.1033927577777,59.379999999999995
2019-01-01 02 A,2019-01-01,02,0,2019,1,1,1,-4.363951635266022,1015.612685546875,61.166666666666664
2019-01-01 03 A,2019-01-01,03,0,2019,1,1,1,-4.476644518054834,1024.5356435139975,54.53666666666667
2019-01-01 04 A,2019-01-01,04,0,2019,1,1,1,-4.922203701659977,1014.6966432698567,60.153333333333336
2019-01-01 05 A,2019-01-01,05,0,2019,1,1,1,-5.048250653931251,1006.996327311198,61.723333333333336
2019-01-01 06 A,2019-01-01,06,0,2019,1,1,1,-5.337014775483691,1011.956134685478,62.053333333333335
2019-01-01 07 A,2019-01-01,07,0,2019,1,1,1,-5.4117466493793955,1014.6949721306081,61.99
2019-01-01 08 A,2019-01-01,08,0,2019,1,1,1,-5.506705663129971,1014.7251782105241,62.89333333333334
2019-01-01 09 A,2019-01-01,09,0,2019,1,1,1,-4.992933157676916,1017.016160083233,60.419999999999995
2019-01-01 10 A,2019-01-01,10,0,2019,1,1,1,-3.9558610918343917,1012.6371750669126,42.88666666666666
2019-01-01 11 A,2019-01-01,11,0,2019,1,1,1,-2.544159128613947,1017.9259399483368,36.75
2019-01-01 12 A,2019-01-01,12,0,2019,1,1,1,-1.2528497910633638,1016.6897488804105,50.71666666666667
2019-01-01 13 A,2019-01-01,13,0,2019,1,1,1,-0.10651474505230944,1019.5010393124535,29.03
2019-01-01 14 A,2019-01-01,14,0,2019,1,1,1,0.35585989718570127,1013.1869841766356,41.52
2019-01-01 15 A,2019-01-01,15,0,2019,1,1,1,0.5852932447190705,1021.2439880371094,18.05666666666667
2019-01-01 16 A,2019-01-01,16,0,2019,1,1,1,0.42148194700106795,1011.8396553548178,30.776666666666667
2019-01-01 17 A,2019-01-01,17,0,2019,1,1,1,-0.13944121438987245,1016.8742728339301,27.963333333333335
2019-01-01 18 A,2019-01-01,18,0,2019,1,1,1,-1.3711634337039322,1017.4626621134603,33.82666666666666
2019-01-01 19 A,2019-01-01,19,0,2019,1,1,1,-1.8413949165570538,1014.2911422858234,61.346666666666664
2019-01-01 20 A,2019-01-01,20,0,2019,1,1,1,-2.3475570067444353,1014.7876611328124,45.303333333333335
2019-01-01 21 A,2019-01-01,21,0,2019,1,1,1,-2.7069575956107417,1014.3930033365887,48.81666666666667
2019-01-01 22 A,2019-01-01,22,0,2019,1,1,1,-3.209299364476763,1018.9848022961738,36.32333333333333
2019-01-01 23 A,2019-01-01,23,0,2019,1,1,1,-3.466506584908443,1017.8186614990233,42.02
2019-01-01 24 A,2019-01-01,24,0,2019,1,1,1,-3.6816958989610398,1017.5668979695638,46.28666666666666
2019-01-02 01 A,2019-01-02,01,0,2019,1,2,2,-3.8328433863094666,1016.6706846110025,47.93000000000001
2019-01-02 02 A,2019-01-02,02,0,2019,1,2,2,-4.069440942070346,1016.4722585782138,49.10999999999999
2019-01-02 03 A,2019-01-02,03,0,2019,1,2,2,-4.1023653716769894,1015.9590150960286,49.919999999999995
2019-01-02 04 A,2019-01-02,04,0,2019,1,2,2,-4.308979192880833,1015.9053853352865,50.873333333333335
2019-01-02 05 A,2019-01-02,05,0,2019,1,2,2,-4.673093263247821,1015.5643336995444,50.18666666666667
2019-01-02 06 A,2019-01-02,06,0,2019,1,2,2,-4.943440975190462,1015.2426654391819,55.306666666666665
2019-01-02 07 A,2019-01-02,07,0,2019,1,2,2,-4.994303506789584,1014.8077998046874,56.29666666666666
2019-01-02 08 A,2019-01-02,08,0,2019,1,2,2,-5.119677707886296,1014.7420937877837,56.48
2019-01-02 09 A,2019-01-02,09,0,2019,1,2,2,-4.56545930324875,1017.7780157470703,47.51333333333333
2019-01-02 10 A,2019-01-02,10,0,2019,1,2,2,-3.243394443179188,1018.5330037434896,42.973333333333336
2019-01-02 11 A,2019-01-02,11,0,2019,1,2,2,-1.9101438687513064,1022.9640118408203,28.246666666666666
2019-01-02 12 A,2019-01-02,12,0,2019,1,2,2,-0.7258443779984315,1012.5439941406249,60.29
2019-01-02 13 A,2019-01-02,13,0,2019,1,2,2,0.08100897852954929,1016.3840102132161,38.0
2019-01-02 14 A,2019-01-02,14,0,2019,1,2,2,0.6936415832543998,1016.9438012370487,38.169999999999995
2019-01-02 15 A,2019-01-02,15,0,2019,1,2,2,0.9190703432017955,1014.9099000379774,46.366666666666674
2019-01-02 16 A,2019-01-02,16,0,2019,1,2,2,0.7295753938343629,1013.5455113220214,44.199999999999996
2019-01-02 17 A,2019-01-02,17,0,2019,1,2,2,0.17052853351400377,1018.2219889322918,41.486666666666665
2019-01-02 18 A,2019-01-02,18,0,2019,1,2,2,-0.8870586488187175,1014.9735448404948,39.876666666666665
2019-01-02 19 A,2019-01-02,19,0,2019,1,2,2,-1.4505702649467567,1015.4227176478847,42.946666666666665
2019-01-02 20 A,2019-01-02,20,0,2019,1,2,2,-2.029860723405855,1019.9021049262152,52.04666666666666
2019-01-02 21 A,2019-01-02,21,0,2019,1,2,2,-2.386191731758627,1018.8462361687521,55.31333333333333
2019-01-02 22 A,2019-01-02,22,0,2019,1,2,2,-3.065687763590724,1014.0213424682617,57.576666666666675
2019-01-02 23 A,2019-01-02,23,0,2019,1,2,2,-3.4283691652208907,1021.2386741129558,56.61000000000001
2019-01-02 24 A,2019-01-02,24,0,2019,1,2,2,-3.5313383192095116,1018.8288150024414,63.10999999999999
2019-01-03 01 A,2019-01-03,01,0,2019,1,3,3,-3.9273598832487715,1014.5355594348754,59.35333333333333
