일자|시간|구분,연월일,시간,구분,year,quarter,month,day,weekday,음력일시,lunar_year,lunar_month,lunar_day,기온,기압,습도
2019-01-01 01 A,2019-01-01,01,0,2019,1,1,1,1,2018-11-26,2018,11,26,-3.6529193308760526,1016.2460087076823,52.63333333333333
2019-01-01 02 A,2019-01-01,02,0,2019,1,1,1,1,2018-11-26,2018,11,26,-3.984102633789302,1016.867334391276,54.23666666666666
2019-01-01 03 A,2019-01-01,03,0,2019,1,1,1,1,2018-11-26,2018,11,26,-4.492637881394711,1017.6843420410156,58.56
2019-01-01 04 A,2019-01-01,04,0,2019,1,1,1,1,2018-11-26,2018,11,26,-4.79953023269997,1017.739344482422,60.31333333333333
2019-01-01 05 A,2019-01-01,05,0,2019,1,1,1,1,2018-11-26,2018,11,26,-5.053948883406076,1008.5693235270182,57.79
2019-01-01 06 A,2019-01-01,06,0,2019,1,1,1,1,2018-11-26,2018,11,26,-5.075170654199017,1008.7243223063151,58.20666666666667
2019-01-01 07 A,2019-01-01,07,0,2019,1,1,1,1,2018-11-26,2018,11,26,-5.177429861753691,1009.4969958496094,57.46
2019-01-01 08 A,2019-01-01,08,0,2019,1,1,1,1,2018-11-26,2018,11,26,-5.275295052600879,1009.8579909261067,56.13333333333333
2019-01-01 09 A,2019-01-01,09,0,2019,1,1,1,1,2018-11-26,2018,11,26,-5.123218535411495,1009.909663289388,54.32
2019-01-01 10 A,2019-01-01,10,0,2019,1,1,1,1,2018-11-26,2018,11,26,-3.976745603013576,1017.1769846598307,63.29666666666666
2019-01-01 11 A,2019-01-01,11,0,2019,1,1,1,1,2018-11-26,2018,11,26,-2.4869122317745607,1017.1113393147785,52.550000000000004
2019-01-01 12 A,2019-01-01,12,0,2019,1,1,1,1,2018-11-26,2018,11,26,-1.1106244936763643,1015.2723311360677,37.333333333333336
2019-01-01 13 A,2019-01-01,13,0,2019,1,1,1,1,2018-11-26,2018,11,26,-0.37399780986764614,1015.7773236083984,30.75
2019-01-01 14 A,2019-01-01,14,0,2019,1,1,1,1,2018-11-26,2018,11,26,0.20418702314159085,1013.6973384602865,35.39
2019-01-01 15 A,2019-01-01,15,0,2019,1,1,1,1,2018-11-26,2018,11,26,0.34861338440849227,1014.3986844889323,29.419999999999998
2019-01-01 16 A,2019-01-01,16,0,2019,1,1,1,1,2018-11-26,2018,11,26,0.23525764555781523,1013.9323443603515,36.56333333333333
2019-01-01 17 A,2019-01-01,17,0,2019,1,1,1,1,2018-11-26,2018,11,26,-0.6959622136152724,1015.9193422444661,27.110000000000003
2019-01-01 18 A,2019-01-01,18,0,2019,1,1,1,1,2018-11-26,2018,11,26,-1.734638408564954,1016.6806441243489,35.443333333333335
2019-01-01 19 A,2019-01-01,19,0,2019,1,1,1,1,2018-11-26,2018,11,26,-2.306088559312676,1017.1073124186199,37.79333333333333
2019-01-01 20 A,2019-01-01,20,0,2019,1,1,1,1,2018-11-26,2018,11,26,-2.9601421824405967,1015.6323374430339,41.876666666666665
