iter	RMSE
0	17.98099135
1	16.85562564
2	16.16977568
3	15.70596875
4	15.34836888
5	15.13895171
6	14.85873463
7	14.68429383
8	14.52878941
9	14.42135176
10	14.28118927
11	14.11667779
12	14.06527706
13	13.94205256
14	13.83921495
15	13.73113627
16	13.65429484
17	13.56790023
18	13.50224903
19	13.38572166
20	13.31472309
21	13.23175399
22	13.14416585
23	13.04329716
24	12.96926735
25	12.91070855
26	12.84322556
27	12.7329098
28	12.6550933
29	12.55957122
30	12.49305054
31	12.39860015
32	12.30939603
33	12.24535871
34	12.1705702
35	12.11293903
36	12.05815332
37	11.98507111
38	11.89254196
39	11.83294472
40	11.80993513
41	11.76835122
42	11.69256482
43	11.65021403
44	11.57633255
45	11.52381483
46	11.47735294
47	11.44593491
48	11.37881006
49	11.32265704
50	11.23740223
51	11.19594811
52	11.16248658
53	11.12041636
54	11.03786985
55	11.00029803
56	10.94178336
57	10.89621769
58	10.84033332
59	10.80435466
60	10.75717766
61	10.73061436
62	10.67594993
63	10.63652959
64	10.58869353
65	10.54941255
66	10.52433636
67	10.47839345
68	10.42598403
69	10.3795013
70	10.33257666
71	10.30729288
72	10.26743779
73	10.21771876
74	10.18135759
75	10.12865145
76	10.09182956
77	10.06314096
78	10.0315239
79	10.00236334
80	9.982477594
81	9.919067485
82	9.872836316
83	9.829168711
84	9.798284505
85	9.77980246
86	9.743220511
87	9.702530481
88	9.683877037
89	9.647953805
90	9.612384876
91	9.58746568
92	9.561410606
93	9.528746876
94	9.489756791
95	9.470042187
96	9.438350735
97	9.380017207
98	9.352347836
99	9.315506271
100	9.288854694
101	9.255883622
102	9.229681633
103	9.207537405
104	9.192955283
105	9.158603864
106	9.134418437
107	9.111247218
108	9.087646959
109	9.064587598
110	9.03143014
111	8.994869068
112	8.947875468
113	8.917565491
114	8.893995314
115	8.861429104
116	8.823410857
117	8.794913378
118	8.767256152
119	8.739817771
120	8.72496667
121	8.690788739
122	8.66200464
123	8.634983255
124	8.610882798
125	8.580375494
126	8.546713284
127	8.523437916
128	8.490116957
129	8.471849305
130	8.433144199
131	8.410580105
132	8.397449465
133	8.372817258
134	8.353924286
135	8.324069321
136	8.288793369
137	8.253673116
138	8.227122834
139	8.211709562
140	8.17989942
141	8.156858849
142	8.128152552
143	8.10506574
144	8.088198366
145	8.066751266
146	8.057199027
147	8.034780917
148	8.010180967
149	7.988609995
150	7.964960712
151	7.947605503
152	7.923730605
153	7.904141283
154	7.884571602
155	7.86702075
156	7.846914952
157	7.83174122
158	7.817405526
159	7.799744516
160	7.780537019
161	7.763991661
162	7.739792115
163	7.718808881
164	7.693171326
165	7.680610972
166	7.659929355
167	7.63017459
168	7.605358915
169	7.588262936
170	7.565082673
171	7.549223034
172	7.531374342
173	7.519233886
174	7.50583648
175	7.48503891
176	7.465473644
177	7.447033954
178	7.431509698
179	7.414734762
180	7.404131103
181	7.392912633
182	7.375120736
183	7.358240868
184	7.332902198
185	7.32055714
186	7.305619685
187	7.28940724
188	7.267724355
189	7.247916284
190	7.227168572
191	7.211023554
192	7.190290487
193	7.177705215
194	7.153819015
195	7.140217083
196	7.123120273
197	7.103638201
198	7.089874916
199	7.070257721
