iter	Passed	Remaining
0	166	48082
1	319	46054
2	544	52121
3	728	52098
4	874	49843
5	1038	49170
6	1191	48188
7	1364	48088
8	1551	48430
9	1722	48223
10	1877	47608
11	2057	47676
12	2231	47539
13	2367	46672
14	2527	46341
15	2676	45836
16	2855	45852
17	3034	45854
18	3169	45205
19	3326	44912
20	3477	44551
21	3654	44522
22	3830	44464
23	3993	44256
24	4138	43863
25	4305	43718
26	4481	43657
27	4648	43497
28	4800	43200
29	4957	42967
30	5222	43631
31	5415	43665
32	5635	43887
33	5787	43577
34	5980	43575
35	6183	43626
36	6338	43341
37	6478	42964
38	6645	42770
39	6845	42782
40	7038	42745
41	7220	42635
42	7363	42295
43	7529	42098
44	7780	42362
45	7968	42269
46	8119	41979
47	8284	41769
48	8456	41592
49	8662	41577
50	8815	41311
51	8982	41114
52	9145	40895
53	9341	40827
54	9534	40738
55	9701	40536
56	9838	40218
57	9986	39946
58	10191	39902
59	10362	39721
60	10509	39453
61	10674	39256
62	10860	39132
63	11035	38970
64	11196	38756
65	11346	38508
66	11471	38181
67	11667	38091
68	11817	37851
69	11972	37627
70	12138	37442
71	12309	37270
72	12522	37225
73	12726	37147
74	12879	36922
75	13043	36727
76	13229	36594
77	13418	36470
78	13579	36268
79	13718	36011
80	13872	35794
81	13997	35506
82	14192	35396
83	14348	35187
84	14498	34965
85	14651	34755
86	14795	34522
87	14973	34371
88	15112	34129
89	15278	33951
90	15419	33719
91	15559	33485
92	15754	33372
93	15920	33195
94	16052	32950
95	16212	32762
96	16363	32557
97	16530	32385
98	16677	32175
99	16825	31968
100	16982	31778
101	17175	31656
102	17349	31497
103	17511	31319
104	17679	31149
105	17808	30912
106	18023	30826
107	18181	30638
108	18322	30425
109	18469	30223
110	18627	30039
111	18814	29901
112	18972	29718
113	19128	29532
114	19294	29360
115	19498	29247
116	19687	29110
117	19852	28937
118	20034	28788
119	20187	28599
120	20390	28479
121	20558	28309
122	20705	28112
123	20857	27922
124	20994	27712
125	21185	27574
126	21370	27428
127	21508	27221
128	21644	27013
129	21821	26857
130	21994	26695
131	22149	26511
132	22319	26347
133	22451	26137
134	22637	25991
135	22813	25832
136	22957	25638
137	23094	25437
138	23267	25275
139	23456	25131
140	23599	24938
141	23747	24751
142	23886	24554
143	24057	24391
144	24254	24254
145	24428	24093
146	24574	23905
147	24751	23747
148	24922	23584
149	25070	23399
150	25228	23223
151	25391	23053
152	25583	22907
153	25735	22727
154	25902	22560
155	26040	22368
156	26227	22218
157	26428	22079
158	26598	21914
159	26772	21752
160	26993	21628
161	27173	21470
162	27330	21294
163	27513	21138
164	27672	20963
165	27868	20817
166	28017	20635
167	28162	20451
168	28306	20266
169	28520	20132
170	28673	19954
171	28819	19771
172	28975	19596
173	29130	19420
174	29326	19271
175	29510	19115
176	29661	18936
177	29827	18768
178	30004	18606
179	30180	18443
180	30337	18269
181	30504	18101
182	30634	17911
183	30792	17739
184	30974	17580
185	31131	17406
186	31279	17228
187	31431	17053
188	31648	16912
189	31798	16736
190	31971	16571
191	32112	16390
192	32283	16225
193	32459	16062
194	32595	15879
195	32753	15708
196	32912	15537
197	33040	15352
198	33240	15200
199	33409	15034
200	33569	14864
201	33766	14709
202	33975	14561
203	34127	14386
204	34281	14214
205	34471	14056
206	34659	13897
207	34871	13747
208	35044	13581
209	35189	13405
210	35347	13234
211	35540	13076
212	35720	12913
213	35900	12749
214	36074	12584
215	36256	12421
216	36416	12250
217	36575	12079
218	36726	11906
219	36916	11746
220	37078	11576
221	37236	11405
222	37383	11231
223	37575	11071
224	37746	10904
225	37896	10731
226	38044	10558
227	38218	10392
228	38424	10235
229	38586	10066
230	38818	9914
231	38955	9738
232	39105	9566
233	39267	9397
234	39429	9228
235	39573	9055
236	39715	8881
237	39866	8710
238	40049	8546
239	40206	8376
240	40358	8205
241	40510	8035
242	40666	7865
243	40848	7700
244	41011	7532
245	41175	7364
246	41375	7203
247	41599	7045
248	41794	6881
249	41991	6718
250	42184	6554
251	42355	6386
252	42526	6219
253	42681	6049
254	42829	5878
255	42987	5709
256	43144	5539
257	43311	5371
258	43481	5204
259	43637	5035
260	43768	4863
261	43888	4690
262	44070	4524
263	44244	4357
264	44389	4187
265	44545	4019
266	44693	3849
267	44894	3685
268	45075	3518
269	45212	3349
270	45361	3180
271	45489	3010
272	45675	2844
273	45827	2676
274	46002	2509
275	46164	2341
276	46313	2173
277	46495	2006
278	46673	1840
279	46825	1672
280	46976	1504
281	47133	1337
282	47293	1169
283	47463	1002
284	47633	835
285	47790	668
286	47968	501
287	48157	334
288	48302	167
289	48462	0
