일자|시간|구분,공급량
2019-01-01 01 A,1982.6290017457447
2019-01-01 02 A,1891.987532121883
2019-01-01 03 A,1758.1926970017885
2019-01-01 04 A,1808.8171209298587
2019-01-01 05 A,1876.53756358132
2019-01-01 06 A,2006.1386616931688
2019-01-01 07 A,2430.3736681814985
2019-01-01 08 A,2925.1166117141584
2019-01-01 09 A,3073.6727442351003
2019-01-01 10 A,2713.2596470848002
2019-01-01 11 A,2749.0796056599197
2019-01-01 12 A,2594.2764242350268
2019-01-01 13 A,2402.3114699478133
2019-01-01 14 A,2242.667434045593
2019-01-01 15 A,2141.6882879543277
2019-01-01 16 A,1924.9307723260865
2019-01-01 17 A,2078.895679650311
2019-01-01 18 A,2303.7100605417504
2019-01-01 19 A,2866.3200042082485
2019-01-01 20 A,2720.8723456671128
2019-01-01 21 A,2649.9751528294087
2019-01-01 22 A,2530.989173145725
2019-01-01 23 A,2377.7642196466245
2019-01-01 24 A,2244.9769325691937
2019-01-02 01 A,1992.307273022987
2019-01-02 02 A,1720.751570923625
2019-01-02 03 A,1591.5315242600864
2019-01-02 04 A,1602.0644497980081
2019-01-02 05 A,1838.2936240827858
2019-01-02 06 A,2019.6379875761074
2019-01-02 07 A,2258.70286225408
2019-01-02 08 A,2749.008237059707
2019-01-02 09 A,2864.6931242579776
2019-01-02 10 A,2775.528931381826
2019-01-02 11 A,2793.6702988083584
2019-01-02 12 A,2545.821304643208
2019-01-02 13 A,2322.0896285832005
2019-01-02 14 A,2222.554955316156
2019-01-02 15 A,2118.389952531735
2019-01-02 16 A,2024.8253966752025
2019-01-02 17 A,2123.8196815145607
2019-01-02 18 A,2356.905864552981
2019-01-02 19 A,2690.878054164233
2019-01-02 20 A,2768.7438199554817
2019-01-02 21 A,2663.133810089433
2019-01-02 22 A,2601.562194749202
2019-01-02 23 A,2490.9507230343074
2019-01-02 24 A,2345.350522088603
2019-01-03 01 A,1994.7878702339306
2019-01-03 02 A,1888.200868069842
2019-01-03 03 A,1789.485953048228
2019-01-03 04 A,1775.909386310302
2019-01-03 05 A,2003.8660587083693
2019-01-03 06 A,2166.9168597508196
2019-01-03 07 A,2412.8283108493247
2019-01-03 08 A,2884.327671286251
2019-01-03 09 A,3043.640215456824
2019-01-03 10 A,2751.6114724409185
2019-01-03 11 A,2808.414926237001
2019-01-03 12 A,2405.0605914551165
2019-01-03 13 A,2194.7682235145217
2019-01-03 14 A,2094.570777309776
2019-01-03 15 A,2020.568157635754
2019-01-03 16 A,1952.00298477906
2019-01-03 17 A,1977.6046591866018
2019-01-03 18 A,2259.599647283009
2019-01-03 19 A,2597.6182438477817
2019-01-03 20 A,2636.1630674697817
2019-01-03 21 A,2544.9626301423236
2019-01-03 22 A,2522.9824526192856
2019-01-03 23 A,2357.938244732917
2019-01-03 24 A,2171.450873762096
2019-01-04 01 A,2050.2130981605965
2019-01-04 02 A,1771.5906045650433
2019-01-04 03 A,1596.9391785693904
2019-01-04 04 A,1608.0090400928418
2019-01-04 05 A,1800.2490882148988
2019-01-04 06 A,1977.514512141439
2019-01-04 07 A,2198.6298987520413
2019-01-04 08 A,2720.6386015113867
2019-01-04 09 A,2834.377641056061
2019-01-04 10 A,2852.030477723854
2019-01-04 11 A,2802.5279438168636
2019-01-04 12 A,2580.6133724127826
2019-01-04 13 A,2207.7181298321343
2019-01-04 14 A,2204.142431439193
2019-01-04 15 A,2031.5197914869932
2019-01-04 16 A,1942.9409472275054
2019-01-04 17 A,2141.794395174969
2019-01-04 18 A,2343.951065517925
2019-01-04 19 A,2598.1364322860695
2019-01-04 20 A,2612.8379681603083
2019-01-04 21 A,2608.1885164119926
2019-01-04 22 A,2465.7933192892056
2019-01-04 23 A,2329.1897633731483
2019-01-04 24 A,2165.578525356314
2019-01-05 01 A,2148.5637205968637
2019-01-05 02 A,1863.1975715209146
2019-01-05 03 A,1605.9621293604075
2019-01-05 04 A,1654.3470896133451
2019-01-05 05 A,1792.7284694856082
2019-01-05 06 A,1954.7312348095238
2019-01-05 07 A,2022.255729489076
2019-01-05 08 A,2426.9654350700407
2019-01-05 09 A,2616.5063434583694
2019-01-05 10 A,2667.0450633597898
2019-01-05 11 A,2554.2990646861845
2019-01-05 12 A,2349.5464054205295
2019-01-05 13 A,2103.2654991997156
2019-01-05 14 A,1979.599490779415
2019-01-05 15 A,1899.3341950464003
2019-01-05 16 A,1868.8944741237983
2019-01-05 17 A,1863.9057016031236
2019-01-05 18 A,2091.944713327635
2019-01-05 19 A,2446.840254308852
2019-01-05 20 A,2498.617275196049
2019-01-05 21 A,2370.0069066723413
2019-01-05 22 A,2303.967648019231
2019-01-05 23 A,2176.027290197488
2019-01-05 24 A,2047.893853239293
2019-01-06 01 A,1904.1002135088713
2019-01-06 02 A,1571.174851794454
2019-01-06 03 A,1569.374669443038
2019-01-06 04 A,1544.73432608702
2019-01-06 05 A,1662.042631003449
2019-01-06 06 A,1889.3643982006543
2019-01-06 07 A,1855.86272197824
2019-01-06 08 A,2099.981834903332
2019-01-06 09 A,2345.1662866728416
2019-01-06 10 A,2502.433952966829
2019-01-06 11 A,2373.8075102233847
2019-01-06 12 A,2164.0322831497074
2019-01-06 13 A,2083.1735351386783
2019-01-06 14 A,1955.745488379184
2019-01-06 15 A,1883.3198870214128
2019-01-06 16 A,1882.4248494769352
2019-01-06 17 A,1903.88089202273
2019-01-06 18 A,2181.670453763527
2019-01-06 19 A,2520.5967222030235
2019-01-06 20 A,2454.0985394894965
2019-01-06 21 A,2344.4846522716593
2019-01-06 22 A,2317.289985241588
2019-01-06 23 A,2203.459792705214
2019-01-06 24 A,2032.4561352626115
2019-01-07 01 A,1876.4349045967913
2019-01-07 02 A,1605.2992375389542
2019-01-07 03 A,1590.4950642023578
2019-01-07 04 A,1607.084806803906
2019-01-07 05 A,1870.3370148662518
2019-01-07 06 A,1986.665282954171
2019-01-07 07 A,2342.151779139896
2019-01-07 08 A,2727.9738056935544
2019-01-07 09 A,2811.5656505924703
2019-01-07 10 A,2809.862885040436
2019-01-07 11 A,2688.521210545823
2019-01-07 12 A,2504.2066790348367
2019-01-07 13 A,2291.554756082735
2019-01-07 14 A,2189.4119314180816
2019-01-07 15 A,2043.789783800107
2019-01-07 16 A,2000.0723493989444
2019-01-07 17 A,2042.6020173934587
2019-01-07 18 A,2235.366592197877
2019-01-07 19 A,2666.897555211253
2019-01-07 20 A,2716.875346101868
2019-01-07 21 A,2647.2133701418147
2019-01-07 22 A,2600.9698535361563
2019-01-07 23 A,2512.581028577004
2019-01-07 24 A,2274.177314174896
2019-01-08 01 A,1982.6290017457447
2019-01-08 02 A,1891.987532121883
2019-01-08 03 A,1758.1926970017885
2019-01-08 04 A,1808.8171209298587
2019-01-08 05 A,1876.53756358132
2019-01-08 06 A,2006.1386616931688
2019-01-08 07 A,2430.3736681814985
2019-01-08 08 A,2925.1166117141584
2019-01-08 09 A,3073.6727442351003
2019-01-08 10 A,2713.2596470848002
2019-01-08 11 A,2749.0796056599197
2019-01-08 12 A,2594.2764242350268
2019-01-08 13 A,2402.3114699478133
2019-01-08 14 A,2242.667434045593
2019-01-08 15 A,2141.6882879543277
2019-01-08 16 A,1924.9307723260865
2019-01-08 17 A,2078.895679650311
2019-01-08 18 A,2303.7100605417504
2019-01-08 19 A,2866.3200042082485
2019-01-08 20 A,2720.8723456671128
2019-01-08 21 A,2649.9751528294087
2019-01-08 22 A,2530.989173145725
2019-01-08 23 A,2377.7642196466245
2019-01-08 24 A,2244.9769325691937
2019-01-09 01 A,1992.307273022987
2019-01-09 02 A,1720.751570923625
2019-01-09 03 A,1591.5315242600864
2019-01-09 04 A,1602.0644497980081
2019-01-09 05 A,1838.2936240827858
2019-01-09 06 A,2019.6379875761074
2019-01-09 07 A,2258.70286225408
2019-01-09 08 A,2749.008237059707
2019-01-09 09 A,2864.6931242579776
2019-01-09 10 A,2775.528931381826
2019-01-09 11 A,2793.6702988083584
2019-01-09 12 A,2545.821304643208
2019-01-09 13 A,2322.0896285832005
2019-01-09 14 A,2222.554955316156
2019-01-09 15 A,2118.389952531735
2019-01-09 16 A,2024.8253966752025
2019-01-09 17 A,2123.8196815145607
2019-01-09 18 A,2356.905864552981
2019-01-09 19 A,2690.878054164233
2019-01-09 20 A,2768.7438199554817
2019-01-09 21 A,2663.133810089433
2019-01-09 22 A,2601.562194749202
2019-01-09 23 A,2490.9507230343074
2019-01-09 24 A,2345.350522088603
2019-01-10 01 A,1994.7878702339306
2019-01-10 02 A,1888.200868069842
2019-01-10 03 A,1789.485953048228
2019-01-10 04 A,1775.909386310302
2019-01-10 05 A,2003.8660587083693
2019-01-10 06 A,2166.9168597508196
2019-01-10 07 A,2412.8283108493247
2019-01-10 08 A,2884.327671286251
2019-01-10 09 A,3043.640215456824
2019-01-10 10 A,2751.6114724409185
2019-01-10 11 A,2808.414926237001
2019-01-10 12 A,2405.0605914551165
2019-01-10 13 A,2194.7682235145217
2019-01-10 14 A,2094.570777309776
2019-01-10 15 A,2020.568157635754
2019-01-10 16 A,1952.00298477906
2019-01-10 17 A,1977.6046591866018
2019-01-10 18 A,2259.599647283009
2019-01-10 19 A,2597.6182438477817
2019-01-10 20 A,2636.1630674697817
2019-01-10 21 A,2544.9626301423236
2019-01-10 22 A,2522.9824526192856
2019-01-10 23 A,2357.938244732917
2019-01-10 24 A,2171.450873762096
2019-01-11 01 A,2050.2130981605965
2019-01-11 02 A,1771.5906045650433
2019-01-11 03 A,1596.9391785693904
2019-01-11 04 A,1608.0090400928418
2019-01-11 05 A,1800.2490882148988
2019-01-11 06 A,1977.514512141439
2019-01-11 07 A,2198.6298987520413
2019-01-11 08 A,2720.6386015113867
2019-01-11 09 A,2834.377641056061
2019-01-11 10 A,2852.030477723854
2019-01-11 11 A,2802.5279438168636
2019-01-11 12 A,2580.6133724127826
2019-01-11 13 A,2207.7181298321343
2019-01-11 14 A,2204.142431439193
2019-01-11 15 A,2031.5197914869932
2019-01-11 16 A,1942.9409472275054
2019-01-11 17 A,2141.794395174969
2019-01-11 18 A,2343.951065517925
2019-01-11 19 A,2598.1364322860695
2019-01-11 20 A,2612.8379681603083
2019-01-11 21 A,2608.1885164119926
2019-01-11 22 A,2465.7933192892056
2019-01-11 23 A,2329.1897633731483
2019-01-11 24 A,2165.578525356314
2019-01-12 01 A,2148.5637205968637
2019-01-12 02 A,1863.1975715209146
2019-01-12 03 A,1605.9621293604075
2019-01-12 04 A,1654.3470896133451
2019-01-12 05 A,1792.7284694856082
2019-01-12 06 A,1954.7312348095238
2019-01-12 07 A,2022.255729489076
2019-01-12 08 A,2426.9654350700407
2019-01-12 09 A,2616.5063434583694
2019-01-12 10 A,2667.0450633597898
2019-01-12 11 A,2554.2990646861845
2019-01-12 12 A,2349.5464054205295
2019-01-12 13 A,2103.2654991997156
2019-01-12 14 A,1979.599490779415
2019-01-12 15 A,1899.3341950464003
2019-01-12 16 A,1868.8944741237983
2019-01-12 17 A,1863.9057016031236
2019-01-12 18 A,2091.944713327635
2019-01-12 19 A,2446.840254308852
2019-01-12 20 A,2498.617275196049
2019-01-12 21 A,2370.0069066723413
2019-01-12 22 A,2303.967648019231
2019-01-12 23 A,2176.027290197488
2019-01-12 24 A,2047.893853239293
2019-01-13 01 A,1904.1002135088713
2019-01-13 02 A,1571.174851794454
2019-01-13 03 A,1569.374669443038
2019-01-13 04 A,1544.73432608702
2019-01-13 05 A,1662.042631003449
2019-01-13 06 A,1889.3643982006543
2019-01-13 07 A,1855.86272197824
2019-01-13 08 A,2099.981834903332
2019-01-13 09 A,2345.1662866728416
2019-01-13 10 A,2502.433952966829
2019-01-13 11 A,2373.8075102233847
2019-01-13 12 A,2164.0322831497074
2019-01-13 13 A,2083.1735351386783
2019-01-13 14 A,1955.745488379184
2019-01-13 15 A,1883.3198870214128
2019-01-13 16 A,1882.4248494769352
2019-01-13 17 A,1903.88089202273
2019-01-13 18 A,2181.670453763527
2019-01-13 19 A,2520.5967222030235
2019-01-13 20 A,2454.0985394894965
2019-01-13 21 A,2344.4846522716593
2019-01-13 22 A,2317.289985241588
2019-01-13 23 A,2203.459792705214
2019-01-13 24 A,2032.4561352626115
2019-01-14 01 A,1876.4349045967913
2019-01-14 02 A,1605.2992375389542
2019-01-14 03 A,1590.4950642023578
2019-01-14 04 A,1607.084806803906
2019-01-14 05 A,1870.3370148662518
2019-01-14 06 A,1986.665282954171
2019-01-14 07 A,2342.151779139896
2019-01-14 08 A,2727.9738056935544
2019-01-14 09 A,2811.5656505924703
2019-01-14 10 A,2809.862885040436
2019-01-14 11 A,2688.521210545823
2019-01-14 12 A,2504.2066790348367
2019-01-14 13 A,2291.554756082735
2019-01-14 14 A,2189.4119314180816
2019-01-14 15 A,2043.789783800107
2019-01-14 16 A,2000.0723493989444
2019-01-14 17 A,2042.6020173934587
2019-01-14 18 A,2235.366592197877
2019-01-14 19 A,2666.897555211253
2019-01-14 20 A,2716.875346101868
2019-01-14 21 A,2647.2133701418147
2019-01-14 22 A,2600.9698535361563
2019-01-14 23 A,2512.581028577004
2019-01-14 24 A,2274.177314174896
2019-01-15 01 A,1982.6290017457447
2019-01-15 02 A,1891.987532121883
2019-01-15 03 A,1758.1926970017885
2019-01-15 04 A,1808.8171209298587
2019-01-15 05 A,1876.53756358132
2019-01-15 06 A,2006.1386616931688
2019-01-15 07 A,2430.3736681814985
2019-01-15 08 A,2925.1166117141584
2019-01-15 09 A,3073.6727442351003
2019-01-15 10 A,2713.2596470848002
2019-01-15 11 A,2749.0796056599197
2019-01-15 12 A,2594.2764242350268
2019-01-15 13 A,2402.3114699478133
2019-01-15 14 A,2242.667434045593
2019-01-15 15 A,2141.6882879543277
2019-01-15 16 A,1924.9307723260865
2019-01-15 17 A,2078.895679650311
2019-01-15 18 A,2303.7100605417504
2019-01-15 19 A,2866.3200042082485
2019-01-15 20 A,2720.8723456671128
