일자|시간|구분,공급량
2019-01-01 01 A,1959.1377571048135
2019-01-01 02 A,1863.06687023404
2019-01-01 03 A,1756.2744482093465
2019-01-01 04 A,1787.0945511961788
2019-01-01 05 A,1875.587556154848
2019-01-01 06 A,1994.8722097552081
2019-01-01 07 A,2407.544861415887
2019-01-01 08 A,2877.9821999871306
2019-01-01 09 A,3041.081381281323
2019-01-01 10 A,2702.300008635228
2019-01-01 11 A,2742.271768489305
2019-01-01 12 A,2611.1119423382256
2019-01-01 13 A,2376.08777670635
2019-01-01 14 A,2212.810789987986
2019-01-01 15 A,2127.538292755207
2019-01-01 16 A,1917.8109304798202
2019-01-01 17 A,2043.921013071477
2019-01-01 18 A,2302.5899678945575
2019-01-01 19 A,2822.5319835901605
2019-01-01 20 A,2719.339484662693
2019-01-01 21 A,2642.9871167854217
2019-01-01 22 A,2556.6593411006047
2019-01-01 23 A,2383.391332977209
2019-01-01 24 A,2262.794144747669
2019-01-02 01 A,1966.7606181899355
2019-01-02 02 A,1704.1789538309476
2019-01-02 03 A,1598.1701671118497
2019-01-02 04 A,1621.4142173579883
2019-01-02 05 A,1797.6141140355182
2019-01-02 06 A,2014.1723386906735
2019-01-02 07 A,2250.041690233488
2019-01-02 08 A,2723.5025793360282
2019-01-02 09 A,2893.8024022645964
2019-01-02 10 A,2774.455584902724
2019-01-02 11 A,2760.0723336774954
2019-01-02 12 A,2509.3932920449947
2019-01-02 13 A,2366.594868118469
2019-01-02 14 A,2257.6374436634264
2019-01-02 15 A,2098.7158186361153
2019-01-02 16 A,2011.1665202024242
2019-01-02 17 A,2118.970131116345
2019-01-02 18 A,2326.9808927589224
2019-01-02 19 A,2665.285127020696
2019-01-02 20 A,2752.053792591158
2019-01-02 21 A,2666.878388584019
2019-01-02 22 A,2589.649300893502
2019-01-02 23 A,2504.353703245654
2019-01-02 24 A,2372.638765556882
2019-01-03 01 A,2015.9103010063163
2019-01-03 02 A,1898.4415691097959
2019-01-03 03 A,1793.7469565894223
2019-01-03 04 A,1760.2975923824179
2019-01-03 05 A,1981.9648820488565
2019-01-03 06 A,2166.6191545360834
2019-01-03 07 A,2437.2645665291384
2019-01-03 08 A,2874.7647428076457
2019-01-03 09 A,3030.5815486710344
2019-01-03 10 A,2813.8798676077436
2019-01-03 11 A,2814.4100535845173
2019-01-03 12 A,2382.0105187223294
2019-01-03 13 A,2169.1684244712637
2019-01-03 14 A,2052.924403430951
2019-01-03 15 A,2028.587693926982
2019-01-03 16 A,1969.066364437833
2019-01-03 17 A,1989.3835705647446
2019-01-03 18 A,2245.912961297449
2019-01-03 19 A,2604.0396901412346
2019-01-03 20 A,2604.679274905932
2019-01-03 21 A,2548.8969563315204
2019-01-03 22 A,2517.9889864911524
2019-01-03 23 A,2342.1803664233134
2019-01-03 24 A,2154.64140229516
2019-01-04 01 A,2025.605637407473
2019-01-04 02 A,1736.8245732111325
2019-01-04 03 A,1542.177374714581
2019-01-04 04 A,1596.6202561475857
2019-01-04 05 A,1829.7805435185749
2019-01-04 06 A,1974.751397448299
2019-01-04 07 A,2230.9871167330016
2019-01-04 08 A,2777.494839546258
2019-01-04 09 A,2820.1821960116954
2019-01-04 10 A,2897.2213910242276
2019-01-04 11 A,2813.6224303331182
2019-01-04 12 A,2578.7130036993144
2019-01-04 13 A,2158.3837827199527
2019-01-04 14 A,2216.9821220660106
2019-01-04 15 A,2045.6225901301932
2019-01-04 16 A,1970.7359256888976
2019-01-04 17 A,2100.426000982775
2019-01-04 18 A,2325.146802444292
2019-01-04 19 A,2600.6128352242677
2019-01-04 20 A,2572.2763927847486
2019-01-04 21 A,2630.466837396558
2019-01-04 22 A,2498.6540789808028
2019-01-04 23 A,2370.1204305551278
2019-01-04 24 A,2189.327601618572
2019-01-05 01 A,2131.653429933122
2019-01-05 02 A,1858.8757037198632
2019-01-05 03 A,1611.0931633967164
2019-01-05 04 A,1659.7633569757147
2019-01-05 05 A,1810.5382288943194
2019-01-05 06 A,1957.699171906551
2019-01-05 07 A,2038.5487247251585
2019-01-05 08 A,2402.313776611125
2019-01-05 09 A,2676.51369133888
2019-01-05 10 A,2710.568768974084
2019-01-05 11 A,2561.1132133129886
2019-01-05 12 A,2348.406087764865
2019-01-05 13 A,2096.4150615119524
2019-01-05 14 A,2001.2939934834824
2019-01-05 15 A,1886.643202381526
2019-01-05 16 A,1869.4863578281477
2019-01-05 17 A,1835.2798275105597
2019-01-05 18 A,2111.997239210708
2019-01-05 19 A,2469.839737602199
2019-01-05 20 A,2481.5875833334735
2019-01-05 21 A,2407.8277371384243
2019-01-05 22 A,2336.9059855536293
2019-01-05 23 A,2175.1769279750756
2019-01-05 24 A,2036.7965978605198
2019-01-06 01 A,1879.3744291473513
2019-01-06 02 A,1643.60594935281
2019-01-06 03 A,1532.702377122704
2019-01-06 04 A,1557.6215608779512
2019-01-06 05 A,1685.0565635282653
2019-01-06 06 A,1824.6231848523694
2019-01-06 07 A,1865.1654427159874
2019-01-06 08 A,2114.8779370822804
2019-01-06 09 A,2414.384970960167
2019-01-06 10 A,2564.6406928721613
2019-01-06 11 A,2385.179936336168
2019-01-06 12 A,2195.658254031397
2019-01-06 13 A,2077.2542579838323
2019-01-06 14 A,1956.813008754899
2019-01-06 15 A,1899.50859173505
2019-01-06 16 A,1896.4204186546121
2019-01-06 17 A,1911.4749137186657
2019-01-06 18 A,2178.986301077172
2019-01-06 19 A,2536.1401562379147
2019-01-06 20 A,2434.613608224415
2019-01-06 21 A,2323.0631789194917
2019-01-06 22 A,2333.581827853475
2019-01-06 23 A,2210.5081449904887
2019-01-06 24 A,2046.4608997114944
2019-01-07 01 A,1837.8188532652864
2019-01-07 02 A,1577.6158836623008
2019-01-07 03 A,1523.3214279632748
2019-01-07 04 A,1559.8431710852456
2019-01-07 05 A,1836.7399852869876
2019-01-07 06 A,2029.0740550467062
2019-01-07 07 A,2332.9150740736436
2019-01-07 08 A,2695.474126366211
2019-01-07 09 A,2795.4594438996482
2019-01-07 10 A,2763.013081890145
2019-01-07 11 A,2713.3526068810297
2019-01-07 12 A,2452.9062549353343
2019-01-07 13 A,2257.040565234221
2019-01-07 14 A,2178.402821456319
2019-01-07 15 A,2040.1696963631475
2019-01-07 16 A,2012.5954285212113
2019-01-07 17 A,2033.2861840132057
2019-01-07 18 A,2221.7452216470133
2019-01-07 19 A,2619.3290421109195
2019-01-07 20 A,2720.1819667908794
2019-01-07 21 A,2650.583788923433
2019-01-07 22 A,2591.116636790181
2019-01-07 23 A,2515.1892607672703
2019-01-07 24 A,2290.7104430800173
2019-01-08 01 A,1959.1377571048135
2019-01-08 02 A,1863.06687023404
2019-01-08 03 A,1756.2744482093465
2019-01-08 04 A,1787.0945511961788
2019-01-08 05 A,1875.587556154848
2019-01-08 06 A,1994.8722097552081
2019-01-08 07 A,2407.544861415887
2019-01-08 08 A,2877.9821999871306
2019-01-08 09 A,3041.081381281323
2019-01-08 10 A,2702.300008635228
2019-01-08 11 A,2742.271768489305
2019-01-08 12 A,2611.1119423382256
2019-01-08 13 A,2376.08777670635
2019-01-08 14 A,2212.810789987986
2019-01-08 15 A,2127.538292755207
2019-01-08 16 A,1917.8109304798202
2019-01-08 17 A,2043.921013071477
2019-01-08 18 A,2302.5899678945575
2019-01-08 19 A,2822.5319835901605
2019-01-08 20 A,2719.339484662693
2019-01-08 21 A,2642.9871167854217
2019-01-08 22 A,2556.6593411006047
2019-01-08 23 A,2383.391332977209
2019-01-08 24 A,2262.794144747669
2019-01-09 01 A,1966.7606181899355
2019-01-09 02 A,1704.1789538309476
2019-01-09 03 A,1598.1701671118497
2019-01-09 04 A,1621.4142173579883
2019-01-09 05 A,1797.6141140355182
2019-01-09 06 A,2014.1723386906735
2019-01-09 07 A,2250.041690233488
2019-01-09 08 A,2723.5025793360282
2019-01-09 09 A,2893.8024022645964
2019-01-09 10 A,2774.455584902724
2019-01-09 11 A,2760.0723336774954
2019-01-09 12 A,2509.3932920449947
2019-01-09 13 A,2366.594868118469
2019-01-09 14 A,2257.6374436634264
2019-01-09 15 A,2098.7158186361153
2019-01-09 16 A,2011.1665202024242
2019-01-09 17 A,2118.970131116345
2019-01-09 18 A,2326.9808927589224
2019-01-09 19 A,2665.285127020696
2019-01-09 20 A,2752.053792591158
2019-01-09 21 A,2666.878388584019
2019-01-09 22 A,2589.649300893502
2019-01-09 23 A,2504.353703245654
2019-01-09 24 A,2372.638765556882
2019-01-10 01 A,2015.9103010063163
2019-01-10 02 A,1898.4415691097959
2019-01-10 03 A,1793.7469565894223
2019-01-10 04 A,1760.2975923824179
2019-01-10 05 A,1981.9648820488565
2019-01-10 06 A,2166.6191545360834
2019-01-10 07 A,2437.2645665291384
2019-01-10 08 A,2874.7647428076457
2019-01-10 09 A,3030.5815486710344
2019-01-10 10 A,2813.8798676077436
2019-01-10 11 A,2814.4100535845173
2019-01-10 12 A,2382.0105187223294
2019-01-10 13 A,2169.1684244712637
2019-01-10 14 A,2052.924403430951
2019-01-10 15 A,2028.587693926982
2019-01-10 16 A,1969.066364437833
2019-01-10 17 A,1989.3835705647446
2019-01-10 18 A,2245.912961297449
2019-01-10 19 A,2604.0396901412346
2019-01-10 20 A,2604.679274905932
2019-01-10 21 A,2548.8969563315204
2019-01-10 22 A,2517.9889864911524
2019-01-10 23 A,2342.1803664233134
2019-01-10 24 A,2154.64140229516
2019-01-11 01 A,2025.605637407473
2019-01-11 02 A,1736.8245732111325
2019-01-11 03 A,1542.177374714581
2019-01-11 04 A,1596.6202561475857
2019-01-11 05 A,1829.7805435185749
2019-01-11 06 A,1974.751397448299
2019-01-11 07 A,2230.9871167330016
2019-01-11 08 A,2777.494839546258
2019-01-11 09 A,2820.1821960116954
2019-01-11 10 A,2897.2213910242276
2019-01-11 11 A,2813.6224303331182
2019-01-11 12 A,2578.7130036993144
2019-01-11 13 A,2158.3837827199527
2019-01-11 14 A,2216.9821220660106
2019-01-11 15 A,2045.6225901301932
2019-01-11 16 A,1970.7359256888976
2019-01-11 17 A,2100.426000982775
