일자|시간|구분,공급량
2019-01-01 01 A,1949.2798327134567
2019-01-01 02 A,1833.4902649409605
2019-01-01 03 A,1744.5668879590094
2019-01-01 04 A,1756.3444736198835
2019-01-01 05 A,1889.0230811917856
2019-01-01 06 A,2033.8727162717826
2019-01-01 07 A,2421.760505104772
2019-01-01 08 A,2898.6765514506333
2019-01-01 09 A,3003.118901082106
2019-01-01 10 A,2737.2354240408677
2019-01-01 11 A,2749.3510933544567
2019-01-01 12 A,2599.1245537779355
2019-01-01 13 A,2400.649042045252
2019-01-01 14 A,2231.316007569656
2019-01-01 15 A,2125.492314803332
2019-01-01 16 A,1921.19526861456
2019-01-01 17 A,2066.337087128893
2019-01-01 18 A,2326.447891420922
2019-01-01 19 A,2803.7983671919324
2019-01-01 20 A,2715.159542367219
2019-01-01 21 A,2641.507090679139
2019-01-01 22 A,2552.065029984008
2019-01-01 23 A,2437.790635537684
2019-01-01 24 A,2315.5837007885707
2019-01-02 01 A,1984.012322425817
2019-01-02 02 A,1753.769953969285
2019-01-02 03 A,1646.012861913545
2019-01-02 04 A,1661.355400026217
2019-01-02 05 A,1833.3831025850006
2019-01-02 06 A,2028.5942614967898
2019-01-02 07 A,2270.946441997304
2019-01-02 08 A,2746.2791622378336
2019-01-02 09 A,2898.4920078007094
2019-01-02 10 A,2753.238936661674
2019-01-02 11 A,2732.244006116202
2019-01-02 12 A,2513.8236585534287
2019-01-02 13 A,2364.229659202382
2019-01-02 14 A,2251.6640788996297
2019-01-02 15 A,2101.2782869591606
2019-01-02 16 A,2017.8214635023326
2019-01-02 17 A,2090.2854744096207
2019-01-02 18 A,2323.599789161732
2019-01-02 19 A,2675.886822209807
2019-01-02 20 A,2740.705944309941
2019-01-02 21 A,2672.9701307459936
2019-01-02 22 A,2587.19502629525
2019-01-02 23 A,2495.110541639952
2019-01-02 24 A,2367.9704300896333
2019-01-03 01 A,2039.2022659503934
2019-01-03 02 A,1890.5632417936108
2019-01-03 03 A,1782.9859751399006
2019-01-03 04 A,1774.0333920461005
2019-01-03 05 A,1974.2252775329068
2019-01-03 06 A,2159.616218348462
2019-01-03 07 A,2444.0314216656066
2019-01-03 08 A,2922.0602857047356
2019-01-03 09 A,3026.553208928489
2019-01-03 10 A,2759.369676184527
2019-01-03 11 A,2788.3046318215993
2019-01-03 12 A,2388.5054032382773
2019-01-03 13 A,2219.044102579593
2019-01-03 14 A,2098.233087101183
2019-01-03 15 A,2041.8580119151832
2019-01-03 16 A,1939.469950858528
2019-01-03 17 A,1964.3659044893773
2019-01-03 18 A,2249.3152091402167
2019-01-03 19 A,2608.465754484126
2019-01-03 20 A,2621.79025640065
2019-01-03 21 A,2583.038654767046
2019-01-03 22 A,2521.9829142169074
2019-01-03 23 A,2388.904046732889
2019-01-03 24 A,2193.269584310379
2019-01-04 01 A,2044.235589493044
2019-01-04 02 A,1773.254072095635
2019-01-04 03 A,1611.6238106440246
2019-01-04 04 A,1638.4460123922756
2019-01-04 05 A,1848.8157770495015
2019-01-04 06 A,2014.5971711605184
2019-01-04 07 A,2274.2502744673634
2019-01-04 08 A,2800.7556728217614
2019-01-04 09 A,2834.371470453786
2019-01-04 10 A,2871.9053806742963
2019-01-04 11 A,2759.532641345409
2019-01-04 12 A,2575.5563440213728
2019-01-04 13 A,2177.789443902166
2019-01-04 14 A,2230.350413831262
2019-01-04 15 A,2031.2246467762577
2019-01-04 16 A,1963.935672937142
2019-01-04 17 A,2064.5010361407535
2019-01-04 18 A,2312.5810397040664
2019-01-04 19 A,2594.7940902761916
2019-01-04 20 A,2593.459845115424
2019-01-04 21 A,2622.9348979242486
2019-01-04 22 A,2492.361784696007
2019-01-04 23 A,2374.9136514060024
2019-01-04 24 A,2230.7404762239394
2019-01-05 01 A,2119.0746911157335
2019-01-05 02 A,1873.9582319182707
2019-01-05 03 A,1630.271190492874
2019-01-05 04 A,1656.1991134538082
2019-01-05 05 A,1807.3689592608844
2019-01-05 06 A,1992.20428063403
2019-01-05 07 A,2077.93430023132
2019-01-05 08 A,2449.978508450263
2019-01-05 09 A,2666.959242372409
2019-01-05 10 A,2720.0703166375783
2019-01-05 11 A,2543.5438291006117
2019-01-05 12 A,2326.722177093049
2019-01-05 13 A,2117.7843087308947
2019-01-05 14 A,1997.4332994036326
2019-01-05 15 A,1885.491587088366
2019-01-05 16 A,1877.7927781590768
2019-01-05 17 A,1863.0651456669325
2019-01-05 18 A,2151.3009344132834
2019-01-05 19 A,2442.5151913904647
2019-01-05 20 A,2491.047580687834
2019-01-05 21 A,2403.361931375388
2019-01-05 22 A,2318.676680032306
2019-01-05 23 A,2186.662465406145
2019-01-05 24 A,2064.6998981218253
2019-01-06 01 A,1845.625974444112
2019-01-06 02 A,1610.3578772674293
2019-01-06 03 A,1529.5373035490675
2019-01-06 04 A,1554.6416022874182
2019-01-06 05 A,1654.451838526049
2019-01-06 06 A,1803.3693433353085
2019-01-06 07 A,1861.1621109717087
2019-01-06 08 A,2139.9204785755783
2019-01-06 09 A,2400.1689143489702
2019-01-06 10 A,2571.467575114257
2019-01-06 11 A,2371.6649553368115
2019-01-06 12 A,2153.7536270328446
2019-01-06 13 A,2091.0574348361424
2019-01-06 14 A,1919.329889648759
2019-01-06 15 A,1872.404753849085
2019-01-06 16 A,1877.5852312231648
2019-01-06 17 A,1932.0228466429141
2019-01-06 18 A,2192.8394380319764
2019-01-06 19 A,2526.0090298958194
2019-01-06 20 A,2403.182478586856
2019-01-06 21 A,2328.5273543411936
2019-01-06 22 A,2357.4591974566165
2019-01-06 23 A,2222.19479829699
2019-01-06 24 A,2062.679341289293
2019-01-07 01 A,1811.5383888236506
2019-01-07 02 A,1557.7362858686668
2019-01-07 03 A,1534.753578619219
2019-01-07 04 A,1559.3817551642055
2019-01-07 05 A,1837.5532562014876
