일자|시간|구분,공급량
2019-01-01 01 A,1887.6495344444456
2019-01-01 02 A,1724.6582327222218
2019-01-01 03 A,1685.6473548333338
2019-01-01 04 A,1826.6543599999993
2019-01-01 05 A,1768.018934
2019-01-01 06 A,2043.4056933333354
2019-01-01 07 A,2115.63501257143
2019-01-01 08 A,2513.853336880951
2019-01-01 09 A,2871.483722666667
2019-01-01 10 A,2761.3462300000015
2019-01-01 11 A,2583.649339333331
2019-01-01 12 A,2395.531727833334
2019-01-01 13 A,2317.4221213333335
2019-01-01 14 A,2250.8145923809534
2019-01-01 15 A,2078.7468069689744
2019-01-01 16 A,2090.7711199999994
2019-01-01 17 A,1909.7178283333315
2019-01-01 18 A,2201.4897886666677
2019-01-01 19 A,2531.8086998888866
2019-01-01 20 A,2627.3769796666666
2019-01-01 21 A,2582.0505370238097
2019-01-01 22 A,2623.9987159999973
2019-01-01 23 A,2416.3456766666654
2019-01-01 24 A,2011.6971552380958
2019-01-02 01 A,1887.6495344444456
2019-01-02 02 A,1724.6582327222218
2019-01-02 03 A,1685.6473548333338
2019-01-02 04 A,1826.6543599999993
2019-01-02 05 A,1768.018934
2019-01-02 06 A,2043.4056933333354
2019-01-02 07 A,2115.63501257143
2019-01-02 08 A,2513.853336880951
2019-01-02 09 A,2871.483722666667
2019-01-02 10 A,2761.3462300000015
2019-01-02 11 A,2583.649339333331
2019-01-02 12 A,2395.531727833334
2019-01-02 13 A,2317.4221213333335
2019-01-02 14 A,2250.8145923809534
2019-01-02 15 A,2078.7468069689744
2019-01-02 16 A,2090.7711199999994
2019-01-02 17 A,1909.7178283333315
2019-01-02 18 A,2201.4897886666677
2019-01-02 19 A,2531.8086998888866
2019-01-02 20 A,2627.3769796666666
2019-01-02 21 A,2582.0505370238097
2019-01-02 22 A,2623.9987159999973
2019-01-02 23 A,2416.3456766666654
2019-01-02 24 A,2011.6971552380958
2019-01-03 01 A,1887.6495344444456
2019-01-03 02 A,1724.6582327222218
2019-01-03 03 A,1685.6473548333338
2019-01-03 04 A,1826.6543599999993
2019-01-03 05 A,1768.018934
2019-01-03 06 A,2043.4056933333354
2019-01-03 07 A,2115.63501257143
2019-01-03 08 A,2513.853336880951
2019-01-03 09 A,2871.483722666667
2019-01-03 10 A,2761.3462300000015
2019-01-03 11 A,2583.649339333331
2019-01-03 12 A,2395.531727833334
2019-01-03 13 A,2317.4221213333335
2019-01-03 14 A,2250.8145923809534
2019-01-03 15 A,2078.7468069689744
2019-01-03 16 A,2090.7711199999994
2019-01-03 17 A,1909.7178283333315
2019-01-03 18 A,2201.4897886666677
2019-01-03 19 A,2531.8086998888866
2019-01-03 20 A,2627.3769796666666
2019-01-03 21 A,2582.0505370238097
2019-01-03 22 A,2623.9987159999973
2019-01-03 23 A,2416.3456766666654
2019-01-03 24 A,2011.6971552380958
2019-01-04 01 A,1887.6495344444456
2019-01-04 02 A,1724.6582327222218
2019-01-04 03 A,1685.6473548333338
2019-01-04 04 A,1826.6543599999993
2019-01-04 05 A,1768.018934
2019-01-04 06 A,2043.4056933333354
2019-01-04 07 A,2115.63501257143
2019-01-04 08 A,2513.853336880951
2019-01-04 09 A,2871.483722666667
2019-01-04 10 A,2761.3462300000015
2019-01-04 11 A,2583.649339333331
2019-01-04 12 A,2395.531727833334
2019-01-04 13 A,2317.4221213333335
2019-01-04 14 A,2250.8145923809534
2019-01-04 15 A,2078.7468069689744
2019-01-04 16 A,2090.7711199999994
2019-01-04 17 A,1909.7178283333315
2019-01-04 18 A,2201.4897886666677
2019-01-04 19 A,2531.8086998888866
2019-01-04 20 A,2627.3769796666666
2019-01-04 21 A,2582.0505370238097
2019-01-04 22 A,2623.9987159999973
2019-01-04 23 A,2416.3456766666654
2019-01-04 24 A,2011.6971552380958
2019-01-05 01 A,1887.6495344444456
2019-01-05 02 A,1724.6582327222218
2019-01-05 03 A,1685.6473548333338
2019-01-05 04 A,1826.6543599999993
2019-01-05 05 A,1768.018934
2019-01-05 06 A,2043.4056933333354
2019-01-05 07 A,2115.63501257143
2019-01-05 08 A,2513.853336880951
2019-01-05 09 A,2871.483722666667
2019-01-05 10 A,2761.3462300000015
2019-01-05 11 A,2583.649339333331
2019-01-05 12 A,2395.531727833334
2019-01-05 13 A,2317.4221213333335
2019-01-05 14 A,2250.8145923809534
2019-01-05 15 A,2078.7468069689744
2019-01-05 16 A,2090.7711199999994
2019-01-05 17 A,1909.7178283333315
2019-01-05 18 A,2201.4897886666677
2019-01-05 19 A,2531.8086998888866
2019-01-05 20 A,2627.3769796666666
2019-01-05 21 A,2582.0505370238097
2019-01-05 22 A,2623.9987159999973
2019-01-05 23 A,2416.3456766666654
2019-01-05 24 A,2011.6971552380958
2019-01-06 01 A,1887.6495344444456
2019-01-06 02 A,1724.6582327222218
2019-01-06 03 A,1685.6473548333338
2019-01-06 04 A,1826.6543599999993
2019-01-06 05 A,1768.018934
2019-01-06 06 A,2043.4056933333354
2019-01-06 07 A,2115.63501257143
2019-01-06 08 A,2513.853336880951
2019-01-06 09 A,2871.483722666667
2019-01-06 10 A,2761.3462300000015
2019-01-06 11 A,2583.649339333331
2019-01-06 12 A,2395.531727833334
2019-01-06 13 A,2317.4221213333335
2019-01-06 14 A,2250.8145923809534
2019-01-06 15 A,2078.7468069689744
2019-01-06 16 A,2090.7711199999994
2019-01-06 17 A,1909.7178283333315
2019-01-06 18 A,2201.4897886666677
2019-01-06 19 A,2531.8086998888866
2019-01-06 20 A,2627.3769796666666
2019-01-06 21 A,2582.0505370238097
2019-01-06 22 A,2623.9987159999973
2019-01-06 23 A,2416.3456766666654
2019-01-06 24 A,2011.6971552380958
2019-01-07 01 A,1887.6495344444456
2019-01-07 02 A,1724.6582327222218
2019-01-07 03 A,1685.6473548333338
2019-01-07 04 A,1826.6543599999993
2019-01-07 05 A,1768.018934
2019-01-07 06 A,2043.4056933333354
2019-01-07 07 A,2115.63501257143
2019-01-07 08 A,2513.853336880951
2019-01-07 09 A,2871.483722666667
2019-01-07 10 A,2761.3462300000015
2019-01-07 11 A,2583.649339333331
2019-01-07 12 A,2395.531727833334
2019-01-07 13 A,2317.4221213333335
2019-01-07 14 A,2250.8145923809534
2019-01-07 15 A,2078.7468069689744
2019-01-07 16 A,2090.7711199999994
2019-01-07 17 A,1909.7178283333315
2019-01-07 18 A,2201.4897886666677
2019-01-07 19 A,2531.8086998888866
2019-01-07 20 A,2627.3769796666666
2019-01-07 21 A,2582.0505370238097
2019-01-07 22 A,2623.9987159999973
2019-01-07 23 A,2416.3456766666654
2019-01-07 24 A,2011.6971552380958
2019-01-08 01 A,1887.6495344444456
2019-01-08 02 A,1724.6582327222218
2019-01-08 03 A,1685.6473548333338
2019-01-08 04 A,1826.6543599999993
2019-01-08 05 A,1768.018934
2019-01-08 06 A,2043.4056933333354
2019-01-08 07 A,2115.63501257143
2019-01-08 08 A,2513.853336880951
2019-01-08 09 A,2871.483722666667
2019-01-08 10 A,2761.3462300000015
2019-01-08 11 A,2583.649339333331
2019-01-08 12 A,2395.531727833334
2019-01-08 13 A,2317.4221213333335
2019-01-08 14 A,2250.8145923809534
2019-01-08 15 A,2078.7468069689744
2019-01-08 16 A,2090.7711199999994
2019-01-08 17 A,1909.7178283333315
2019-01-08 18 A,2201.4897886666677
2019-01-08 19 A,2531.8086998888866
2019-01-08 20 A,2627.3769796666666
2019-01-08 21 A,2582.0505370238097
2019-01-08 22 A,2623.9987159999973
2019-01-08 23 A,2416.3456766666654
2019-01-08 24 A,2011.6971552380958
2019-01-09 01 A,1887.6495344444456
2019-01-09 02 A,1724.6582327222218
2019-01-09 03 A,1685.6473548333338
2019-01-09 04 A,1826.6543599999993
2019-01-09 05 A,1768.018934
2019-01-09 06 A,2043.4056933333354
2019-01-09 07 A,2115.63501257143
2019-01-09 08 A,2513.853336880951
2019-01-09 09 A,2871.483722666667
2019-01-09 10 A,2761.3462300000015
2019-01-09 11 A,2583.649339333331
2019-01-09 12 A,2395.531727833334
2019-01-09 13 A,2317.4221213333335
2019-01-09 14 A,2250.8145923809534
2019-01-09 15 A,2078.7468069689744
2019-01-09 16 A,2090.7711199999994
2019-01-09 17 A,1909.7178283333315
2019-01-09 18 A,2201.4897886666677
2019-01-09 19 A,2531.8086998888866
2019-01-09 20 A,2627.3769796666666
2019-01-09 21 A,2582.0505370238097
2019-01-09 22 A,2623.9987159999973
2019-01-09 23 A,2416.3456766666654
2019-01-09 24 A,2011.6971552380958
2019-01-10 01 A,1887.6495344444456
2019-01-10 02 A,1724.6582327222218
2019-01-10 03 A,1685.6473548333338
2019-01-10 04 A,1826.6543599999993
2019-01-10 05 A,1768.018934
2019-01-10 06 A,2043.4056933333354
2019-01-10 07 A,2115.63501257143
2019-01-10 08 A,2513.853336880951
2019-01-10 09 A,2871.483722666667
2019-01-10 10 A,2761.3462300000015
2019-01-10 11 A,2583.649339333331
2019-01-10 12 A,2395.531727833334
2019-01-10 13 A,2317.4221213333335
2019-01-10 14 A,2250.8145923809534
2019-01-10 15 A,2078.7468069689744
2019-01-10 16 A,2090.7711199999994
2019-01-10 17 A,1909.7178283333315
2019-01-10 18 A,2201.4897886666677
2019-01-10 19 A,2531.8086998888866
2019-01-10 20 A,2627.3769796666666
2019-01-10 21 A,2582.0505370238097
2019-01-10 22 A,2623.9987159999973
2019-01-10 23 A,2416.3456766666654
2019-01-10 24 A,2011.6971552380958
2019-01-11 01 A,1887.6495344444456
2019-01-11 02 A,1724.6582327222218
2019-01-11 03 A,1685.6473548333338
2019-01-11 04 A,1826.6543599999993
2019-01-11 05 A,1768.018934
2019-01-11 06 A,2043.4056933333354
2019-01-11 07 A,2115.63501257143
2019-01-11 08 A,2513.853336880951
