일자|시간|구분,공급량
2019-01-01 01 A,2015.5283548743937
2019-01-01 02 A,1779.5233644848925
2019-01-01 03 A,1663.9192382983829
2019-01-01 04 A,1672.0284123185222
2019-01-01 05 A,1830.2647926655604
2019-01-01 06 A,2007.7968125290058
2019-01-01 07 A,2233.5331651402003
2019-01-01 08 A,2637.3226223096776
2019-01-01 09 A,2820.0044836942966
2019-01-01 10 A,2730.45327860387
2019-01-01 11 A,2621.672731818634
2019-01-01 12 A,2397.2105445091374
2019-01-01 13 A,2195.089638155733
2019-01-01 14 A,2145.9433651663694
2019-01-01 15 A,1994.3326231903554
2019-01-01 16 A,1926.3110132708048
2019-01-01 17 A,2001.3618336263467
2019-01-01 18 A,2244.8613799265677
2019-01-01 19 A,2537.480793752153
2019-01-01 20 A,2621.5826670886354
2019-01-01 21 A,2569.5828859454564
2019-01-01 22 A,2498.7753378360903
2019-01-01 23 A,2383.437004057983
2019-01-01 24 A,2255.3587305884707
2019-01-02 01 A,2015.5283548743937
2019-01-02 02 A,1779.5233644848925
2019-01-02 03 A,1663.9192382983829
2019-01-02 04 A,1672.0284123185222
2019-01-02 05 A,1830.2647926655604
2019-01-02 06 A,2007.7968125290058
2019-01-02 07 A,2233.5331651402003
2019-01-02 08 A,2637.3226223096776
2019-01-02 09 A,2820.0044836942966
2019-01-02 10 A,2730.45327860387
2019-01-02 11 A,2621.672731818634
2019-01-02 12 A,2397.2105445091374
2019-01-02 13 A,2195.089638155733
2019-01-02 14 A,2145.9433651663694
2019-01-02 15 A,1994.3326231903554
2019-01-02 16 A,1926.3110132708048
2019-01-02 17 A,2001.3618336263467
2019-01-02 18 A,2244.8613799265677
2019-01-02 19 A,2537.480793752153
2019-01-02 20 A,2621.5826670886354
2019-01-02 21 A,2569.5828859454564
2019-01-02 22 A,2498.7753378360903
2019-01-02 23 A,2383.437004057983
2019-01-02 24 A,2255.3587305884707
2019-01-03 01 A,2015.5283548743937
2019-01-03 02 A,1779.5233644848925
2019-01-03 03 A,1663.9192382983829
2019-01-03 04 A,1672.0284123185222
2019-01-03 05 A,1830.2647926655604
2019-01-03 06 A,2007.7968125290058
2019-01-03 07 A,2233.5331651402003
2019-01-03 08 A,2637.3226223096776
2019-01-03 09 A,2820.0044836942966
2019-01-03 10 A,2730.45327860387
2019-01-03 11 A,2621.672731818634
2019-01-03 12 A,2397.2105445091374
2019-01-03 13 A,2195.089638155733
2019-01-03 14 A,2145.9433651663694
2019-01-03 15 A,1994.3326231903554
2019-01-03 16 A,1926.3110132708048
2019-01-03 17 A,2001.3618336263467
2019-01-03 18 A,2244.8613799265677
2019-01-03 19 A,2537.480793752153
2019-01-03 20 A,2621.5826670886354
2019-01-03 21 A,2569.5828859454564
2019-01-03 22 A,2498.7753378360903
2019-01-03 23 A,2383.437004057983
2019-01-03 24 A,2255.3587305884707
2019-01-04 01 A,2015.5283548743937
2019-01-04 02 A,1779.5233644848925
2019-01-04 03 A,1663.9192382983829
2019-01-04 04 A,1672.0284123185222
2019-01-04 05 A,1830.2647926655604
2019-01-04 06 A,2007.7968125290058
2019-01-04 07 A,2233.5331651402003
2019-01-04 08 A,2637.3226223096776
2019-01-04 09 A,2820.0044836942966
2019-01-04 10 A,2730.45327860387
2019-01-04 11 A,2621.672731818634
2019-01-04 12 A,2397.2105445091374
2019-01-04 13 A,2195.089638155733
2019-01-04 14 A,2145.9433651663694
2019-01-04 15 A,1994.3326231903554
2019-01-04 16 A,1926.3110132708048
2019-01-04 17 A,2001.3618336263467
2019-01-04 18 A,2244.8613799265677
2019-01-04 19 A,2537.480793752153
2019-01-04 20 A,2621.5826670886354
2019-01-04 21 A,2569.5828859454564
2019-01-04 22 A,2498.7753378360903
2019-01-04 23 A,2383.437004057983
2019-01-04 24 A,2255.3587305884707
2019-01-05 01 A,2015.5283548743937
2019-01-05 02 A,1779.5233644848925
2019-01-05 03 A,1663.9192382983829
2019-01-05 04 A,1672.0284123185222
2019-01-05 05 A,1830.2647926655604
2019-01-05 06 A,2007.7968125290058
2019-01-05 07 A,2233.5331651402003
2019-01-05 08 A,2637.3226223096776
2019-01-05 09 A,2820.0044836942966
2019-01-05 10 A,2730.45327860387
2019-01-05 11 A,2621.672731818634
2019-01-05 12 A,2397.2105445091374
