일자|시간|구분,공급량
2019-01-01 01 A,1940.8154976276728
2019-01-01 02 A,1695.9544642047476
2019-01-01 03 A,1665.6382209408584
2019-01-01 04 A,1829.480644492593
2019-01-01 05 A,1821.860353547066
2019-01-01 06 A,2049.990386264504
2019-01-01 07 A,2166.036304236767
2019-01-01 08 A,2575.580107071505
2019-01-01 09 A,2861.177250656672
2019-01-01 10 A,2742.1451626352687
2019-01-01 11 A,2660.175464909317
2019-01-01 12 A,2334.695135708934
2019-01-01 13 A,2265.6539771254866
2019-01-01 14 A,2213.9265339165186
2019-01-01 15 A,2053.9119503451784
2019-01-01 16 A,2084.448155325878
2019-01-01 17 A,1887.7281268131728
2019-01-01 18 A,2238.665036629951
2019-01-01 19 A,2552.9424512286814
2019-01-01 20 A,2613.076261298286
2019-01-01 21 A,2574.9997612822526
2019-01-01 22 A,2554.918209695822
2019-01-01 23 A,2380.1093186956577
2019-01-01 24 A,2147.0812287942363
2019-01-02 01 A,1940.8154976276728
2019-01-02 02 A,1695.9544642047476
2019-01-02 03 A,1665.6382209408584
2019-01-02 04 A,1829.480644492593
2019-01-02 05 A,1821.860353547066
2019-01-02 06 A,2049.990386264504
2019-01-02 07 A,2166.036304236767
2019-01-02 08 A,2575.580107071505
2019-01-02 09 A,2861.177250656672
2019-01-02 10 A,2742.1451626352687
2019-01-02 11 A,2660.175464909317
2019-01-02 12 A,2334.695135708934
2019-01-02 13 A,2265.6539771254866
2019-01-02 14 A,2213.9265339165186
2019-01-02 15 A,2053.9119503451784
2019-01-02 16 A,2084.448155325878
2019-01-02 17 A,1887.7281268131728
2019-01-02 18 A,2238.665036629951
2019-01-02 19 A,2552.9424512286814
2019-01-02 20 A,2613.076261298286
2019-01-02 21 A,2574.9997612822526
2019-01-02 22 A,2554.918209695822
2019-01-02 23 A,2380.1093186956577
2019-01-02 24 A,2147.0812287942363
2019-01-03 01 A,1940.8154976276728
2019-01-03 02 A,1695.9544642047476
2019-01-03 03 A,1665.6382209408584
2019-01-03 04 A,1829.480644492593
2019-01-03 05 A,1821.860353547066
2019-01-03 06 A,2049.990386264504
2019-01-03 07 A,2166.036304236767
2019-01-03 08 A,2575.580107071505
2019-01-03 09 A,2861.177250656672
2019-01-03 10 A,2742.1451626352687
2019-01-03 11 A,2660.175464909317
2019-01-03 12 A,2334.695135708934
2019-01-03 13 A,2265.6539771254866
2019-01-03 14 A,2213.9265339165186
2019-01-03 15 A,2053.9119503451784
2019-01-03 16 A,2084.448155325878
2019-01-03 17 A,1887.7281268131728
2019-01-03 18 A,2238.665036629951
2019-01-03 19 A,2552.9424512286814
2019-01-03 20 A,2613.076261298286
2019-01-03 21 A,2574.9997612822526
2019-01-03 22 A,2554.918209695822
2019-01-03 23 A,2380.1093186956577
2019-01-03 24 A,2147.0812287942363
