일자|시간|구분,공급량
2019-01-01 01 A,1945.2620043183251
2019-01-01 02 A,1698.2361659923001
2019-01-01 03 A,1653.7530302199175
2019-01-01 04 A,1752.3275710271564
2019-01-01 05 A,1869.1014183671825
2019-01-01 06 A,2037.436949153464
2019-01-01 07 A,2201.33299286425
2019-01-01 08 A,2558.836075271457
2019-01-01 09 A,2866.067459474539
2019-01-01 10 A,2709.9429850427814
2019-01-01 11 A,2611.4864912682906
2019-01-01 12 A,2348.483516838872
2019-01-01 13 A,2259.358275550575
2019-01-01 14 A,2181.651162566166
2019-01-01 15 A,2024.3436727720746
2019-01-01 16 A,2003.5396370396834
2019-01-01 17 A,1929.6595563173141
2019-01-01 18 A,2214.951031741807
2019-01-01 19 A,2545.905097494181
2019-01-01 20 A,2668.5209922222175
2019-01-01 21 A,2617.0081292755476
2019-01-01 22 A,2529.3797008562983
2019-01-01 23 A,2424.9109613620303
2019-01-01 24 A,2190.49353522376
2019-01-02 01 A,1945.2620043183251
2019-01-02 02 A,1698.2361659923001
2019-01-02 03 A,1653.7530302199175
2019-01-02 04 A,1752.3275710271564
2019-01-02 05 A,1869.1014183671825
2019-01-02 06 A,2037.436949153464
2019-01-02 07 A,2201.33299286425
2019-01-02 08 A,2558.836075271457
2019-01-02 09 A,2866.067459474539
2019-01-02 10 A,2709.9429850427814
2019-01-02 11 A,2611.4864912682906
2019-01-02 12 A,2348.483516838872
2019-01-02 13 A,2259.358275550575
2019-01-02 14 A,2181.651162566166
2019-01-02 15 A,2024.3436727720746
2019-01-02 16 A,2003.5396370396834
2019-01-02 17 A,1929.6595563173141
2019-01-02 18 A,2214.951031741807
2019-01-02 19 A,2545.905097494181
2019-01-02 20 A,2668.5209922222175
2019-01-02 21 A,2617.0081292755476
2019-01-02 22 A,2529.3797008562983
2019-01-02 23 A,2424.9109613620303
2019-01-02 24 A,2190.49353522376
2019-01-03 01 A,1945.2620043183251
2019-01-03 02 A,1698.2361659923001
2019-01-03 03 A,1653.7530302199175
2019-01-03 04 A,1752.3275710271564
2019-01-03 05 A,1869.1014183671825
2019-01-03 06 A,2037.436949153464
2019-01-03 07 A,2201.33299286425
2019-01-03 08 A,2558.836075271457
2019-01-03 09 A,2866.067459474539
2019-01-03 10 A,2709.9429850427814
2019-01-03 11 A,2611.4864912682906
2019-01-03 12 A,2348.483516838872
2019-01-03 13 A,2259.358275550575
2019-01-03 14 A,2181.651162566166
2019-01-03 15 A,2024.3436727720746
2019-01-03 16 A,2003.5396370396834
2019-01-03 17 A,1929.6595563173141
2019-01-03 18 A,2214.951031741807
2019-01-03 19 A,2545.905097494181
2019-01-03 20 A,2668.5209922222175
2019-01-03 21 A,2617.0081292755476
2019-01-03 22 A,2529.3797008562983
2019-01-03 23 A,2424.9109613620303
2019-01-03 24 A,2190.49353522376
2019-01-04 01 A,1945.2620043183251
2019-01-04 02 A,1698.2361659923001
2019-01-04 03 A,1653.7530302199175
2019-01-04 04 A,1752.3275710271564
2019-01-04 05 A,1869.1014183671825
2019-01-04 06 A,2037.436949153464
2019-01-04 07 A,2201.33299286425
2019-01-04 08 A,2558.836075271457
2019-01-04 09 A,2866.067459474539
2019-01-04 10 A,2709.9429850427814
2019-01-04 11 A,2611.4864912682906
2019-01-04 12 A,2348.483516838872
2019-01-04 13 A,2259.358275550575
2019-01-04 14 A,2181.651162566166
2019-01-04 15 A,2024.3436727720746
2019-01-04 16 A,2003.5396370396834
2019-01-04 17 A,1929.6595563173141
2019-01-04 18 A,2214.951031741807
2019-01-04 19 A,2545.905097494181
2019-01-04 20 A,2668.5209922222175
2019-01-04 21 A,2617.0081292755476
