일자|시간|구분,공급량
2019-01-01 01 A,1853.1279129617303
2019-01-01 02 A,1584.2731277013136
2019-01-01 03 A,1580.2789477981623
2019-01-01 04 A,1658.7165918167846
2019-01-01 05 A,1670.9580335634712
2019-01-01 06 A,1831.1378678903836
2019-01-01 07 A,2094.943279086844
2019-01-01 08 A,2550.815711540676
2019-01-01 09 A,2421.308670896445
2019-01-01 10 A,2330.5109528570392
2019-01-01 11 A,2183.9815792121285
2019-01-01 12 A,2050.569786812458
2019-01-01 13 A,2086.119241372409
2019-01-01 14 A,2056.832006087529
2019-01-01 15 A,1893.265910327422
2019-01-01 16 A,1869.2920842034896
2019-01-01 17 A,1930.4793303569284
2019-01-01 18 A,2184.4005400322603
2019-01-01 19 A,2489.7186281925246
2019-01-01 20 A,2606.766222557552
2019-01-01 21 A,2489.5948167038237
2019-01-01 22 A,2418.373225799462
2019-01-01 23 A,2182.975978896452
2019-01-01 24 A,2149.6548349699588
2019-01-02 01 A,1841.1120714670408
2019-01-02 02 A,1624.1665295779055
2019-01-02 03 A,1568.1852637029467
2019-01-02 04 A,1555.8953775224654
2019-01-02 05 A,1741.1563990712027
2019-01-02 06 A,1826.568542070042
2019-01-02 07 A,2059.6619499595545
2019-01-02 08 A,2626.088283633738
2019-01-02 09 A,2439.2445111842912
2019-01-02 10 A,2231.6429692287575
2019-01-02 11 A,2030.5370540257852
2019-01-02 12 A,2027.769855935461
2019-01-02 13 A,1892.6143728631848
2019-01-02 14 A,1787.753840040692
2019-01-02 15 A,1696.097400721018
2019-01-02 16 A,1775.9291229801377
2019-01-02 17 A,1756.7293342584733
2019-01-02 18 A,1983.7707687040447
2019-01-02 19 A,2339.903733720262
2019-01-02 20 A,2468.4054137091166
2019-01-02 21 A,2357.453788871385
2019-01-02 22 A,2310.166882297908
2019-01-02 23 A,2176.1639458242166
2019-01-02 24 A,2142.7658392083267
2019-01-03 01 A,1738.1333717899004
2019-01-03 02 A,1512.8973632727061
2019-01-03 03 A,1530.1974924378576
2019-01-03 04 A,1575.451423341305
2019-01-03 05 A,1766.9112787106126
2019-01-03 06 A,2072.8314589426473
2019-01-03 07 A,2326.3571807283042
2019-01-03 08 A,2429.431621797814
2019-01-03 09 A,2356.7827146213226
2019-01-03 10 A,2250.770465351822
2019-01-03 11 A,2123.891604533242
2019-01-03 12 A,2057.1867918834
2019-01-03 13 A,2065.4632801680636
2019-01-03 14 A,2057.4587509750872
2019-01-03 15 A,2016.1109620471784
2019-01-03 16 A,1925.827892608759
2019-01-03 17 A,1916.0898905950517
2019-01-03 18 A,2173.171932491018
2019-01-03 19 A,2410.818056086863
2019-01-03 20 A,2495.7744742249097
2019-01-03 21 A,2375.4567996747996
2019-01-03 22 A,2440.0273490033014
2019-01-03 23 A,2279.235847455947
2019-01-03 24 A,2170.105702609228
2019-01-04 01 A,1837.2157821131902
2019-01-04 02 A,1624.5622956802476
2019-01-04 03 A,1569.1285627346101
2019-01-04 04 A,1564.5287722684843
2019-01-04 05 A,1694.0425592899321
2019-01-04 06 A,1891.862821125342
2019-01-04 07 A,2191.075015976891
2019-01-04 08 A,2431.920308945342
2019-01-04 09 A,2372.143535495732
2019-01-04 10 A,2450.479815622609
2019-01-04 11 A,2191.256397738832
2019-01-04 12 A,2042.2908958405503
2019-01-04 13 A,1895.1782618138755
2019-01-04 14 A,1830.9732039148082
2019-01-04 15 A,1803.3467932017923
2019-01-04 16 A,1670.8758132276926
2019-01-04 17 A,1750.2031607537742
2019-01-04 18 A,2176.380537160858
2019-01-04 19 A,2144.5183038789296
2019-01-04 20 A,2457.724081752281
2019-01-04 21 A,2466.669887286003
2019-01-04 22 A,2315.4455196687177
2019-01-04 23 A,2192.822483650392
2019-01-04 24 A,2135.7398371184017
2019-01-05 01 A,1829.820227206883
2019-01-05 02 A,1636.500201712404
2019-01-05 03 A,1571.739152743546
2019-01-05 04 A,1574.0220729679581
2019-01-05 05 A,1615.9797415723035
2019-01-05 06 A,1704.790680071706
2019-01-05 07 A,1809.6751202399032
2019-01-05 08 A,2245.5104241054732
2019-01-05 09 A,2364.0714253783885
2019-01-05 10 A,2298.2450177140054
2019-01-05 11 A,2292.64559902691
2019-01-05 12 A,1841.5232854280127
2019-01-05 13 A,2117.2771056459806
2019-01-05 14 A,1943.3679647676386
2019-01-05 15 A,1719.3537692644477
2019-01-05 16 A,1658.6451770722035
2019-01-05 17 A,1706.3943639209167
2019-01-05 18 A,1971.0967327670578
2019-01-05 19 A,2167.9679099535633
2019-01-05 20 A,2130.1167097055977
2019-01-05 21 A,2201.517811175943
2019-01-05 22 A,2196.3564523017953
2019-01-05 23 A,1995.5720363960656
2019-01-05 24 A,1862.8237099626529
2019-01-06 01 A,1666.9004987253363
2019-01-06 02 A,1590.4190141016998
2019-01-06 03 A,1620.6382709775294
2019-01-06 04 A,1532.529899153
2019-01-06 05 A,1603.098038421872
2019-01-06 06 A,1600.3010882676383
2019-01-06 07 A,2016.0092395434476
2019-01-06 08 A,2282.555226189946
2019-01-06 09 A,2193.8176735371835
2019-01-06 10 A,2266.660231643422
2019-01-06 11 A,2172.083293693119
2019-01-06 12 A,1830.4469396320324
2019-01-06 13 A,1956.0681640625096
2019-01-06 14 A,1762.2257480674793
2019-01-06 15 A,1643.6194990699823
2019-01-06 16 A,1754.2943735871668
2019-01-06 17 A,1761.162652502629
2019-01-06 18 A,1947.9162628549368
2019-01-06 19 A,1922.1580938183038
2019-01-06 20 A,2128.5969702431275
2019-01-06 21 A,1910.3555421349104
2019-01-06 22 A,2208.470881269056
2019-01-06 23 A,1945.054551438546
2019-01-06 24 A,1927.8301915687573
2019-01-07 01 A,1683.5825080899526
2019-01-07 02 A,1511.6578068468577
2019-01-07 03 A,1433.4474912300452
2019-01-07 04 A,1304.2579831157836
2019-01-07 05 A,1595.5126292120142
2019-01-07 06 A,1653.5898464195511
2019-01-07 07 A,2042.7736484627321
2019-01-07 08 A,2241.66186685686
2019-01-07 09 A,2352.142112329507
2019-01-07 10 A,2314.144756658842
2019-01-07 11 A,2234.704138764084
2019-01-07 12 A,1988.196974136076
2019-01-07 13 A,1954.8799675550308
2019-01-07 14 A,1932.211805191121
2019-01-07 15 A,1797.9035426015319
2019-01-07 16 A,1551.603527433402
2019-01-07 17 A,1665.8541905416266
2019-01-07 18 A,2024.7427899217769
2019-01-07 19 A,2300.312726844807
2019-01-07 20 A,2370.2033128299527
2019-01-07 21 A,2359.751086230246
2019-01-07 22 A,2212.363157396205
2019-01-07 23 A,2171.4979139706825
2019-01-07 24 A,2072.643244880668
2019-01-08 01 A,1853.1279129617303
2019-01-08 02 A,1584.2731277013136
2019-01-08 03 A,1580.2789477981623
2019-01-08 04 A,1658.7165918167846
2019-01-08 05 A,1670.9580335634712
2019-01-08 06 A,1831.1378678903836
2019-01-08 07 A,2094.943279086844
2019-01-08 08 A,2550.815711540676
2019-01-08 09 A,2421.308670896445
2019-01-08 10 A,2330.5109528570392
2019-01-08 11 A,2183.9815792121285
