일자|시간|구분,공급량
2019-01-01 01 A,2017.317662745757
2019-01-01 02 A,1796.8946118202225
2019-01-01 03 A,1707.9096713451768
2019-01-01 04 A,1735.3921795566932
2019-01-01 05 A,1926.6880073691482
2019-01-01 06 A,2089.9941585774145
2019-01-01 07 A,2386.411487479906
2019-01-01 08 A,2839.3618256403333
2019-01-01 09 A,2946.203859007271
2019-01-01 10 A,2842.0632561907178
2019-01-01 11 A,2753.9736192988867
2019-01-01 12 A,2582.664113253164
2019-01-01 13 A,2373.058169900561
2019-01-01 14 A,2227.1819085731804
2019-01-01 15 A,2108.8974094541713
2019-01-01 16 A,2019.3853678042574
2019-01-01 17 A,2075.1501164826527
2019-01-01 18 A,2364.2503678810544
2019-01-01 19 A,2738.613104521566
2019-01-01 20 A,2759.7780524733084
2019-01-01 21 A,2712.0085164829734
2019-01-01 22 A,2609.1703373271143
2019-01-01 23 A,2470.6115359108117
2019-01-01 24 A,2344.258959557126
2019-01-02 01 A,2025.0268343927037
2019-01-02 02 A,1817.9176399708854
2019-01-02 03 A,1706.0492969970178
2019-01-02 04 A,1723.4635785125201
2019-01-02 05 A,1923.102070184655
2019-01-02 06 A,2067.392453837581
2019-01-02 07 A,2368.3319335008473
2019-01-02 08 A,2799.116485380707
2019-01-02 09 A,2913.003250296987
2019-01-02 10 A,2830.159387068097
2019-01-02 11 A,2726.060154996973
2019-01-02 12 A,2543.0498439141384
2019-01-02 13 A,2355.3300006857803
2019-01-02 14 A,2200.306898194938
2019-01-02 15 A,2066.259274046189
2019-01-02 16 A,1981.842623514864
2019-01-02 17 A,2009.9432115356726
2019-01-02 18 A,2320.971751806137
2019-01-02 19 A,2697.209407203971
2019-01-02 20 A,2746.214637812105
2019-01-02 21 A,2707.634156036811
2019-01-02 22 A,2584.1319099828634
2019-01-02 23 A,2490.9731643972336
2019-01-02 24 A,2400.292655265223
2019-01-03 01 A,2048.7203827063777
2019-01-03 02 A,1814.37852631547
2019-01-03 03 A,1720.706592420789
2019-01-03 04 A,1733.5392087960377
2019-01-03 05 A,1923.7748040971173
2019-01-03 06 A,2089.6496155585505
2019-01-03 07 A,2384.36560869852
2019-01-03 08 A,2820.1966264744588
2019-01-03 09 A,2912.5356467396164
2019-01-03 10 A,2829.1265958207496
2019-01-03 11 A,2703.7324646795787
2019-01-03 12 A,2516.714650027281
2019-01-03 13 A,2269.770457073677
2019-01-03 14 A,2133.542076665923
2019-01-03 15 A,2028.1365889598137
2019-01-03 16 A,1943.5976073363165
2019-01-03 17 A,1963.0345608962598
2019-01-03 18 A,2298.224895505745
2019-01-03 19 A,2638.80033886046
2019-01-03 20 A,2696.1053454044095
2019-01-03 21 A,2626.088338084695
2019-01-03 22 A,2517.0353275379894
2019-01-03 23 A,2412.1963915509623
2019-01-03 24 A,2284.343916400037
2019-01-04 01 A,2013.2065028811412
2019-01-04 02 A,1790.018636506346
2019-01-04 03 A,1705.794088613506
2019-01-04 04 A,1712.8992331408158
2019-01-04 05 A,1923.4189229442945
2019-01-04 06 A,2074.273599242172
2019-01-04 07 A,2375.4241783727593
2019-01-04 08 A,2810.911229877226
2019-01-04 09 A,2913.0445731274112
2019-01-04 10 A,2806.551037364414
2019-01-04 11 A,2736.75029600218
2019-01-04 12 A,2563.063503518049
2019-01-04 13 A,2355.142979969987
2019-01-04 14 A,2206.945715588724
2019-01-04 15 A,2086.188677164246
2019-01-04 16 A,2001.042754203369
2019-01-04 17 A,2032.1714061975645
2019-01-04 18 A,2308.5595632447103
2019-01-04 19 A,2654.3588655990116
2019-01-04 20 A,2692.9930192601996
2019-01-04 21 A,2643.600788267754
2019-01-04 22 A,2530.8481288827334
2019-01-04 23 A,2423.9800169203127
2019-01-04 24 A,2280.773279208026
2019-01-05 01 A,2068.1541780407715
2019-01-05 02 A,1831.3580842952708
2019-01-05 03 A,1711.9711840076834
2019-01-05 04 A,1727.226190273077
2019-01-05 05 A,1868.0520393634638
2019-01-05 06 A,1951.9835306020655
2019-01-05 07 A,2030.9131078272771
2019-01-05 08 A,2356.666285674244
2019-01-05 09 A,2657.220513943434
2019-01-05 10 A,2609.7675466085634
2019-01-05 11 A,2536.027324065265
2019-01-05 12 A,2354.555032389254
2019-01-05 13 A,2147.2275292244613
2019-01-05 14 A,2046.3414712617093
2019-01-05 15 A,1942.2381987946355
2019-01-05 16 A,1875.787068541566
2019-01-05 17 A,1907.7335344718308
2019-01-05 18 A,2177.9851243800736
2019-01-05 19 A,2483.6764663415684
2019-01-05 20 A,2517.669554416626
2019-01-05 21 A,2403.395844831336
2019-01-05 22 A,2295.568905950344
2019-01-05 23 A,2224.1845752756662
2019-01-05 24 A,2118.0853028514966
2019-01-06 01 A,1921.261829815096
2019-01-06 02 A,1678.0619337405806
2019-01-06 03 A,1579.4503215342215
2019-01-06 04 A,1612.0609771445568
2019-01-06 05 A,1696.6269144617258
2019-01-06 06 A,1759.0430990543987
2019-01-06 07 A,1873.1475427602006
2019-01-06 08 A,2153.3765255545413
2019-01-06 09 A,2383.04630638619
2019-01-06 10 A,2419.12955842492
2019-01-06 11 A,2347.741302366446
2019-01-06 12 A,2189.63914366215
2019-01-06 13 A,2093.580321692645
2019-01-06 14 A,1967.0608172344423
2019-01-06 15 A,1850.422268500346
2019-01-06 16 A,1839.7410102264353
2019-01-06 17 A,1879.4775471811338
2019-01-06 18 A,2126.6502095719216
2019-01-06 19 A,2514.3122035719134
2019-01-06 20 A,2542.4216475949484
2019-01-06 21 A,2429.2571269757345
2019-01-06 22 A,2342.7387128769096
2019-01-06 23 A,2243.5507764365348
2019-01-06 24 A,2104.180702787713
2019-01-07 01 A,1854.9681957355092
2019-01-07 02 A,1593.527803935231
2019-01-07 03 A,1561.8773420513025
2019-01-07 04 A,1576.4850219722894
2019-01-07 05 A,1772.0474040450708
2019-01-07 06 A,1934.2638424235479
2019-01-07 07 A,2284.344672328327
2019-01-07 08 A,2727.733935340074
2019-01-07 09 A,2878.0996146557577
2019-01-07 10 A,2759.057588982926
2019-01-07 11 A,2678.0510580289033
2019-01-07 12 A,2456.00605289312
2019-01-07 13 A,2339.755425259007
2019-01-07 14 A,2215.559644302179
2019-01-07 15 A,2105.5505788915443
2019-01-07 16 A,2012.2676139415694
2019-01-07 17 A,2037.7800279873761
2019-01-07 18 A,2323.1465877572887
2019-01-07 19 A,2695.251494801918
2019-01-07 20 A,2719.946972884888
2019-01-07 21 A,2655.0851758483213
2019-01-07 22 A,2543.6491378927662
2019-01-07 23 A,2452.217496895336
2019-01-07 24 A,2287.91202282255
2019-01-08 01 A,2017.317662745757
2019-01-08 02 A,1796.8946118202225
2019-01-08 03 A,1707.9096713451768
