일자|시간|구분,공급량
2019-01-01 01 A,2023.367643396827
2019-01-01 02 A,1790.423276851042
2019-01-01 03 A,1702.4062068321398
2019-01-01 04 A,1735.6388035726595
2019-01-01 05 A,1887.091455757338
2019-01-01 06 A,2020.9553594048616
2019-01-01 07 A,2412.3443303331105
2019-01-01 08 A,2954.3599016044295
2019-01-01 09 A,3107.885073087069
2019-01-01 10 A,2916.2766579567187
2019-01-01 11 A,2778.373988313495
2019-01-01 12 A,2613.0340531107067
2019-01-01 13 A,2457.0201693418944
2019-01-01 14 A,2232.7715538124285
2019-01-01 15 A,2121.5925807247813
2019-01-01 16 A,1912.885434094691
2019-01-01 17 A,2062.0190456269083
2019-01-01 18 A,2319.464322603979
2019-01-01 19 A,2889.594019683973
2019-01-01 20 A,2813.5880097851173
2019-01-01 21 A,2723.0616878915607
2019-01-01 22 A,2614.089128725754
2019-01-01 23 A,2425.7073974491
2019-01-01 24 A,2253.680517101462
2019-01-02 01 A,1996.6613812206615
2019-01-02 02 A,1741.8996489703502
2019-01-02 03 A,1602.567209026282
2019-01-02 04 A,1621.6176833560016
2019-01-02 05 A,1820.6687333305454
2019-01-02 06 A,2006.280817994162
2019-01-02 07 A,2282.904526890339
2019-01-02 08 A,2796.0440220447153
2019-01-02 09 A,2879.970672023127
2019-01-02 10 A,2804.103688866652
2019-01-02 11 A,2718.8039030236155
2019-01-02 12 A,2438.3103316296797
2019-01-02 13 A,2388.5625845669506
2019-01-02 14 A,2242.924440290873
2019-01-02 15 A,2105.502175231072
2019-01-02 16 A,2034.1516902481787
2019-01-02 17 A,2081.817590063562
2019-01-02 18 A,2292.8014452664993
2019-01-02 19 A,2737.1798527538413
2019-01-02 20 A,2771.9071431826123
2019-01-02 21 A,2696.5711819227854
2019-01-02 22 A,2602.717936855718
2019-01-02 23 A,2460.6803184584865
2019-01-02 24 A,2262.6560545255434
2019-01-03 01 A,2034.6330664591917
2019-01-03 02 A,1886.252284858921
2019-01-03 03 A,1729.5184721438006
2019-01-03 04 A,1742.813128182391
2019-01-03 05 A,1986.6051380094614
2019-01-03 06 A,2151.929593160964
2019-01-03 07 A,2425.345882259382
2019-01-03 08 A,3009.06728701062
2019-01-03 09 A,3083.1515259832267
2019-01-03 10 A,2732.761171191146
2019-01-03 11 A,2836.338887984225
2019-01-03 12 A,2346.5156947631094
2019-01-03 13 A,2272.576455445998
2019-01-03 14 A,2063.999455299807
2019-01-03 15 A,2046.2183084392536
2019-01-03 16 A,1956.344259520507
2019-01-03 17 A,1979.036558940306
2019-01-03 18 A,2244.097565904057
2019-01-03 19 A,2581.3893508673564
2019-01-03 20 A,2628.6976300630695
2019-01-03 21 A,2558.3681891565266
2019-01-03 22 A,2494.525193518726
2019-01-03 23 A,2377.2888554991523
2019-01-03 24 A,2197.5285012686254
2019-01-04 01 A,2070.9710498858176
2019-01-04 02 A,1784.286056421251
2019-01-04 03 A,1573.9553677434549
2019-01-04 04 A,1628.197179407855
2019-01-04 05 A,1869.2623321051365
2019-01-04 06 A,2008.3435191957185
2019-01-04 07 A,2249.209749200011
2019-01-04 08 A,2727.206865528745
2019-01-04 09 A,2839.985462071848
2019-01-04 10 A,2774.859372171005
2019-01-04 11 A,2785.025785874728
2019-01-04 12 A,2549.4113432225367
2019-01-04 13 A,2369.5311328501257
2019-01-04 14 A,2264.57026973597
2019-01-04 15 A,2089.082088068913
2019-01-04 16 A,1957.6403791348127
2019-01-04 17 A,2067.0874053168063
2019-01-04 18 A,2290.9336503078803
2019-01-04 19 A,2643.132206709318
2019-01-04 20 A,2576.2313963869065
2019-01-04 21 A,2641.4245081930567
2019-01-04 22 A,2529.615857542157
2019-01-04 23 A,2334.98877607205
2019-01-04 24 A,2217.818337699147
2019-01-05 01 A,2142.071644113196
2019-01-05 02 A,1916.0343907358188
2019-01-05 03 A,1623.275356566164
2019-01-05 04 A,1643.3985175301173
2019-01-05 05 A,1773.423801226022
2019-01-05 06 A,1953.6406865952367
2019-01-05 07 A,2042.4565511775506
2019-01-05 08 A,2402.0585936094694
2019-01-05 09 A,2525.072771283225
2019-01-05 10 A,2613.6433537463563
2019-01-05 11 A,2537.963490922868
2019-01-05 12 A,2277.7259910570533
2019-01-05 13 A,2183.251074547603
2019-01-05 14 A,2042.389895362221
2019-01-05 15 A,1922.7172891648459
2019-01-05 16 A,1862.5005526587358
2019-01-05 17 A,1846.2020846580374
2019-01-05 18 A,2104.2618812980522
2019-01-05 19 A,2450.1241898590433
2019-01-05 20 A,2494.0676722097796
2019-01-05 21 A,2406.738670964127
2019-01-05 22 A,2436.92191500801
2019-01-05 23 A,2191.308810233476
2019-01-05 24 A,2009.2343146750209
2019-01-06 01 A,1889.6915497944747
2019-01-06 02 A,1649.3191794879783
2019-01-06 03 A,1528.4752798601191
2019-01-06 04 A,1579.8584464602413
2019-01-06 05 A,1725.5377259914244
2019-01-06 06 A,1801.3706871659238
2019-01-06 07 A,1828.9514070045009
2019-01-06 08 A,2113.7482220160928
2019-01-06 09 A,2293.8735672408316
2019-01-06 10 A,2570.5506372188165
2019-01-06 11 A,2364.6373759925236
2019-01-06 12 A,2154.293240342936
2019-01-06 13 A,2112.708425996728
2019-01-06 14 A,2001.3072408420035
2019-01-06 15 A,1941.5172773974607
2019-01-06 16 A,1855.4805321872018
2019-01-06 17 A,1921.7692942356987
2019-01-06 18 A,2103.8079834078544
2019-01-06 19 A,2448.477291095693
2019-01-06 20 A,2457.0226099392144
2019-01-06 21 A,2332.2908486295432
2019-01-06 22 A,2356.578527093452
2019-01-06 23 A,2129.948604942998
2019-01-06 24 A,2084.5744388942617
2019-01-07 01 A,1800.2754623267651
2019-01-07 02 A,1566.8219575332064
2019-01-07 03 A,1478.9430946280881
2019-01-07 04 A,1565.153191115006
2019-01-07 05 A,1770.3247819280548
2019-01-07 06 A,1997.4183186685632
2019-01-07 07 A,2298.6196700191595
2019-01-07 08 A,2861.4781799746806
2019-01-07 09 A,2952.3940492843712
2019-01-07 10 A,2751.447288730328
2019-01-07 11 A,2696.820237132164
2019-01-07 12 A,2480.4073754483907
2019-01-07 13 A,2318.8613935910453
2019-01-07 14 A,2209.606043437027
2019-01-07 15 A,2070.4953432718094
2019-01-07 16 A,1978.0135892916314
2019-01-07 17 A,1978.334906241019
2019-01-07 18 A,2244.8935372352285
2019-01-07 19 A,2633.411005065589
2019-01-07 20 A,2729.3425692256583
2019-01-07 21 A,2663.0288026647945
2019-01-07 22 A,2633.5751231319787
2019-01-07 23 A,2532.953202932119
2019-01-07 24 A,2276.1342386288206
2019-01-08 01 A,2023.367643396827
2019-01-08 02 A,1790.423276851042
2019-01-08 03 A,1702.4062068321398
2019-01-08 04 A,1735.6388035726595
2019-01-08 05 A,1887.091455757338
2019-01-08 06 A,2020.9553594048616
2019-01-08 07 A,2412.3443303331105
2019-01-08 08 A,2954.3599016044295
2019-01-08 09 A,3107.885073087069
2019-01-08 10 A,2916.2766579567187
2019-01-08 11 A,2778.373988313495
2019-01-08 12 A,2613.0340531107067
2019-01-08 13 A,2457.0201693418944
2019-01-08 14 A,2232.7715538124285
2019-01-08 15 A,2121.5925807247813
2019-01-08 16 A,1912.885434094691
2019-01-08 17 A,2062.0190456269083
2019-01-08 18 A,2319.464322603979
2019-01-08 19 A,2889.594019683973
2019-01-08 20 A,2813.5880097851173
2019-01-08 21 A,2723.0616878915607
2019-01-08 22 A,2614.089128725754
2019-01-08 23 A,2425.7073974491
2019-01-08 24 A,2253.680517101462
2019-01-09 01 A,1996.6613812206615
2019-01-09 02 A,1741.8996489703502
2019-01-09 03 A,1602.567209026282
2019-01-09 04 A,1621.6176833560016
2019-01-09 05 A,1820.6687333305454
2019-01-09 06 A,2006.280817994162
2019-01-09 07 A,2282.904526890339
2019-01-09 08 A,2796.0440220447153
2019-01-09 09 A,2879.970672023127
2019-01-09 10 A,2804.103688866652
2019-01-09 11 A,2718.8039030236155
2019-01-09 12 A,2438.3103316296797
2019-01-09 13 A,2388.5625845669506
2019-01-09 14 A,2242.924440290873
2019-01-09 15 A,2105.502175231072
2019-01-09 16 A,2034.1516902481787
2019-01-09 17 A,2081.817590063562
2019-01-09 18 A,2292.8014452664993
2019-01-09 19 A,2737.1798527538413
2019-01-09 20 A,2771.9071431826123
2019-01-09 21 A,2696.5711819227854
2019-01-09 22 A,2602.717936855718
2019-01-09 23 A,2460.6803184584865
2019-01-09 24 A,2262.6560545255434
2019-01-10 01 A,2034.6330664591917
2019-01-10 02 A,1886.252284858921
2019-01-10 03 A,1729.5184721438006
2019-01-10 04 A,1742.813128182391
2019-01-10 05 A,1986.6051380094614
2019-01-10 06 A,2151.929593160964
2019-01-10 07 A,2425.345882259382
2019-01-10 08 A,3009.06728701062
2019-01-10 09 A,3083.1515259832267
2019-01-10 10 A,2732.761171191146
2019-01-10 11 A,2836.338887984225
2019-01-10 12 A,2346.5156947631094
2019-01-10 13 A,2272.576455445998
2019-01-10 14 A,2063.999455299807
2019-01-10 15 A,2046.2183084392536
2019-01-10 16 A,1956.344259520507
2019-01-10 17 A,1979.036558940306
2019-01-10 18 A,2244.097565904057
2019-01-10 19 A,2581.3893508673564
2019-01-10 20 A,2628.6976300630695
2019-01-10 21 A,2558.3681891565266
2019-01-10 22 A,2494.525193518726
2019-01-10 23 A,2377.2888554991523
