일자|시간|구분,공급량
2019-01-01 01 A,2597.878595676244
2019-01-01 02 A,2688.765730581329
2019-01-01 03 A,2776.9850636960264
2019-01-01 04 A,2714.2799754407943
2019-01-01 05 A,2662.8073671690818
2019-01-01 06 A,2679.343575317824
2019-01-01 07 A,2754.939677964716
2019-01-01 08 A,2761.2867327935037
2019-01-01 09 A,2707.017079981007
2019-01-01 10 A,2595.3153440465817
2019-01-01 11 A,2561.622574215459
2019-01-01 12 A,2489.69886439979
2019-01-01 13 A,2448.2668989411322
2019-01-01 14 A,2341.263890272411
2019-01-01 15 A,2400.8150619266426
2019-01-01 16 A,2313.7771549214335
2019-01-01 17 A,2405.658055577754
2019-01-01 18 A,2488.1915652573716
2019-01-01 19 A,2511.839520106614
2019-01-01 20 A,2570.3836488908955
2019-01-01 21 A,2579.531170193234
2019-01-01 22 A,2621.708570427675
2019-01-01 23 A,2604.117350574964
2019-01-01 24 A,2618.5030250896484
2019-01-02 01 A,2650.0332328042514
2019-01-02 02 A,2664.6051003738785
2019-01-02 03 A,2664.035230063995
2019-01-02 04 A,2679.164254111133
2019-01-02 05 A,2704.0799957115446
2019-01-02 06 A,2707.195814220708
2019-01-02 07 A,2708.253189036751
2019-01-02 08 A,2713.6443289087565
2019-01-02 09 A,2701.091323671507
2019-01-02 10 A,2592.121423964183
2019-01-02 11 A,2554.462837680747
2019-01-02 12 A,2405.2251002421726
2019-01-02 13 A,2364.3814614709545
2019-01-02 14 A,2342.814658024561
2019-01-02 15 A,2335.4133526486503
2019-01-02 16 A,2329.328040670336
2019-01-02 17 A,2367.424701790808
2019-01-02 18 A,2461.06437372443
2019-01-02 19 A,2489.9815212115022
2019-01-02 20 A,2562.675537058301
2019-01-02 21 A,2555.2060814391343
2019-01-02 22 A,2585.745123666171
2019-01-02 23 A,2652.605998267585
2019-01-02 24 A,2603.722213591547
2019-01-03 01 A,2609.401865786158
2019-01-03 02 A,2720.645983725074
2019-01-03 03 A,2744.3113734846065
2019-01-03 04 A,2707.0756963441445
2019-01-03 05 A,2706.8519007878654
2019-01-03 06 A,2706.979013739746
2019-01-03 07 A,2710.3629096101404
2019-01-03 08 A,2710.2560754316087
2019-01-03 09 A,2699.4466343227077
2019-01-03 10 A,2593.4601400215633
2019-01-03 11 A,2599.7223655767766
2019-01-03 12 A,2378.994707401768
2019-01-03 13 A,2318.650319870685
2019-01-03 14 A,2319.063046355279
2019-01-03 15 A,2290.2019580952683
2019-01-03 16 A,2299.0051418027406
2019-01-03 17 A,2282.351479889833
2019-01-03 18 A,2373.8400906336647
2019-01-03 19 A,2416.836161958407
2019-01-03 20 A,2436.8809146009935
2019-01-03 21 A,2496.876278347917
2019-01-03 22 A,2547.7262351322033
2019-01-03 23 A,2547.7262351322033
2019-01-03 24 A,2536.1804323973456
2019-01-04 01 A,2612.597313302673
2019-01-04 02 A,2621.991495084876
2019-01-04 03 A,2633.6029301092913
2019-01-04 04 A,2600.9746531291144
2019-01-04 05 A,2636.0253554698206
2019-01-04 06 A,2639.763521727281
2019-01-04 07 A,2650.51121205531
2019-01-04 08 A,2680.3006221407745
2019-01-04 09 A,2642.1289782700183
2019-01-04 10 A,2569.847834611744
2019-01-04 11 A,2524.8955045510306
2019-01-04 12 A,2411.779203643194
2019-01-04 13 A,2298.245433774147
2019-01-04 14 A,2296.8177261095343
2019-01-04 15 A,2263.88629858704
2019-01-04 16 A,2282.846037399118
2019-01-04 17 A,2315.115400185479
2019-01-04 18 A,2395.7744014888217
2019-01-04 19 A,2433.2958872011795
2019-01-04 20 A,2423.5737122897326
2019-01-04 21 A,2521.2325446890027
2019-01-04 22 A,2528.3315613486952
2019-01-04 23 A,2522.913899748395
2019-01-04 24 A,2557.241681741122
2019-01-05 01 A,2475.4741155786032
2019-01-05 02 A,2467.83616894035
2019-01-05 03 A,2454.951703774488
2019-01-05 04 A,2478.2658824511236
2019-01-05 05 A,2477.827894073659
2019-01-05 06 A,2504.167831564402
2019-01-05 07 A,2487.707243109644
2019-01-05 08 A,2556.1663734512767
2019-01-05 09 A,2485.314296756069
2019-01-05 10 A,2434.900548471159
2019-01-05 11 A,2287.744009994042
2019-01-05 12 A,2173.170350939755
2019-01-05 13 A,2115.849379920057
2019-01-05 14 A,2089.497870996729
2019-01-05 15 A,2054.3041738587444
2019-01-05 16 A,2046.3920303423797
2019-01-05 17 A,2109.5326353651226
2019-01-05 18 A,2176.762505725179
2019-01-05 19 A,2228.888626536297
2019-01-05 20 A,2220.640875459535
2019-01-05 21 A,2278.1959463748935
2019-01-05 22 A,2341.0141554996335
2019-01-05 23 A,2341.649863196257
2019-01-05 24 A,2341.520249005982
2019-01-06 01 A,2377.660277470358
2019-01-06 02 A,2402.9343688473473
2019-01-06 03 A,2401.312562155146
2019-01-06 04 A,2441.578848412855
2019-01-06 05 A,2441.578848412855
2019-01-06 06 A,2449.276134719409
2019-01-06 07 A,2450.2860317666973
2019-01-06 08 A,2449.884417851539
2019-01-06 09 A,2487.3030526041193
2019-01-06 10 A,2407.0926210183625
2019-01-06 11 A,2313.3969765040724
2019-01-06 12 A,2174.991694458785
2019-01-06 13 A,2110.1546787389666
2019-01-06 14 A,2091.9263074352175
2019-01-06 15 A,2063.0265973632636
2019-01-06 16 A,2065.8178985643576
2019-01-06 17 A,2137.6430184562755
