일자|시간|구분,공급량
2019-01-01 01 A,1949.7085110089777
2019-01-01 02 A,1700.5178677798526
2019-01-01 03 A,1641.8678394989765
2019-01-01 04 A,1675.1744975617198
2019-01-01 05 A,1916.342483187299
2019-01-01 06 A,2024.8835120424242
2019-01-01 07 A,2236.629681491733
2019-01-01 08 A,2542.0920434714094
2019-01-01 09 A,2870.957668292406
2019-01-01 10 A,2677.7408074502937
2019-01-01 11 A,2562.797517627264
2019-01-01 12 A,2362.2718979688107
2019-01-01 13 A,2253.0625739756633
2019-01-01 14 A,2149.3757912158126
2019-01-01 15 A,1994.7753951989705
2019-01-01 16 A,1922.6311187534895
2019-01-01 17 A,1971.5909858214554
2019-01-01 18 A,2191.2370268536633
2019-01-01 19 A,2538.8677437596807
2019-01-01 20 A,2723.965723146149
2019-01-01 21 A,2659.0164972688426
2019-01-01 22 A,2503.8411920167746
2019-01-01 23 A,2469.712604028403
2019-01-01 24 A,2233.9058416532835
2019-01-02 01 A,1949.7085110089777
2019-01-02 02 A,1700.5178677798526
2019-01-02 03 A,1641.8678394989765
2019-01-02 04 A,1675.1744975617198
2019-01-02 05 A,1916.342483187299
2019-01-02 06 A,2024.8835120424242
2019-01-02 07 A,2236.629681491733
2019-01-02 08 A,2542.0920434714094
2019-01-02 09 A,2870.957668292406
2019-01-02 10 A,2677.7408074502937
2019-01-02 11 A,2562.797517627264
2019-01-02 12 A,2362.2718979688107
2019-01-02 13 A,2253.0625739756633
2019-01-02 14 A,2149.3757912158126
2019-01-02 15 A,1994.7753951989705
2019-01-02 16 A,1922.6311187534895
2019-01-02 17 A,1971.5909858214554
2019-01-02 18 A,2191.2370268536633
2019-01-02 19 A,2538.8677437596807
2019-01-02 20 A,2723.965723146149
2019-01-02 21 A,2659.0164972688426
2019-01-02 22 A,2503.8411920167746
2019-01-02 23 A,2469.712604028403
2019-01-02 24 A,2233.9058416532835
2019-01-03 01 A,1949.7085110089777
2019-01-03 02 A,1700.5178677798526
