일자|시간|구분,공급량
2019-01-01 01 A,1918.5560497247352
2019-01-01 02 A,1693.12433634567
2019-01-01 03 A,1634.1207642965553
2019-01-01 04 A,1696.2274453832404
2019-01-01 05 A,1862.4864853172962
2019-01-01 06 A,2008.125695902176
2019-01-01 07 A,2213.2795284338417
2019-01-01 08 A,2565.0045471837293
2019-01-01 09 A,2863.7636060161394
2019-01-01 10 A,2700.882999747785
2019-01-01 11 A,2596.620577887025
2019-01-01 12 A,2342.307346018235
2019-01-01 13 A,2260.8273267233135
2019-01-01 14 A,2149.0437550395936
2019-01-01 15 A,2012.7033667703563
2019-01-01 16 A,1973.1971883521528
2019-01-01 17 A,1916.370295347675
2019-01-01 18 A,2224.837861450781
2019-01-01 19 A,2549.8949576249324
2019-01-01 20 A,2663.5864473765296
2019-01-01 21 A,2624.4612152009017
2019-01-01 22 A,2538.252047113836
2019-01-01 23 A,2429.2844414631845
2019-01-01 24 A,2158.805848517106
2019-01-02 01 A,1918.5560497247352
2019-01-02 02 A,1693.12433634567
2019-01-02 03 A,1634.1207642965553
2019-01-02 04 A,1696.2274453832404
2019-01-02 05 A,1862.4864853172962
2019-01-02 06 A,2008.125695902176
2019-01-02 07 A,2213.2795284338417
2019-01-02 08 A,2565.0045471837293
2019-01-02 09 A,2863.7636060161394
2019-01-02 10 A,2700.882999747785
2019-01-02 11 A,2596.620577887025
2019-01-02 12 A,2342.307346018235
2019-01-02 13 A,2260.8273267233135
2019-01-02 14 A,2149.0437550395936
2019-01-02 15 A,2012.7033667703563
2019-01-02 16 A,1973.1971883521528
2019-01-02 17 A,1916.370295347675
2019-01-02 18 A,2224.837861450781
2019-01-02 19 A,2549.8949576249324
2019-01-02 20 A,2663.5864473765296
2019-01-02 21 A,2624.4612152009017
2019-01-02 22 A,2538.252047113836
2019-01-02 23 A,2429.2844414631845
2019-01-02 24 A,2158.805848517106
2019-01-03 01 A,1918.5560497247352
2019-01-03 02 A,1693.12433634567
2019-01-03 03 A,1634.1207642965553
2019-01-03 04 A,1696.2274453832404
2019-01-03 05 A,1862.4864853172962
2019-01-03 06 A,2008.125695902176
2019-01-03 07 A,2213.2795284338417
2019-01-03 08 A,2565.0045471837293
2019-01-03 09 A,2863.7636060161394
2019-01-03 10 A,2700.882999747785
2019-01-03 11 A,2596.620577887025
2019-01-03 12 A,2342.307346018235
2019-01-03 13 A,2260.8273267233135
2019-01-03 14 A,2149.0437550395936
2019-01-03 15 A,2012.7033667703563
2019-01-03 16 A,1973.1971883521528
2019-01-03 17 A,1916.370295347675
2019-01-03 18 A,2224.837861450781
2019-01-03 19 A,2549.8949576249324
2019-01-03 20 A,2663.5864473765296
2019-01-03 21 A,2624.4612152009017
2019-01-03 22 A,2538.252047113836
2019-01-03 23 A,2429.2844414631845
2019-01-03 24 A,2158.805848517106
2019-01-04 01 A,1918.5560497247352
2019-01-04 02 A,1693.12433634567
2019-01-04 03 A,1634.1207642965553
2019-01-04 04 A,1696.2274453832404
2019-01-04 05 A,1862.4864853172962
2019-01-04 06 A,2008.125695902176
2019-01-04 07 A,2213.2795284338417
2019-01-04 08 A,2565.0045471837293
2019-01-04 09 A,2863.7636060161394
2019-01-04 10 A,2700.882999747785
2019-01-04 11 A,2596.620577887025
2019-01-04 12 A,2342.307346018235
2019-01-04 13 A,2260.8273267233135
2019-01-04 14 A,2149.0437550395936
2019-01-04 15 A,2012.7033667703563
2019-01-04 16 A,1973.1971883521528
2019-01-04 17 A,1916.370295347675
2019-01-04 18 A,2224.837861450781
2019-01-04 19 A,2549.8949576249324
2019-01-04 20 A,2663.5864473765296
2019-01-04 21 A,2624.4612152009017
2019-01-04 22 A,2538.252047113836
2019-01-04 23 A,2429.2844414631845
2019-01-04 24 A,2158.805848517106
2019-01-05 01 A,1918.5560497247352
2019-01-05 02 A,1693.12433634567
2019-01-05 03 A,1634.1207642965553
2019-01-05 04 A,1696.2274453832404
2019-01-05 05 A,1862.4864853172962
2019-01-05 06 A,2008.125695902176
2019-01-05 07 A,2213.2795284338417
2019-01-05 08 A,2565.0045471837293
2019-01-05 09 A,2863.7636060161394
2019-01-05 10 A,2700.882999747785
2019-01-05 11 A,2596.620577887025
2019-01-05 12 A,2342.307346018235
2019-01-05 13 A,2260.8273267233135
2019-01-05 14 A,2149.0437550395936
2019-01-05 15 A,2012.7033667703563
2019-01-05 16 A,1973.1971883521528
2019-01-05 17 A,1916.370295347675
2019-01-05 18 A,2224.837861450781
2019-01-05 19 A,2549.8949576249324
2019-01-05 20 A,2663.5864473765296
2019-01-05 21 A,2624.4612152009017
2019-01-05 22 A,2538.252047113836
2019-01-05 23 A,2429.2844414631845
2019-01-05 24 A,2158.805848517106
2019-01-06 01 A,1918.5560497247352
2019-01-06 02 A,1693.12433634567
2019-01-06 03 A,1634.1207642965553
2019-01-06 04 A,1696.2274453832404
2019-01-06 05 A,1862.4864853172962
2019-01-06 06 A,2008.125695902176
2019-01-06 07 A,2213.2795284338417
2019-01-06 08 A,2565.0045471837293
2019-01-06 09 A,2863.7636060161394
2019-01-06 10 A,2700.882999747785
2019-01-06 11 A,2596.620577887025
2019-01-06 12 A,2342.307346018235
2019-01-06 13 A,2260.8273267233135
2019-01-06 14 A,2149.0437550395936
2019-01-06 15 A,2012.7033667703563
2019-01-06 16 A,1973.1971883521528
2019-01-06 17 A,1916.370295347675
2019-01-06 18 A,2224.837861450781
2019-01-06 19 A,2549.8949576249324
2019-01-06 20 A,2663.5864473765296
2019-01-06 21 A,2624.4612152009017
2019-01-06 22 A,2538.252047113836
2019-01-06 23 A,2429.2844414631845
2019-01-06 24 A,2158.805848517106
2019-01-07 01 A,1918.5560497247352
2019-01-07 02 A,1693.12433634567
2019-01-07 03 A,1634.1207642965553
2019-01-07 04 A,1696.2274453832404
2019-01-07 05 A,1862.4864853172962
2019-01-07 06 A,2008.125695902176
2019-01-07 07 A,2213.2795284338417
2019-01-07 08 A,2565.0045471837293
2019-01-07 09 A,2863.7636060161394
2019-01-07 10 A,2700.882999747785
2019-01-07 11 A,2596.620577887025
2019-01-07 12 A,2342.307346018235
2019-01-07 13 A,2260.8273267233135
2019-01-07 14 A,2149.0437550395936
2019-01-07 15 A,2012.7033667703563
2019-01-07 16 A,1973.1971883521528
2019-01-07 17 A,1916.370295347675
2019-01-07 18 A,2224.837861450781
2019-01-07 19 A,2549.8949576249324
2019-01-07 20 A,2663.5864473765296
2019-01-07 21 A,2624.4612152009017
2019-01-07 22 A,2538.252047113836
2019-01-07 23 A,2429.2844414631845
2019-01-07 24 A,2158.805848517106
2019-01-08 01 A,1918.5560497247352
2019-01-08 02 A,1693.12433634567
2019-01-08 03 A,1634.1207642965553
2019-01-08 04 A,1696.2274453832404
2019-01-08 05 A,1862.4864853172962
2019-01-08 06 A,2008.125695902176
2019-01-08 07 A,2213.2795284338417
2019-01-08 08 A,2565.0045471837293
2019-01-08 09 A,2863.7636060161394
2019-01-08 10 A,2700.882999747785
2019-01-08 11 A,2596.620577887025
2019-01-08 12 A,2342.307346018235
2019-01-08 13 A,2260.8273267233135
2019-01-08 14 A,2149.0437550395936
2019-01-08 15 A,2012.7033667703563
2019-01-08 16 A,1973.1971883521528
2019-01-08 17 A,1916.370295347675
2019-01-08 18 A,2224.837861450781
2019-01-08 19 A,2549.8949576249324
2019-01-08 20 A,2663.5864473765296
2019-01-08 21 A,2624.4612152009017
2019-01-08 22 A,2538.252047113836
2019-01-08 23 A,2429.2844414631845
2019-01-08 24 A,2158.805848517106
2019-01-09 01 A,1918.5560497247352
2019-01-09 02 A,1693.12433634567
2019-01-09 03 A,1634.1207642965553
2019-01-09 04 A,1696.2274453832404
2019-01-09 05 A,1862.4864853172962
2019-01-09 06 A,2008.125695902176
2019-01-09 07 A,2213.2795284338417
2019-01-09 08 A,2565.0045471837293
2019-01-09 09 A,2863.7636060161394
2019-01-09 10 A,2700.882999747785
2019-01-09 11 A,2596.620577887025
2019-01-09 12 A,2342.307346018235
2019-01-09 13 A,2260.8273267233135
2019-01-09 14 A,2149.0437550395936
2019-01-09 15 A,2012.7033667703563
2019-01-09 16 A,1973.1971883521528
2019-01-09 17 A,1916.370295347675
2019-01-09 18 A,2224.837861450781
2019-01-09 19 A,2549.8949576249324
2019-01-09 20 A,2663.5864473765296
2019-01-09 21 A,2624.4612152009017
2019-01-09 22 A,2538.252047113836
2019-01-09 23 A,2429.2844414631845
2019-01-09 24 A,2158.805848517106
2019-01-10 01 A,1918.5560497247352
2019-01-10 02 A,1693.12433634567
2019-01-10 03 A,1634.1207642965553
2019-01-10 04 A,1696.2274453832404
2019-01-10 05 A,1862.4864853172962
2019-01-10 06 A,2008.125695902176
2019-01-10 07 A,2213.2795284338417
2019-01-10 08 A,2565.0045471837293
2019-01-10 09 A,2863.7636060161394
2019-01-10 10 A,2700.882999747785
2019-01-10 11 A,2596.620577887025
2019-01-10 12 A,2342.307346018235
2019-01-10 13 A,2260.8273267233135
2019-01-10 14 A,2149.0437550395936
2019-01-10 15 A,2012.7033667703563
2019-01-10 16 A,1973.1971883521528
2019-01-10 17 A,1916.370295347675
2019-01-10 18 A,2224.837861450781
2019-01-10 19 A,2549.8949576249324
2019-01-10 20 A,2663.5864473765296
2019-01-10 21 A,2624.4612152009017
2019-01-10 22 A,2538.252047113836
2019-01-10 23 A,2429.2844414631845
2019-01-10 24 A,2158.805848517106
2019-01-11 01 A,1918.5560497247352
2019-01-11 02 A,1693.12433634567
2019-01-11 03 A,1634.1207642965553
2019-01-11 04 A,1696.2274453832404
2019-01-11 05 A,1862.4864853172962
2019-01-11 06 A,2008.125695902176
2019-01-11 07 A,2213.2795284338417
2019-01-11 08 A,2565.0045471837293
2019-01-11 09 A,2863.7636060161394
2019-01-11 10 A,2700.882999747785
2019-01-11 11 A,2596.620577887025
2019-01-11 12 A,2342.307346018235
2019-01-11 13 A,2260.8273267233135
2019-01-11 14 A,2149.0437550395936
2019-01-11 15 A,2012.7033667703563
2019-01-11 16 A,1973.1971883521528
2019-01-11 17 A,1916.370295347675
2019-01-11 18 A,2224.837861450781
2019-01-11 19 A,2549.8949576249324
2019-01-11 20 A,2663.5864473765296
2019-01-11 21 A,2624.4612152009017
2019-01-11 22 A,2538.252047113836
2019-01-11 23 A,2429.2844414631845
2019-01-11 24 A,2158.805848517106
2019-01-12 01 A,1918.5560497247352
2019-01-12 02 A,1693.12433634567
2019-01-12 03 A,1634.1207642965553
2019-01-12 04 A,1696.2274453832404
2019-01-12 05 A,1862.4864853172962
2019-01-12 06 A,2008.125695902176
2019-01-12 07 A,2213.2795284338417
2019-01-12 08 A,2565.0045471837293
2019-01-12 09 A,2863.7636060161394
2019-01-12 10 A,2700.882999747785
2019-01-12 11 A,2596.620577887025
2019-01-12 12 A,2342.307346018235
2019-01-12 13 A,2260.8273267233135
2019-01-12 14 A,2149.0437550395936
2019-01-12 15 A,2012.7033667703563
2019-01-12 16 A,1973.1971883521528
2019-01-12 17 A,1916.370295347675
2019-01-12 18 A,2224.837861450781
2019-01-12 19 A,2549.8949576249324
2019-01-12 20 A,2663.5864473765296
2019-01-12 21 A,2624.4612152009017
2019-01-12 22 A,2538.252047113836
2019-01-12 23 A,2429.2844414631845
2019-01-12 24 A,2158.805848517106
2019-01-13 01 A,1918.5560497247352
2019-01-13 02 A,1693.12433634567
2019-01-13 03 A,1634.1207642965553
2019-01-13 04 A,1696.2274453832404
2019-01-13 05 A,1862.4864853172962
2019-01-13 06 A,2008.125695902176
2019-01-13 07 A,2213.2795284338417
2019-01-13 08 A,2565.0045471837293
2019-01-13 09 A,2863.7636060161394
2019-01-13 10 A,2700.882999747785
2019-01-13 11 A,2596.620577887025
2019-01-13 12 A,2342.307346018235
2019-01-13 13 A,2260.8273267233135
2019-01-13 14 A,2149.0437550395936
2019-01-13 15 A,2012.7033667703563
2019-01-13 16 A,1973.1971883521528
2019-01-13 17 A,1916.370295347675
2019-01-13 18 A,2224.837861450781
2019-01-13 19 A,2549.8949576249324
2019-01-13 20 A,2663.5864473765296
2019-01-13 21 A,2624.4612152009017
2019-01-13 22 A,2538.252047113836
2019-01-13 23 A,2429.2844414631845
2019-01-13 24 A,2158.805848517106
2019-01-14 01 A,1918.5560497247352
2019-01-14 02 A,1693.12433634567
2019-01-14 03 A,1634.1207642965553
2019-01-14 04 A,1696.2274453832404
2019-01-14 05 A,1862.4864853172962
2019-01-14 06 A,2008.125695902176
2019-01-14 07 A,2213.2795284338417
2019-01-14 08 A,2565.0045471837293
2019-01-14 09 A,2863.7636060161394
2019-01-14 10 A,2700.882999747785
2019-01-14 11 A,2596.620577887025
2019-01-14 12 A,2342.307346018235
2019-01-14 13 A,2260.8273267233135
2019-01-14 14 A,2149.0437550395936
