일자|시간|구분,공급량
2019-01-01 01 A,1969.2016956593982
2019-01-01 02 A,1800.8959433998857
2019-01-01 03 A,1741.7878341118014
2019-01-01 04 A,1742.5408366527188
2019-01-01 05 A,1897.165650529913
2019-01-01 06 A,2042.3519156465163
2019-01-01 07 A,2409.7255801256424
2019-01-01 08 A,2896.50069456193
2019-01-01 09 A,2961.9678090800617
2019-01-01 10 A,2757.4664416351848
2019-01-01 11 A,2755.842401676262
2019-01-01 12 A,2580.076658069339
2019-01-01 13 A,2413.2078734248566
2019-01-01 14 A,2223.7251962494047
2019-01-01 15 A,2137.4406584604317
2019-01-01 16 A,1945.4300800145309
2019-01-01 17 A,2078.223650529614
2019-01-01 18 A,2353.029425368485
2019-01-01 19 A,2757.8301173456625
2019-01-01 20 A,2757.0705489276165
2019-01-01 21 A,2685.0949516717938
2019-01-01 22 A,2579.5476643349725
2019-01-01 23 A,2448.6091452001083
2019-01-01 24 A,2337.0504245560974
2019-01-02 01 A,2023.0604787870288
2019-01-02 02 A,1767.469401331829
2019-01-02 03 A,1657.82686192435
2019-01-02 04 A,1663.253731270865
2019-01-02 05 A,1855.2957839182718
2019-01-02 06 A,2045.8988844449032
2019-01-02 07 A,2300.644171902937
2019-01-02 08 A,2784.424602304007
2019-01-02 09 A,2901.7287492021014
2019-01-02 10 A,2779.560683401776
2019-01-02 11 A,2747.479820864389
2019-01-02 12 A,2485.0000687230404
2019-01-02 13 A,2371.4009002846424
2019-01-02 14 A,2247.6941030311473
2019-01-02 15 A,2096.9958425833966
2019-01-02 16 A,2006.665933690268
2019-01-02 17 A,2094.4712355852653
2019-01-02 18 A,2350.0795630450602
2019-01-02 19 A,2676.1526398665087
2019-01-02 20 A,2745.589599685357
2019-01-02 21 A,2667.448137487054
2019-01-02 22 A,2595.5000646872477
2019-01-02 23 A,2501.5334520988963
2019-01-02 24 A,2334.362395812201
2019-01-03 01 A,2031.738351558387
2019-01-03 02 A,1855.042753946724
2019-01-03 03 A,1752.8208372981808
2019-01-03 04 A,1740.5746104718244
2019-01-03 05 A,1944.506006704974
2019-01-03 06 A,2115.400963123745
2019-01-03 07 A,2406.7788243149366
2019-01-03 08 A,2868.454776273622
2019-01-03 09 A,2964.1749161224716
2019-01-03 10 A,2781.0846494136385
2019-01-03 11 A,2782.5096622304163
2019-01-03 12 A,2417.088655390179
2019-01-03 13 A,2232.242883680527
2019-01-03 14 A,2118.0079966623653
2019-01-03 15 A,2016.1821329390145
2019-01-03 16 A,1939.9848886676918
2019-01-03 17 A,1970.521460773136
2019-01-03 18 A,2246.3188144162177
2019-01-03 19 A,2588.5522450809667
2019-01-03 20 A,2617.342785094337
2019-01-03 21 A,2587.1870300071323
2019-01-03 22 A,2553.2369572500343
2019-01-03 23 A,2410.3465110787897
2019-01-03 24 A,2216.358792125524
2019-01-04 01 A,2035.3348437372765
2019-01-04 02 A,1764.8534832169894
2019-01-04 03 A,1639.1535889411994
2019-01-04 04 A,1646.3127249379472
2019-01-04 05 A,1856.478570073295
2019-01-04 06 A,2022.5113895813138
2019-01-04 07 A,2304.5396500443367
2019-01-04 08 A,2803.870822511313
2019-01-04 09 A,2847.898005466896
2019-01-04 10 A,2826.4763436200747
2019-01-04 11 A,2761.5856479768117
2019-01-04 12 A,2563.370223005404
2019-01-04 13 A,2226.528967256346
2019-01-04 14 A,2210.0599157547376
2019-01-04 15 A,2024.8043843254814
2019-01-04 16 A,1965.727981243081
2019-01-04 17 A,2059.07264101484
2019-01-04 18 A,2302.126285532098
2019-01-04 19 A,2588.397362725077
2019-01-04 20 A,2582.6750103315544
2019-01-04 21 A,2628.9914775010393
2019-01-04 22 A,2516.493500766229
2019-01-04 23 A,2387.181287915744
2019-01-04 24 A,2257.911264572401
2019-01-05 01 A,2101.930273147275
2019-01-05 02 A,1846.5439780590011
2019-01-05 03 A,1644.778317064909
2019-01-05 04 A,1675.765211939689
2019-01-05 05 A,1815.5466087429322
2019-01-05 06 A,1970.353326222852
2019-01-05 07 A,2037.1546816738924
2019-01-05 08 A,2440.153290800722
2019-01-05 09 A,2638.224545133527
2019-01-05 10 A,2705.6341213319893
2019-01-05 11 A,2549.6787915104787
2019-01-05 12 A,2316.0629158698416
2019-01-05 13 A,2149.5975562704684
2019-01-05 14 A,2039.1654112778015
2019-01-05 15 A,1921.6040587554814
2019-01-05 16 A,1873.7793898568527
2019-01-05 17 A,1902.9505716907288
2019-01-05 18 A,2166.2242291738658
2019-01-05 19 A,2436.8021034893254
2019-01-05 20 A,2471.037433128775
2019-01-05 21 A,2381.2512000120687
2019-01-05 22 A,2313.7669817079404
2019-01-05 23 A,2203.998738439652
2019-01-05 24 A,2084.1756868570087
2019-01-06 01 A,1875.1307628388636
2019-01-06 02 A,1649.0517493273587
2019-01-06 03 A,1550.836345531523
2019-01-06 04 A,1574.0765689968391
2019-01-06 05 A,1673.6212112062035
2019-01-06 06 A,1797.3586651700844
2019-01-06 07 A,1854.2365617835753
2019-01-06 08 A,2154.0710833193675
2019-01-06 09 A,2428.610487605695
2019-01-06 10 A,2521.8246683576654
2019-01-06 11 A,2404.6692087464917
2019-01-06 12 A,2194.1949882962813
2019-01-06 13 A,2077.1202486627662
2019-01-06 14 A,1973.4376452485512
2019-01-06 15 A,1879.662706832481
2019-01-06 16 A,1862.5949338795422
2019-01-06 17 A,1929.4530392715078
2019-01-06 18 A,2198.0199682202074
2019-01-06 19 A,2499.8765257041878
2019-01-06 20 A,2430.007372588939
2019-01-06 21 A,2355.629172046337
2019-01-06 22 A,2355.224543850543
2019-01-06 23 A,2228.1578609735197
2019-01-06 24 A,2084.013932092045
2019-01-07 01 A,1868.2030510662496
2019-01-07 02 A,1601.744365852303
2019-01-07 03 A,1566.4398868737126
2019-01-07 04 A,1563.9510481092043
2019-01-07 05 A,1800.0029819748472
2019-01-07 06 A,1967.9693324075365
2019-01-07 07 A,2285.94912517608
2019-01-07 08 A,2708.3708886486856
2019-01-07 09 A,2794.2958347615336
2019-01-07 10 A,2730.1822977356724
2019-01-07 11 A,2678.8064480055864
2019-01-07 12 A,2459.606977942486
2019-01-07 13 A,2321.772081586235
2019-01-07 14 A,2175.0505533662304
2019-01-07 15 A,2033.184456905496
2019-01-07 16 A,1966.1233448339124
2019-01-07 17 A,2021.5027083213404
2019-01-07 18 A,2265.2469675385346
2019-01-07 19 A,2606.508670279093
2019-01-07 20 A,2675.8933078545915
2019-01-07 21 A,2620.2681729861633
2019-01-07 22 A,2566.199154625026
2019-01-07 23 A,2465.2077565131776
2019-01-07 24 A,2255.730711025256
2019-01-08 01 A,1969.2016956593982
2019-01-08 02 A,1800.8959433998857
2019-01-08 03 A,1741.7878341118014
2019-01-08 04 A,1742.5408366527188
2019-01-08 05 A,1897.165650529913
2019-01-08 06 A,2042.3519156465163
2019-01-08 07 A,2409.7255801256424
2019-01-08 08 A,2896.50069456193
2019-01-08 09 A,2961.9678090800617
2019-01-08 10 A,2757.4664416351848
2019-01-08 11 A,2755.842401676262
2019-01-08 12 A,2580.076658069339
2019-01-08 13 A,2413.2078734248566
2019-01-08 14 A,2223.7251962494047
2019-01-08 15 A,2137.4406584604317
2019-01-08 16 A,1945.4300800145309
2019-01-08 17 A,2078.223650529614
2019-01-08 18 A,2353.029425368485
2019-01-08 19 A,2757.8301173456625
2019-01-08 20 A,2757.0705489276165
2019-01-08 21 A,2685.0949516717938
2019-01-08 22 A,2579.5476643349725
2019-01-08 23 A,2448.6091452001083
2019-01-08 24 A,2337.0504245560974
2019-01-09 01 A,2023.0604787870288
2019-01-09 02 A,1767.469401331829
