,년-월-일 시간,기온
0,2018-01-01 01:00,-0.6
1,2018-01-01 02:00,-0.6
2,2018-01-01 03:00,-0.6
3,2018-01-01 04:00,-1.6
4,2018-01-01 05:00,-3.0
5,2018-01-01 06:00,-3.4
6,2018-01-01 07:00,-4.1
7,2018-01-01 08:00,-4.8
8,2018-01-01 09:00,-2.9
9,2018-01-01 10:00,1.1
10,2018-01-01 11:00,4.4
11,2018-01-01 12:00,5.5
12,2018-01-01 13:00,7.1
13,2018-01-01 14:00,7.6
14,2018-01-01 15:00,7.4
15,2018-01-01 16:00,6.8
16,2018-01-01 17:00,5.5
17,2018-01-01 18:00,3.4
18,2018-01-01 19:00,1.1
19,2018-01-01 20:00,-0.9
20,2018-01-01 21:00,-1.1
21,2018-01-01 22:00,-1.7
22,2018-01-01 23:00,-2.9
23,2018-01-01 24:00,-4.1
24,2018-01-02 01:00,-4.3
25,2018-01-02 02:00,-5.1
26,2018-01-02 03:00,-5.7
27,2018-01-02 04:00,-6.0
28,2018-01-02 05:00,-6.4
29,2018-01-02 06:00,-6.6
30,2018-01-02 07:00,-6.7
31,2018-01-02 08:00,-6.9
32,2018-01-02 09:00,-5.4
33,2018-01-02 10:00,-1.8
34,2018-01-02 11:00,1.0
35,2018-01-02 12:00,3.8
36,2018-01-02 13:00,6.3
37,2018-01-02 14:00,7.6
38,2018-01-02 15:00,7.7
39,2018-01-02 16:00,8.8
40,2018-01-02 17:00,7.0
41,2018-01-02 18:00,6.0
42,2018-01-02 19:00,5.5
43,2018-01-02 20:00,4.3
44,2018-01-02 21:00,2.3
45,2018-01-02 22:00,0.5
46,2018-01-02 23:00,-0.2
47,2018-01-02 24:00,-1.5
48,2018-01-03 01:00,-1.2
49,2018-01-03 02:00,-1.5
50,2018-01-03 03:00,-2.2
51,2018-01-03 04:00,-0.5
52,2018-01-03 05:00,-1.7
53,2018-01-03 06:00,-1.9
54,2018-01-03 07:00,-2.2
55,2018-01-03 08:00,-3.2
56,2018-01-03 09:00,-2.2
57,2018-01-03 10:00,-0.1
58,2018-01-03 11:00,1.1
59,2018-01-03 12:00,2.7
60,2018-01-03 13:00,3.2
61,2018-01-03 14:00,3.5
62,2018-01-03 15:00,3.3
63,2018-01-03 16:00,3.0
64,2018-01-03 17:00,1.9
65,2018-01-03 18:00,-0.7
66,2018-01-03 19:00,-1.4
67,2018-01-03 20:00,-1.8
68,2018-01-03 21:00,-3.3
69,2018-01-03 22:00,-4.6
70,2018-01-03 23:00,-3.8
71,2018-01-03 24:00,-2.0
72,2018-01-04 01:00,-2.2
73,2018-01-04 02:00,-3.1
74,2018-01-04 03:00,-3.0
75,2018-01-04 04:00,-2.3
76,2018-01-04 05:00,-2.0
77,2018-01-04 06:00,-2.1
78,2018-01-04 07:00,-2.1
79,2018-01-04 08:00,-2.3
80,2018-01-04 09:00,-2.1
81,2018-01-04 10:00,-1.6
82,2018-01-04 11:00,-0.9
83,2018-01-04 12:00,0.0
84,2018-01-04 13:00,0.8
85,2018-01-04 14:00,2.5
86,2018-01-04 15:00,2.3
87,2018-01-04 16:00,0.9
88,2018-01-04 17:00,0.1
89,2018-01-04 18:00,-0.5
90,2018-01-04 19:00,-0.9
91,2018-01-04 20:00,-1.1
92,2018-01-04 21:00,-1.2
93,2018-01-04 22:00,-1.3
94,2018-01-04 23:00,-1.3
95,2018-01-04 24:00,-1.4
96,2018-01-05 01:00,-1.6
97,2018-01-05 02:00,-1.5
98,2018-01-05 03:00,-1.4
99,2018-01-05 04:00,-1.4
100,2018-01-05 05:00,-1.3
101,2018-01-05 06:00,-1.8
102,2018-01-05 07:00,-1.5
103,2018-01-05 08:00,-1.3
