iter	RMSE
0	19.35020549
1	18.85995834
2	18.44856137
3	18.09545053
4	17.80122523
5	17.55568386
6	17.34616598
7	17.16862394
8	17.02294057
9	16.8954351
10	16.79644699
11	16.7089034
12	16.63454859
13	16.57691342
14	16.52889859
15	16.488614
16	16.44902881
17	16.41812772
18	16.39241961
19	16.36877804
20	16.35003639
21	16.32810261
22	16.31483493
23	16.29929033
24	16.28913034
25	16.27885179
26	16.26482576
27	16.25271405
28	16.24526024
29	16.23715903
30	16.22949018
31	16.22178316
32	16.21480483
33	16.2092514
34	16.20169517
35	16.19578398
36	16.19160868
37	16.18760956
38	16.18368926
39	16.1803388
40	16.17638905
41	16.17338958
42	16.17061869
43	16.16910985
44	16.16651391
45	16.16435047
46	16.16255555
47	16.16090432
48	16.15902014949	16.1573871550	16.1556872
51	16.15439985
52	16.15279104
53	16.15169664554	16.15013742555	16.14908296556	16.14765454557	16.14687178558	16.14582737559	16.14474489660	16.14322635661	16.1425586162	16.12227479
