iter	Passed	Remaining
0	10	1946
1	20	1862
2	30	1813
3	40	1777
4	50	1758
5	59	1736
6	69	1707
7	78	1686
8	87	1660
9	96	1647
10	106	1635
11	115	1618
12	124	1600
13	133	1588
14	143	1574
15	152	1563
16	161	1552
17	171	1539
18	179	1524
19	189	1512
20	198	1502
21	207	1490
22	216	1479
23	226	1469
24	235	1458
25	244	1449
26	254	1439
27	263	1429
28	272	1418
29	281	1409
30	291	1400
31	300	1390
32	309	1378
33	318	1368
34	328	1359
35	337	1350
36	347	1344
37	357	1335
38	371	1343
39	381	1333
40	390	1324
41	400	1315
42	410	1307
43	419	1297
44	429	1288
45	438	1277
46	447	1266
47	476	1311
48	486	1300
49	495	1288
50	505	1279
51	514	1267
52	524	1255
53	533	1244
54	542	1232
55	551	1221
56	560	1210
57	570	1199
58	579	1187
59	588	1176
60	597	1165
61	606	1153
62	615	1142
63	625	1134
64	634	1122
65	643	1111
66	661	1115
67	671	1106
68	680	1094
69	689	1083
70	698	1072
71	709	1064
72	718	1053
73	727	1042
74	736	1031
75	745	1020
76	754	1009
77	763	998
78	772	987
79	781	977
80	790	966
81	799	956
82	812	949
83	821	938
84	830	928
85	839	917
86	848	906
87	857	896
88	866	886
89	876	876
90	885	865
91	894	855
92	904	845
93	913	835
94	922	825
95	931	815
96	941	805
97	950	795
98	959	785
99	968	774
100	977	764
101	986	754
102	995	744
103	1004	734
104	1013	724
105	1022	714
106	1032	704
107	1041	694
108	1050	684
109	1059	674
110	1068	664
111	1077	654
112	1087	644
113	1096	634
114	1105	624
115	1114	615
116	1124	605
117	1133	595
118	1142	585
119	1151	575
120	1160	565
121	1169	555
122	1177	545
123	1186	535
124	1195	526
125	1205	516
126	1215	507
127	1224	497
128	1234	487
129	1243	478
130	1252	468
131	1262	458
132	1271	449
133	1280	439
134	1290	430
135	1299	420
136	1309	410
137	1323	402
138	1332	393
139	1342	383
140	1351	373
141	1361	364
142	1370	354
143	1379	344
144	1389	335
145	1398	325
146	1407	315
147	1416	306
148	1426	296
149	1435	287
150	1444	277
151	1454	267
152	1463	258
153	1473	248
154	1483	239
155	1493	229
156	1502	220
157	1511	210
158	1521	200
159	1530	191
160	1539	181
161	1549	172
162	1558	162
163	1567	152
164	1578	143
165	1587	133
166	1596	124
167	1606	114
168	1615	105
169	1630	95
170	1640	86
171	1649	76
172	1658	67
173	1667	57
174	1677	47
175	1687	38
176	1696	28
177	1705	19
178	1715	9
179	1724	0
