일자|시간|구분,공급량
2019-01-01 01 A,2025.7692
2019-01-01 02 A,1762.723
2019-01-01 03 A,1677.5206
2019-01-01 04 A,1705.6946
2019-01-01 05 A,1849.0098
2019-01-01 06 A,1876.1938
2019-01-01 07 A,1999.3397
2019-01-01 08 A,2170.0798
2019-01-01 09 A,2610.8523
2019-01-01 10 A,2436.7844
2019-01-01 11 A,2380.691
2019-01-01 12 A,2202.5642
2019-01-01 13 A,2033.5778
2019-01-01 14 A,1878.8109
2019-01-01 15 A,1749.196
2019-01-01 16 A,1745.1078
2019-01-01 17 A,1925.3926
2019-01-01 18 A,2091.99
2019-01-01 19 A,2297.0452
2019-01-01 20 A,2392.7742
2019-01-01 21 A,2397.6494
2019-01-01 22 A,2465.1584
2019-01-01 23 A,2332.3882
2019-01-01 24 A,2228.4346
2019-01-02 01 A,2064.8965
2019-01-02 02 A,1801.8511
2019-01-02 03 A,1703.2734
2019-01-02 04 A,1728.593
2019-01-02 05 A,1912.5248
2019-01-02 06 A,1964.4803
2019-01-02 07 A,2222.6018
2019-01-02 08 A,2575.6511
2019-01-02 09 A,2986.135
2019-01-02 10 A,2715.8032
2019-01-02 11 A,2479.498
2019-01-02 12 A,2317.905
2019-01-02 13 A,2216.1545
2019-01-02 14 A,2048.5825
2019-01-02 15 A,1896.6713
2019-01-02 16 A,1884.7777
2019-01-02 17 A,1934.0708
2019-01-02 18 A,2155.3835
2019-01-02 19 A,2416.4006
2019-01-02 20 A,2521.1392
2019-01-02 21 A,2415.8208
2019-01-02 22 A,2496.3884
2019-01-02 23 A,2330.9067
2019-01-02 24 A,2215.526
2019-01-03 01 A,2104.1047
2019-01-03 02 A,1803.9438
2019-01-03 03 A,1705.1157
2019-01-03 04 A,1730.857
2019-01-03 05 A,1835.4258
2019-01-03 06 A,1966.7444
2019-01-03 07 A,2265.638
2019-01-03 08 A,2599.491
2019-01-03 09 A,2935.3445
2019-01-03 10 A,2884.1597
2019-01-03 11 A,2705.5684
2019-01-03 12 A,2559.3318
2019-01-03 13 A,2314.9185
2019-01-03 14 A,2259.576
2019-01-03 15 A,2120.7017
2019-01-03 16 A,2100.7324
2019-01-03 17 A,2149.454
2019-01-03 18 A,2386.3972
2019-01-03 19 A,2632.5793
2019-01-03 20 A,2736.8115
2019-01-03 21 A,2710.0557
2019-01-03 22 A,2771.7876
2019-01-03 23 A,2507.0632
2019-01-03 24 A,2285.9966
2019-01-04 01 A,2032.2787
2019-01-04 02 A,1769.2328
2019-01-04 03 A,1653.7689
2019-01-04 04 A,1765.4115
2019-01-04 05 A,1871.4166
2019-01-04 06 A,2041.3486
2019-01-04 07 A,2299.4712
2019-01-04 08 A,2565.004
2019-01-04 09 A,2879.8354
2019-01-04 10 A,2904.0557
2019-01-04 11 A,2737.807
2019-01-04 12 A,2537.4478
2019-01-04 13 A,2314.9463
2019-01-04 14 A,2375.7507
2019-01-04 15 A,1991.7726
2019-01-04 16 A,2059.8418
2019-01-04 17 A,2069.5945
2019-01-04 18 A,2392.152
2019-01-04 19 A,2627.7976
2019-01-04 20 A,2879.0156
2019-01-04 21 A,2664.9136
2019-01-04 22 A,2698.6375
2019-01-04 23 A,2493.852
2019-01-04 24 A,2351.4465
2019-01-05 01 A,2179.6445
2019-01-05 02 A,1916.599
2019-01-05 03 A,1745.661
2019-01-05 04 A,1815.0668
2019-01-05 05 A,1998.9985
2019-01-05 06 A,2050.9539
2019-01-05 07 A,2257.5803
2019-01-05 08 A,2677.5703
2019-01-05 09 A,2982.734
2019-01-05 10 A,2858.4111
2019-01-05 11 A,2731.6187
2019-01-05 12 A,2548.944
2019-01-05 13 A,2264.778
2019-01-05 14 A,2179.6846
2019-01-05 15 A,2018.2634
2019-01-05 16 A,1978.9689
2019-01-05 17 A,2118.698
2019-01-05 18 A,2351.909
2019-01-05 19 A,2579.4414
2019-01-05 20 A,2673.505
2019-01-05 21 A,2603.2727
2019-01-05 22 A,2661.1743
2019-01-05 23 A,2496.1206
2019-01-05 24 A,2351.9375
2019-01-06 01 A,1975.2552
2019-01-06 02 A,1713.2646
2019-01-06 03 A,1793.4988
2019-01-06 04 A,1709.7968
2019-01-06 05 A,1891.0906
2019-01-06 06 A,1964.6354
2019-01-06 07 A,2242.8787
2019-01-06 08 A,2706.9993
2019-01-06 09 A,2885.9739
2019-01-06 10 A,2704.419
2019-01-06 11 A,2638.09
2019-01-06 12 A,2491.6707
2019-01-06 13 A,2211.8342
2019-01-06 14 A,2126.7407
2019-01-06 15 A,1959.5167
2019-01-06 16 A,1920.5923
2019-01-06 17 A,2051.924
2019-01-06 18 A,2288.334
2019-01-06 19 A,2517.8506
2019-01-06 20 A,2648.7954
2019-01-06 21 A,2566.9702
2019-01-06 22 A,2615.7139
2019-01-06 23 A,2425.518
2019-01-06 24 A,2287.5857
2019-01-07 01 A,1948.239
2019-01-07 02 A,1685.1927
2019-01-07 03 A,1630.303
2019-01-07 04 A,1687.2344
2019-01-07 05 A,1863.3922
2019-01-07 06 A,1913.6119
2019-01-07 07 A,2067.836
2019-01-07 08 A,2513.518
2019-01-07 09 A,2806.3948
2019-01-07 10 A,2801.6885
2019-01-07 11 A,2673.3132
2019-01-07 12 A,2487.5273
2019-01-07 13 A,2297.4631
2019-01-07 14 A,2199.3354
2019-01-07 15 A,2035.8859
2019-01-07 16 A,2009.9965
2019-01-07 17 A,2040.9279
2019-01-07 18 A,2292.21
2019-01-07 19 A,2508.7568
2019-01-07 20 A,2589.5137
2019-01-07 21 A,2485.9673
2019-01-07 22 A,2527.832
2019-01-07 23 A,2356.8496
2019-01-07 24 A,2230.8262
2019-01-08 01 A,1859.4159
2019-01-08 02 A,1753.324
2019-01-08 03 A,1649.7164
2019-01-08 04 A,1714.0547
2019-01-08 05 A,1786.9165
2019-01-08 06 A,1832.0741
2019-01-08 07 A,2222.6118
2019-01-08 08 A,2561.487
2019-01-08 09 A,2802.9978
2019-01-08 10 A,2714.0884
2019-01-08 11 A,2527.5186
2019-01-08 12 A,2407.5498
2019-01-08 13 A,2227.631
2019-01-08 14 A,2075.7666
2019-01-08 15 A,1908.5432
2019-01-08 16 A,1869.6188
2019-01-08 17 A,1894.2964
2019-01-08 18 A,2230.1426
2019-01-08 19 A,2515.7512
2019-01-08 20 A,2501.7222
2019-01-08 21 A,2526.2036
2019-01-08 22 A,2516.3057
2019-01-08 23 A,2408.7427
2019-01-08 24 A,2244.5435
2019-01-09 01 A,2021.6249
2019-01-09 02 A,1815.8389
2019-01-09 03 A,1728.6957
2019-01-09 04 A,1711.3643
2019-01-09 05 A,1945.8159
2019-01-09 06 A,1998.9698
2019-01-09 07 A,2235.7354
2019-01-09 08 A,2785.9268
2019-01-09 09 A,2832.5286
2019-01-09 10 A,2981.062
2019-01-09 11 A,2713.7314
2019-01-09 12 A,2587.5928
2019-01-09 13 A,2349.8364
2019-01-09 14 A,2248.9487
2019-01-09 15 A,2085.4988
2019-01-09 16 A,2048.8906
2019-01-09 17 A,2233.483
2019-01-09 18 A,2467.503
2019-01-09 19 A,2684.1074
2019-01-09 20 A,2769.3823
2019-01-09 21 A,2686.1782
2019-01-09 22 A,2703.508
2019-01-09 23 A,2427.5366
2019-01-09 24 A,2324.486
2019-01-10 01 A,2163.0608
2019-01-10 02 A,1885.4564
2019-01-10 03 A,1698.4305
2019-01-10 04 A,1766.4155
2019-01-10 05 A,1952.1849
2019-01-10 06 A,2006.3535
2019-01-10 07 A,2218.3154
2019-01-10 08 A,2768.3906
2019-01-10 09 A,3107.8982
2019-01-10 10 A,2946.7327
