일자|시간|구분,공급량
2019-01-01 01 A,1874.684842666668
2019-01-01 02 A,1652.2879350000003
2019-01-01 03 A,1733.210351142857
2019-01-01 04 A,1775.2028599999999
2019-01-01 05 A,1763.4614316666657
2019-01-01 06 A,2091.5480666666695
2019-01-01 07 A,2174.733782666668
2019-01-01 08 A,2526.4168886666657
2019-01-01 09 A,2900.139138
2019-01-01 10 A,2769.1105788333334
2019-01-01 11 A,2602.773330666665
2019-01-01 12 A,2279.127018683621
2019-01-01 13 A,2336.044135809525
2019-01-01 14 A,2267.1844813333337
2019-01-01 15 A,2083.2460048149346
2019-01-01 16 A,2114.470553333332
2019-01-01 17 A,1792.6277799999996
2019-01-01 18 A,2215.5380766666676
2019-01-01 19 A,2533.3815335833306
2019-01-01 20 A,2588.9659259047635
2019-01-01 21 A,2588.5676218333356
2019-01-01 22 A,2622.1779611190454
2019-01-01 23 A,2405.679364833331
2019-01-01 24 A,2043.172898000001
2019-01-02 01 A,1874.684842666668
2019-01-02 02 A,1652.2879350000003
2019-01-02 03 A,1733.210351142857
2019-01-02 04 A,1775.2028599999999
2019-01-02 05 A,1763.4614316666657
2019-01-02 06 A,2091.5480666666695
2019-01-02 07 A,2174.733782666668
2019-01-02 08 A,2526.4168886666657
2019-01-02 09 A,2900.139138
2019-01-02 10 A,2769.1105788333334
2019-01-02 11 A,2602.773330666665
2019-01-02 12 A,2279.127018683621
2019-01-02 13 A,2336.044135809525
2019-01-02 14 A,2267.1844813333337
2019-01-02 15 A,2083.2460048149346
2019-01-02 16 A,2114.470553333332
2019-01-02 17 A,1792.6277799999996
2019-01-02 18 A,2215.5380766666676
2019-01-02 19 A,2533.3815335833306
2019-01-02 20 A,2588.9659259047635
2019-01-02 21 A,2588.5676218333356
2019-01-02 22 A,2622.1779611190454
2019-01-02 23 A,2405.679364833331
2019-01-02 24 A,2043.172898000001
2019-01-03 01 A,1874.684842666668
2019-01-03 02 A,1652.2879350000003
2019-01-03 03 A,1733.210351142857
2019-01-03 04 A,1775.2028599999999
2019-01-03 05 A,1763.4614316666657
2019-01-03 06 A,2091.5480666666695
2019-01-03 07 A,2174.733782666668
2019-01-03 08 A,2526.4168886666657
2019-01-03 09 A,2900.139138
2019-01-03 10 A,2769.1105788333334
2019-01-03 11 A,2602.773330666665
2019-01-03 12 A,2279.127018683621
2019-01-03 13 A,2336.044135809525
2019-01-03 14 A,2267.1844813333337
2019-01-03 15 A,2083.2460048149346
2019-01-03 16 A,2114.470553333332
2019-01-03 17 A,1792.6277799999996
2019-01-03 18 A,2215.5380766666676
2019-01-03 19 A,2533.3815335833306
2019-01-03 20 A,2588.9659259047635
2019-01-03 21 A,2588.5676218333356
2019-01-03 22 A,2622.1779611190454
2019-01-03 23 A,2405.679364833331
2019-01-03 24 A,2043.172898000001
2019-01-04 01 A,1874.684842666668
2019-01-04 02 A,1652.2879350000003
2019-01-04 03 A,1733.210351142857
2019-01-04 04 A,1775.2028599999999
2019-01-04 05 A,1763.4614316666657
2019-01-04 06 A,2091.5480666666695
2019-01-04 07 A,2174.733782666668
2019-01-04 08 A,2526.4168886666657
2019-01-04 09 A,2900.139138
2019-01-04 10 A,2769.1105788333334
2019-01-04 11 A,2602.773330666665
2019-01-04 12 A,2279.127018683621
2019-01-04 13 A,2336.044135809525
2019-01-04 14 A,2267.1844813333337
2019-01-04 15 A,2083.2460048149346
2019-01-04 16 A,2114.470553333332
2019-01-04 17 A,1792.6277799999996
2019-01-04 18 A,2215.5380766666676
2019-01-04 19 A,2533.3815335833306
2019-01-04 20 A,2588.9659259047635
2019-01-04 21 A,2588.5676218333356
2019-01-04 22 A,2622.1779611190454
2019-01-04 23 A,2405.679364833331
2019-01-04 24 A,2043.172898000001
2019-01-05 01 A,1874.684842666668
2019-01-05 02 A,1652.2879350000003
2019-01-05 03 A,1733.210351142857
2019-01-05 04 A,1775.2028599999999
2019-01-05 05 A,1763.4614316666657
2019-01-05 06 A,2091.5480666666695
2019-01-05 07 A,2174.733782666668
2019-01-05 08 A,2526.4168886666657
2019-01-05 09 A,2900.139138
2019-01-05 10 A,2769.1105788333334
2019-01-05 11 A,2602.773330666665
2019-01-05 12 A,2279.127018683621
2019-01-05 13 A,2336.044135809525
2019-01-05 14 A,2267.1844813333337
2019-01-05 15 A,2083.2460048149346
2019-01-05 16 A,2114.470553333332
2019-01-05 17 A,1792.6277799999996
2019-01-05 18 A,2215.5380766666676
