,년-월-일 시간,기온
0,2016-01-01 01:00,-1.7
1,2016-01-01 02:00,-0.9
2,2016-01-01 03:00,-1.1
3,2016-01-01 04:00,-2.4
4,2016-01-01 05:00,-3.1
5,2016-01-01 06:00,-3.3
6,2016-01-01 07:00,-3.5
7,2016-01-01 08:00,-4.0
8,2016-01-01 09:00,-2.7
9,2016-01-01 10:00,0.6
10,2016-01-01 11:00,2.0
11,2016-01-01 12:00,3.3
12,2016-01-01 13:00,5.0
13,2016-01-01 14:00,6.6
14,2016-01-01 15:00,7.0
15,2016-01-01 16:00,7.6
16,2016-01-01 17:00,7.3
17,2016-01-01 18:00,5.0
18,2016-01-01 19:00,3.1
19,2016-01-01 20:00,3.0
20,2016-01-01 21:00,3.1
21,2016-01-01 22:00,3.3
22,2016-01-01 23:00,2.2
23,2016-01-01 24:00,1.8
24,2016-01-02 01:00,1.4
25,2016-01-02 02:00,0.5
26,2016-01-02 03:00,-0.3
27,2016-01-02 04:00,-0.5
28,2016-01-02 05:00,-1.3
29,2016-01-02 06:00,-1.6
30,2016-01-02 07:00,-1.9
31,2016-01-02 08:00,-1.1
32,2016-01-02 09:00,-0.3
33,2016-01-02 10:00,1.7
34,2016-01-02 11:00,5.7
35,2016-01-02 12:00,8.0
36,2016-01-02 13:00,9.3
37,2016-01-02 14:00,10.6
38,2016-01-02 15:00,11.6
39,2016-01-02 16:00,11.8
40,2016-01-02 17:00,10.5
41,2016-01-02 18:00,8.6
42,2016-01-02 19:00,5.9
43,2016-01-02 20:00,4.8
44,2016-01-02 21:00,4.2
45,2016-01-02 22:00,3.2
46,2016-01-02 23:00,2.5
47,2016-01-02 24:00,2.3
48,2016-01-03 01:00,2.1
49,2016-01-03 02:00,1.7
50,2016-01-03 03:00,1.8
51,2016-01-03 04:00,1.4
52,2016-01-03 05:00,1.3
53,2016-01-03 06:00,0.7
54,2016-01-03 07:00,0.3
55,2016-01-03 08:00,0.4
56,2016-01-03 09:00,1.0
57,2016-01-03 10:00,3.1
58,2016-01-03 11:00,5.6
59,2016-01-03 12:00,7.4
60,2016-01-03 13:00,9.3
61,2016-01-03 14:00,12.4
62,2016-01-03 15:00,13.7
63,2016-01-03 16:00,14.2
64,2016-01-03 17:00,12.9
65,2016-01-03 18:00,9.1
66,2016-01-03 19:00,6.4
67,2016-01-03 20:00,5.1
68,2016-01-03 21:00,3.6
69,2016-01-03 22:00,2.3
70,2016-01-03 23:00,1.5
71,2016-01-03 24:00,1.3
72,2016-01-04 01:00,2.0
73,2016-01-04 02:00,2.5
74,2016-01-04 03:00,3.1
75,2016-01-04 04:00,3.2
76,2016-01-04 05:00,2.3
77,2016-01-04 06:00,2.5
78,2016-01-04 07:00,3.1
79,2016-01-04 08:00,5.1
80,2016-01-04 09:00,6.2
81,2016-01-04 10:00,7.3
82,2016-01-04 11:00,8.6
83,2016-01-04 12:00,9.8
84,2016-01-04 13:00,10.4
85,2016-01-04 14:00,11.1
86,2016-01-04 15:00,11.2
87,2016-01-04 16:00,10.5
88,2016-01-04 17:00,8.9
89,2016-01-04 18:00,6.2
90,2016-01-04 19:00,4.3
91,2016-01-04 20:00,3.8
92,2016-01-04 21:00,2.9
93,2016-01-04 22:00,1.6
94,2016-01-04 23:00,0.8
95,2016-01-04 24:00,-0.1
96,2016-01-05 01:00,-1.1
97,2016-01-05 02:00,-1.5
98,2016-01-05 03:00,-0.7
99,2016-01-05 04:00,0.9
100,2016-01-05 05:00,1.0
101,2016-01-05 06:00,1.3
102,2016-01-05 07:00,1.0
103,2016-01-05 08:00,1.6
104,2016-01-05 09:00,1.6
105,2016-01-05 10:00,2.0
106,2016-01-05 11:00,2.5
107,2016-01-05 12:00,3.3
108,2016-01-05 13:00,5.2
109,2016-01-05 14:00,4.9
110,2016-01-05 15:00,4.8
111,2016-01-05 16:00,4.8
112,2016-01-05 17:00,3.7
113,2016-01-05 18:00,2.0
114,2016-01-05 19:00,0.5
115,2016-01-05 20:00,-0.1
116,2016-01-05 21:00,-0.1
117,2016-01-05 22:00,-0.4
118,2016-01-05 23:00,-0.5
119,2016-01-05 24:00,-1.8
120,2016-01-06 01:00,-1.6
121,2016-01-06 02:00,-2.2
122,2016-01-06 03:00,-2.4
123,2016-01-06 04:00,-2.2
124,2016-01-06 05:00,-3.2
125,2016-01-06 06:00,-3.9
126,2016-01-06 07:00,-3.8
127,2016-01-06 08:00,-3.2
128,2016-01-06 09:00,-2.4
129,2016-01-06 10:00,2.0
130,2016-01-06 11:00,4.5
131,2016-01-06 12:00,6.2
132,2016-01-06 13:00,7.3
133,2016-01-06 14:00,7.2
134,2016-01-06 15:00,6.8
135,2016-01-06 16:00,6.3
136,2016-01-06 17:00,5.5
137,2016-01-06 18:00,5.0
138,2016-01-06 19:00,4.6
139,2016-01-06 20:00,4.0
140,2016-01-06 21:00,3.5
141,2016-01-06 22:00,3.6
142,2016-01-06 23:00,2.9
143,2016-01-06 24:00,2.1
144,2016-01-07 01:00,2.4
145,2016-01-07 02:00,2.3
146,2016-01-07 03:00,3.9
147,2016-01-07 04:00,4.3
148,2016-01-07 05:00,3.8
149,2016-01-07 06:00,3.0
150,2016-01-07 07:00,2.2
151,2016-01-07 08:00,1.7
152,2016-01-07 09:00,1.7
153,2016-01-07 10:00,2.9
154,2016-01-07 11:00,4.9
155,2016-01-07 12:00,6.7
156,2016-01-07 13:00,5.6
157,2016-01-07 14:00,4.8
158,2016-01-07 15:00,4.2
159,2016-01-07 16:00,3.1
160,2016-01-07 17:00,2.2
161,2016-01-07 18:00,1.1
162,2016-01-07 19:00,0.2
163,2016-01-07 20:00,0.7
164,2016-01-07 21:00,0.9
165,2016-01-07 22:00,0.7
166,2016-01-07 23:00,0.6
167,2016-01-07 24:00,0.6
168,2016-01-08 01:00,0.7
169,2016-01-08 02:00,0.4
