,년-월-일 시간,기온
0,2015-01-01 01:00,-1.9
1,2015-01-01 02:00,-2.5
2,2015-01-01 03:00,-2.7
3,2015-01-01 04:00,-3.0
4,2015-01-01 05:00,-3.1
5,2015-01-01 06:00,-3.3
6,2015-01-01 07:00,-4.0
7,2015-01-01 08:00,-4.6
8,2015-01-01 09:00,-4.3
9,2015-01-01 10:00,-3.7
10,2015-01-01 11:00,-3.4
11,2015-01-01 12:00,-2.4
12,2015-01-01 13:00,-1.5
13,2015-01-01 14:00,-1.4
14,2015-01-01 15:00,-1.5
15,2015-01-01 16:00,-1.1
16,2015-01-01 17:00,-1.9
17,2015-01-01 18:00,-2.5
18,2015-01-01 19:00,-3.2
19,2015-01-01 20:00,-3.5
20,2015-01-01 21:00,-3.2
21,2015-01-01 22:00,-3.5
22,2015-01-01 23:00,-3.3
23,2015-01-01 24:00,-3.2
24,2015-01-02 01:00,-3.2
25,2015-01-02 02:00,-3.3
26,2015-01-02 03:00,-3.9
27,2015-01-02 04:00,-3.1
28,2015-01-02 05:00,-3.0
29,2015-01-02 06:00,-2.9
30,2015-01-02 07:00,-2.8
31,2015-01-02 08:00,-2.7
32,2015-01-02 09:00,-2.3
33,2015-01-02 10:00,-0.5
34,2015-01-02 11:00,1.0
35,2015-01-02 12:00,1.8
36,2015-01-02 13:00,2.0
37,2015-01-02 14:00,1.0
38,2015-01-02 15:00,2.3
39,2015-01-02 16:00,1.3
40,2015-01-02 17:00,-1.2
41,2015-01-02 18:00,-2.2
42,2015-01-02 19:00,-3.7
43,2015-01-02 20:00,-5.5
44,2015-01-02 21:00,-6.7
45,2015-01-02 22:00,-7.7
46,2015-01-02 23:00,-8.2
47,2015-01-02 24:00,-8.8
48,2015-01-03 01:00,-9.2
49,2015-01-03 02:00,-9.9
50,2015-01-03 03:00,-10.3
51,2015-01-03 04:00,-10.8
52,2015-01-03 05:00,-10.9
53,2015-01-03 06:00,-11.3
54,2015-01-03 07:00,
55,2015-01-03 08:00,
56,2015-01-03 09:00,-8.1
57,2015-01-03 10:00,-4.3
58,2015-01-03 11:00,-1.1
59,2015-01-03 12:00,1.6
60,2015-01-03 13:00,3.0
61,2015-01-03 14:00,4.6
62,2015-01-03 15:00,4.3
63,2015-01-03 16:00,4.0
64,2015-01-03 17:00,2.9
65,2015-01-03 18:00,0.2
66,2015-01-03 19:00,-1.1
67,2015-01-03 20:00,-1.2
68,2015-01-03 21:00,-1.6
69,2015-01-03 22:00,-1.8
70,2015-01-03 23:00,-1.9
71,2015-01-03 24:00,-1.2
72,2015-01-04 01:00,-0.9
73,2015-01-04 02:00,-0.6
74,2015-01-04 03:00,-0.8
75,2015-01-04 04:00,-1.1
76,2015-01-04 05:00,-1.2
77,2015-01-04 06:00,-2.6
78,2015-01-04 07:00,-2.8
79,2015-01-04 08:00,-3.2
80,2015-01-04 09:00,-2.0
81,2015-01-04 10:00,2.3
82,2015-01-04 11:00,5.6
83,2015-01-04 12:00,7.1
84,2015-01-04 13:00,8.7
85,2015-01-04 14:00,10.1
86,2015-01-04 15:00,10.3
87,2015-01-04 16:00,10.2
88,2015-01-04 17:00,9.5
89,2015-01-04 18:00,5.4
90,2015-01-04 19:00,2.1
91,2015-01-04 20:00,1.2
92,2015-01-04 21:00,-0.1
93,2015-01-04 22:00,-0.9
94,2015-01-04 23:00,-1.2
95,2015-01-04 24:00,-1.6
96,2015-01-05 01:00,-1.0
97,2015-01-05 02:00,-0.6
98,2015-01-05 03:00,-0.7
99,2015-01-05 04:00,-1.0
100,2015-01-05 05:00,-1.2
101,2015-01-05 06:00,-1.1
102,2015-01-05 07:00,-0.8
103,2015-01-05 08:00,-1.0
104,2015-01-05 09:00,-0.8
105,2015-01-05 10:00,0.8
106,2015-01-05 11:00,2.6
107,2015-01-05 12:00,5.9
108,2015-01-05 13:00,8.2
109,2015-01-05 14:00,10.2
110,2015-01-05 15:00,11.6
111,2015-01-05 16:00,11.9
112,2015-01-05 17:00,11.7
113,2015-01-05 18:00,10.2
114,2015-01-05 19:00,8.3
115,2015-01-05 20:00,7.7
116,2015-01-05 21:00,7.7
117,2015-01-05 22:00,7.5
118,2015-01-05 23:00,7.8
119,2015-01-05 24:00,7.8
120,2015-01-06 01:00,7.8
121,2015-01-06 02:00,8.1
122,2015-01-06 03:00,9.2
123,2015-01-06 04:00,7.0
124,2015-01-06 05:00,6.3
125,2015-01-06 06:00,5.8
126,2015-01-06 07:00,5.2
127,2015-01-06 08:00,4.1
128,2015-01-06 09:00,3.4
129,2015-01-06 10:00,3.4
130,2015-01-06 11:00,4.1
131,2015-01-06 12:00,4.3
132,2015-01-06 13:00,4.4
133,2015-01-06 14:00,4.4
134,2015-01-06 15:00,3.9
135,2015-01-06 16:00,3.0
136,2015-01-06 17:00,2.0
137,2015-01-06 18:00,0.0
138,2015-01-06 19:00,-0.8
139,2015-01-06 20:00,-0.9
140,2015-01-06 21:00,-1.0
141,2015-01-06 22:00,-1.1
142,2015-01-06 23:00,-1.4
143,2015-01-06 24:00,-1.2
144,2015-01-07 01:00,-1.5
145,2015-01-07 02:00,-1.9
146,2015-01-07 03:00,-2.5
147,2015-01-07 04:00,-3.2
148,2015-01-07 05:00,-3.6
149,2015-01-07 06:00,-3.8
150,2015-01-07 07:00,-4.2
151,2015-01-07 08:00,-4.5
152,2015-01-07 09:00,-3.1
153,2015-01-07 10:00,-1.4
154,2015-01-07 11:00,0.3
155,2015-01-07 12:00,1.4
156,2015-01-07 13:00,1.5
157,2015-01-07 14:00,3.4
158,2015-01-07 15:00,3.3
159,2015-01-07 16:00,2.7
160,2015-01-07 17:00,2.0
161,2015-01-07 18:00,0.3
162,2015-01-07 19:00,-0.1
163,2015-01-07 20:00,0.0
164,2015-01-07 21:00,0.2
165,2015-01-07 22:00,0.3
166,2015-01-07 23:00,0.5
167,2015-01-07 24:00,0.5
168,2015-01-08 01:00,0.2
169,2015-01-08 02:00,-0.3
170,2015-01-08 03:00,-1.3
171,2015-01-08 04:00,-2.6
172,2015-01-08 05:00,-3.0
173,2015-01-08 06:00,-4.3
174,2015-01-08 07:00,-5.8
175,2015-01-08 08:00,-6.0
176,2015-01-08 09:00,-3.7
177,2015-01-08 10:00,0.8
178,2015-01-08 11:00,1.9
179,2015-01-08 12:00,2.8
180,2015-01-08 13:00,3.6
181,2015-01-08 14:00,5.4
182,2015-01-08 15:00,4.5
183,2015-01-08 16:00,3.8
184,2015-01-08 17:00,2.2
185,2015-01-08 18:00,1.3
186,2015-01-08 19:00,1.0
187,2015-01-08 20:00,0.5
188,2015-01-08 21:00,0.3
189,2015-01-08 22:00,-0.3
190,2015-01-08 23:00,-1.7
191,2015-01-08 24:00,-3.2
192,2015-01-09 01:00,-3.8
193,2015-01-09 02:00,-4.3
194,2015-01-09 03:00,-4.7
195,2015-01-09 04:00,-5.0
196,2015-01-09 05:00,-4.8
197,2015-01-09 06:00,-3.8
198,2015-01-09 07:00,-2.7
199,2015-01-09 08:00,-2.8
200,2015-01-09 09:00,-2.5
201,2015-01-09 10:00,0.1
202,2015-01-09 11:00,3.0
203,2015-01-09 12:00,5.6
204,2015-01-09 13:00,7.1
205,2015-01-09 14:00,8.0
206,2015-01-09 15:00,7.9
207,2015-01-09 16:00,5.8
208,2015-01-09 17:00,5.1
209,2015-01-09 18:00,3.4
210,2015-01-09 19:00,1.3
211,2015-01-09 20:00,0.5
212,2015-01-09 21:00,-0.6
213,2015-01-09 22:00,-1.4
214,2015-01-09 23:00,-1.8
215,2015-01-09 24:00,0.7
216,2015-01-10 01:00,0.6
217,2015-01-10 02:00,2.6
218,2015-01-10 03:00,3.0
219,2015-01-10 04:00,2.6
220,2015-01-10 05:00,2.1
221,2015-01-10 06:00,-0.3
222,2015-01-10 07:00,-1.5
223,2015-01-10 08:00,-3.0
224,2015-01-10 09:00,-1.2
