날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2013-01-01,전국,-3.2,-9.1,2.6
2013-01-02,전국,-6,-11.2,0
2013-01-03,전국,-9.9,-13.9,-5.1
2013-01-04,전국,-9,-14.7,-1.9
2013-01-05,전국,-5.9,-13.1,1
2013-01-06,전국,-4.1,-8.5,2.1
2013-01-07,전국,-4,-9.7,2.5
2013-01-08,전국,-3.2,-8.7,3.2
2013-01-09,전국,-5.6,-9.6,-1.5
2013-01-10,전국,-6.9,-12,-0.8
2013-01-11,전국,-4.3,-11.8,2.9
2013-01-12,전국,0.3,-5.6,7
2013-01-13,전국,-0.7,-4.7,3.9
2013-01-14,전국,-0.7,-6.1,5.7
2013-01-15,전국,-1.9,-7.2,4.9
2013-01-16,전국,-0.7,-5.7,3.9
2013-01-17,전국,-2.8,-6.2,0.3
2013-01-18,전국,-3.3,-9.1,3.2
2013-01-19,전국,-0.1,-5.3,5.9
2013-01-20,전국,1.4,-4.7,7
2013-01-21,전국,3.8,2.2,5.3
2013-01-22,전국,3.6,2.3,5.7
2013-01-23,전국,2.5,0.9,4.1
2013-01-24,전국,0.9,-3.2,4.6
2013-01-25,전국,-4.6,-6.7,-1.5
2013-01-26,전국,-5.5,-8.9,-1.2
2013-01-27,전국,-5,-8.8,-0.8
2013-01-28,전국,-1.8,-8.7,4.4
2013-01-29,전국,2.2,-3.1,8
2013-01-30,전국,4.1,-0.9,11
2013-01-31,전국,6.4,0.3,12.7
2013-02-01,전국,8.6,4.8,12.2
2013-02-02,전국,3,-2,8.1
2013-02-03,전국,-0.2,-4.7,2.8
2013-02-04,전국,2,-1.6,6.3
2013-02-05,전국,0.6,-3,3.5
2013-02-06,전국,1.1,-1.2,3.7
2013-02-07,전국,-6.2,-10.9,0
2013-02-08,전국,-8.2,-13.2,-2.5
2013-02-09,전국,-5.1,-10.6,0.6
2013-02-10,전국,-1.7,-7.1,3.8
2013-02-11,전국,-2.8,-8,2.7
2013-02-12,전국,-1.7,-4.4,1.7
2013-02-13,전국,-0.9,-6.8,5.1
2013-02-14,전국,2.1,-3.3,7.9
2013-02-15,전국,1.4,-3.4,6.1
2013-02-16,전국,-1.6,-7.2,4.6
2013-02-17,전국,2,-3.2,6.3
2013-02-18,전국,2.9,0.2,6.3
