국가,치명(%),완치(%),발생률,인구수,확진자합계,확진자1일,치료중합계,치료중1일,위중증합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,1.6,76.0,133095,331002651,43942335,+187382,9838383,-23963,21819,-275,709119,+2781,33394833,+208564
인도🇮🇳,1.3,97.8,24431,1380004385,33714241,+21093,289782,-7388,8944,,447699,+337,32976760,+28144
브라질🇧🇷,2.8,95.3,100592,212559417,21366395,+14423,410502,-6613,8318,,594702,+218,20361191,+20818
영국🇬🇧,1.8,80.7,113959,67886011,7701715,+37485,1346396,+3904,878,-38,136208,+40,6219111,+33541
러시아🇷🇺,2.8,88.9,51151,145934462,7464708,+21559,623692,+3339,2300,,205531,+852,6635485,+17368
터키🇹🇷,0.9,92.3,84132,84339067,7066688,+27188,480881,+1822,633,,63372,+206,6522435,+25160
프랑스🇫🇷,1.7,96.3,107278,65273511,6995628,+1309,141600,-13225,1609,,116537,+74,6737491,+14460
이란🇮🇷,2.2,89.7,66192,83992949,5559691,+11701,451694,-10549,6124,-85,119888,+239,4988109,+22011
아르헨티나🇦🇷,2.2,97.4,116245,45195774,5251940,+1538,23383,-561,1200,-37,114954,+92,5113603,+2007
콜롬비아🇨🇴,2.5,96.8,97368,50882891,4952690,+1015,33125,-690,542,,126178,+33,4793387,+1672
스페인🇪🇸,1.7,95.6,105956,46754778,4951640,+5039,129320,-22885,837,,86298,+69,4736022,+27855
이탈리아🇮🇹,2.8,95.0,77157,60461826,4662087,+1773,101080,-1164,488,+5,130742,+45,4430265,+2892
독일🇩🇪,2.2,94.4,50350,83783942,4212201,+4941,139952,-6625,1435,,94049,+66,3978200,+11500
인도네시아🇮🇩,3.4,95.7,15397,273523615,4211460,+2057,38652,-1618,N/A,,141709,+124,4031099,+3551
멕시코🇲🇽,7.6,82.3,28275,128932753,3635807,+3007,368408,-4485,4798,,275676,+230,2991723,+7262
폴란드🇵🇱,2.6,91.7,76747,37846611,2904631,+976,166915,+840,168,+15,75601,+29,2662115,+107
남아프리카 공화국🇿🇦,3.0,95.4,48878,59308690,2897521,+578,47493,-2305,546,,87216,+164,2762812,+2719
필리핀🇵🇭,1.5,93.3,23024,109581078,2522965,+32107,132139,-29308,3170,,37686,+281,2353140,+61134
우크라이나🇺🇦,2.3,93.6,54922,43733762,2401956,+6552,98022,+3482,177,,55863,+143,2248071,+2927
말레이시아🇲🇾,1.2,90.8,68607,32365999,2209194,+10959,177560,-5729,978,-72,25695,+258,2005939,+16430
페루🇵🇪,9.2,N/A,65942,32971854,2173354,+320,N/A,,1025,+2,199314,+22,N/A,
네덜란드🇳🇱,0.9,N/A,116697,17134872,1999592,+1707,N/A,,160,-17,18162,+8,N/A,
이라크🇮🇶,1.1,95.3,49689,40222493,1998615,+2401,72406,-1439,516,-5,22187,+45,1904022,+3795
일본🇯🇵*,1.0,96.8,13428,126476461,1698344,+1722,37142,-2669,1066,-44,17577,+50,1643625,+4341
체코🇨🇿,1.8,97.8,157838,10708981,1690288,+668,6234,+237,36,+6,30454,,1653600,+431
칠레🇨🇱,2.3,97.3,86460,19116201,1652795,+431,6762,-661,389,+9,37449,+4,1608584,+1088
캐나다🇨🇦,1.7,95.4,42813,37742154,1612431,+10052,46453,-26,638,,27698,+49,1538280,+10029
태국🇹🇭,1.0,91.6,22806,69799978,1581415,+9489,116711,-3445,3324,,16498,+129,1448206,+12805
방글라데시🇧🇩,1.8,97.4,9435,164689383,1553873,+1310,12527,+84,1408,-5,27470,+31,1513876,+1195
이스라엘🇮🇱,0.6,94.9,147235,8655535,1270230,,56889,,641,,7684,,1205657,
파키스탄🇵🇰,2.2,93.8,5622,220892340,1241825,+1400,49968,-683,4015,-18,27638,+41,1164219,+2042
벨기에🇧🇪,2.1,93.1,106851,11589623,1238358,+4635,60435,-3064,206,-10,25568,+14,1152355,+7685
